edfe3b89927b60ba555a5aea32988f5a96143b12491ffff40cec730fd3052129,cb7fef3d2d3de33232573d3d673cdd1db1dbd9e2c1df5e3768ba98a45ce7e7c4,d1624b9bd45bc38495b4fce7e2cab7e9e171afa757a17ce548e44e614d31164d
"1","0","1"
"1","1","1"
"1","2","1"
"1","5","1"
"1","0","2"
"1","1","2"
"1","2","2"
"1","5","2"
"1","0","3"
"1","1","3"
"1","2","3"
"1","5","3"
"1","0","4"
"1","1","4"
"1","2","4"
"1","5","4"
"1","0","5"
"1","1","5"
"1","2","5"
"1","5","5"
"1","0","6"
"1","1","6"
"1","2","6"
"1","5","6"
"1","0","7"
"1","1","7"
"1","2","7"
"1","5","7"
"1","0","8"
"1","1","8"
"1","2","8"
"1","5","8"
"1","0","9"
"1","1","9"
"1","2","9"
"1","5","9"
"1","0","10"
"1","1","10"
"1","2","10"
"1","5","10"
