0df549c8918365f22434fcf6eb718b4f203c8bdd45c276e80195e60446b6041f,4638125d68fa581d6f3a7b20d91ff68830915f6cafbeac32c16880262f122984,55e3459a6c3d507835ab5788ddd37afd67c6bb40b9021df84295694b5ecf0f53,3d002effd1f4c542c94776b8f0cf8a29e5186170dea6962298e7028c79a9af35,861acf1881c303a85da09ffd3efc9d0d22326272ece0dc5643cfe2d481e1d0ce
"100101","94002","12","1","5000000"
"100102","90008","2","2","2000"
"100103","25001","2","3","20"
"100104","90008","2","4","2500"
"100105","25001","2","5","30"
"100106","91002","8","6","300"
"100107","41000","2","7","1"
"100108","94002","12","8","5000000"
"100109","94002","12","9","1000000"
"100110","94002","12","10","1000000"
"100111","94002","12","11","1000000"
"100112","20004","2","12","400"
"100113","20004","2","13","300"
"100114","20004","2","14","200"
"100115","94002","12","15","1000000"
"100116","94002","12","16","1000000"
"100117","94002","12","17","1000000"
"100118","20004","2","18","400"
"100119","20004","2","19","300"
"100120","20004","2","20","200"
"100121","94002","12","21","1000000"
"100122","94002","12","22","1000000"
"100123","94002","12","23","1000000"
"100124","20004","2","24","400"
"100125","20004","2","25","300"
"100126","20004","2","26","200"
"100201","94002","12","27","5000000"
"100202","90008","2","28","2000"
"100203","25001","2","29","20"
"100204","90008","2","30","2500"
"100205","25001","2","31","30"
"100206","91002","8","32","300"
"100207","41000","2","33","1"
"100208","94002","12","34","5000000"
"100209","94002","12","35","1000000"
"100210","94002","12","36","1000000"
"100211","94002","12","37","1000000"
"100212","20004","2","38","400"
"100213","20004","2","39","300"
"100214","20004","2","40","200"
"100215","94002","12","41","1000000"
"100216","94002","12","42","1000000"
"100217","94002","12","43","1000000"
"100218","20004","2","44","400"
"100219","20004","2","45","300"
"100220","20004","2","46","200"
"100221","94002","12","47","1000000"
"100222","94002","12","48","1000000"
"100223","94002","12","49","1000000"
"100224","20004","2","50","400"
"100225","20004","2","51","300"
"100226","20004","2","52","200"
"100301","94002","12","53","5000000"
"100302","90008","2","54","2000"
"100303","25001","2","55","20"
"100304","90008","2","56","2500"
"100305","25001","2","57","30"
"100306","91002","8","58","300"
"100307","41000","2","59","1"
"100308","94002","12","60","5000000"
"100309","94002","12","61","1000000"
"100310","94002","12","62","1000000"
"100311","94002","12","63","1000000"
"100312","20004","2","64","400"
"100313","20004","2","65","300"
"100314","20004","2","66","200"
"100315","94002","12","67","1000000"
"100316","94002","12","68","1000000"
"100317","94002","12","69","1000000"
"100318","20004","2","70","400"
"100319","20004","2","71","300"
"100320","20004","2","72","200"
"100321","94002","12","73","1000000"
"100322","94002","12","74","1000000"
"100323","94002","12","75","1000000"
"100324","20004","2","76","400"
"100325","20004","2","77","300"
"100326","20004","2","78","200"
"100401","94002","12","79","5000000"
"100402","90008","2","80","2000"
"100403","25001","2","81","20"
"100404","90008","2","82","2500"
"100405","25001","2","83","30"
"100406","91002","8","84","300"
"100407","41000","2","85","1"
"100408","94002","12","86","5000000"
"100409","94002","12","87","1000000"
"100410","94002","12","88","1000000"
"100411","94002","12","89","1000000"
"100412","20004","2","90","400"
"100413","20004","2","91","300"
"100414","20004","2","92","200"
"100415","94002","12","93","1000000"
"100416","94002","12","94","1000000"
"100417","94002","12","95","1000000"
"100418","20004","2","96","400"
"100419","20004","2","97","300"
"100420","20004","2","98","200"
"100421","94002","12","99","1000000"
"100422","94002","12","100","1000000"
"100423","94002","12","101","1000000"
"100424","20004","2","102","400"
"100425","20004","2","103","300"
"100426","20004","2","104","200"
"100501","94002","12","105","5000000"
"100502","90008","2","106","2000"
"100503","25001","2","107","20"
"100504","90008","2","108","2500"
"100505","25001","2","109","30"
"100506","91002","8","110","300"
"100507","41000","2","111","1"
"100508","94002","12","112","5000000"
"100509","94002","12","113","1000000"
"100510","94002","12","114","1000000"
"100511","94002","12","115","1000000"
"100512","20004","2","116","400"
"100513","20004","2","117","300"
"100514","20004","2","118","200"
"100515","94002","12","119","1000000"
"100516","94002","12","120","1000000"
"100517","94002","12","121","1000000"
"100518","20004","2","122","400"
"100519","20004","2","123","300"
"100520","20004","2","124","200"
"100521","94002","12","125","1000000"
"100522","94002","12","126","1000000"
"100523","94002","12","127","1000000"
"100524","20004","2","128","400"
"100525","20004","2","129","300"
"100526","20004","2","130","200"
"100601","94002","12","131","5000000"
"100602","90008","2","132","2000"
"100603","25001","2","133","20"
"100604","90008","2","134","2500"
"100605","25001","2","135","30"
"100606","91002","8","136","300"
"100607","41000","2","137","1"
"100608","94002","12","138","5000000"
"100609","94002","12","139","1000000"
"100610","94002","12","140","1000000"
"100611","94002","12","141","1000000"
"100612","20004","2","142","400"
"100613","20004","2","143","300"
"100614","20004","2","144","200"
"100615","94002","12","145","1000000"
"100616","94002","12","146","1000000"
"100617","94002","12","147","1000000"
"100618","20004","2","148","400"
"100619","20004","2","149","300"
"100620","20004","2","150","200"
"100621","94002","12","151","1000000"
"100622","94002","12","152","1000000"
"100623","94002","12","153","1000000"
"100624","20004","2","154","400"
"100625","20004","2","155","300"
"100626","20004","2","156","200"
"100701","94002","12","157","5000000"
"100702","90008","2","158","2000"
"100703","25001","2","159","20"
"100704","90008","2","160","2500"
"100705","25001","2","161","30"
"100706","91002","8","162","300"
"100707","41000","2","163","1"
"100708","94002","12","164","5000000"
"100709","94002","12","165","1000000"
"100710","94002","12","166","1000000"
"100711","94002","12","167","1000000"
"100712","20004","2","168","400"
"100713","20004","2","169","300"
"100714","20004","2","170","200"
"100715","94002","12","171","1000000"
"100716","94002","12","172","1000000"
"100717","94002","12","173","1000000"
"100718","20004","2","174","400"
"100719","20004","2","175","300"
"100720","20004","2","176","200"
"100721","94002","12","177","1000000"
"100722","94002","12","178","1000000"
"100723","94002","12","179","1000000"
"100724","20004","2","180","400"
"100725","20004","2","181","300"
"100726","20004","2","182","200"
"100801","94002","12","183","5000000"
"100802","90008","2","184","2000"
"100803","25001","2","185","20"
"100804","90008","2","186","2500"
"100805","25001","2","187","30"
"100806","91002","8","188","300"
"100807","41000","2","189","1"
"100808","94002","12","190","5000000"
"100809","94002","12","191","1000000"
"100810","94002","12","192","1000000"
"100811","94002","12","193","1000000"
"100812","20004","2","194","400"
"100813","20004","2","195","300"
"100814","20004","2","196","200"
"100815","94002","12","197","1000000"
"100816","94002","12","198","1000000"
"100817","94002","12","199","1000000"
"100818","20004","2","200","400"
"100819","20004","2","201","300"
"100820","20004","2","202","200"
"100821","94002","12","203","1000000"
"100822","94002","12","204","1000000"
"100823","94002","12","205","1000000"
"100824","20004","2","206","400"
"100825","20004","2","207","300"
"100826","20004","2","208","200"
"100901","94002","12","209","5000000"
"100902","90008","2","210","2000"
"100903","25001","2","211","20"
"100904","90008","2","212","2500"
"100905","25001","2","213","30"
"100906","91002","8","214","300"
"100907","41000","2","215","1"
"100908","94002","12","216","5000000"
"100909","94002","12","217","1000000"
"100910","94002","12","218","1000000"
"100911","94002","12","219","1000000"
"100912","20004","2","220","400"
"100913","20004","2","221","300"
"100914","20004","2","222","200"
"100915","94002","12","223","1000000"
"100916","94002","12","224","1000000"
"100917","94002","12","225","1000000"
"100918","20004","2","226","400"
"100919","20004","2","227","300"
"100920","20004","2","228","200"
"100921","94002","12","229","1000000"
"100922","94002","12","230","1000000"
