f0f35deef5b2481bf0a390c3af1effe4e50fdaf17e2046cc783d60a04563f41d,d206471298dcd8c8d5ce04fafb56e1c32c2905bfbaf65a72d38740025aba283c,269e3a18b87a410a59954320b4464d773ce4e1251b5fb6f8bc5826043d256579,7e529f276a8cb6e7ef07b06a4cf7627a3f8448cb90eb3e6e46494ec2f2a990d5,1dc0a15f70ca1ecbd8190496f915baaf21c8bb30073966e069cf5540e03052ef
"32000101","1000","25011","320001011","2"
"32000101","1000","25012","320001012","2"
"32000102","1000","25013","320001021","2"
"32000102","1000","25014","320001022","2"
"32000103","1000","91002","320001031","8"
"32000103","3000000","94002","320001032","12"
"32000103","1000","25015","320001033","2"
"32000103","1000","25021","320001034","2"
"32000104","1000","25013","320001041","2"
"32000104","1000","25014","320001042","2"
"32000105","1000","25012","320001051","2"
"32000105","1000","25015","320001052","2"
"32000106","1000","91002","320001061","8"
"32000106","3000000","94002","320001062","12"
"32000106","1000","25011","320001063","2"
"32000106","1000","25021","320001064","2"
"32000107","1000","25014","320001071","2"
"32000107","1000","25015","320001072","2"
"32000108","1000","25011","320001081","2"
"32000108","1000","25013","320001082","2"
"32000109","1000","91002","320001091","8"
"32000109","3000000","94002","320001092","12"
"32000109","1000","25012","320001093","2"
"32000109","1000","25021","320001094","2"
"32000110","3000","25011","320001101","2"
"32000110","3000","25012","320001102","2"
"32000110","3000","25013","320001103","2"
"32000110","3000","25014","320001104","2"
"32000110","3000","25015","320001105","2"
"32000111","3000","25011","320001111","2"
"32000111","3000","25012","320001112","2"
"32000111","3000","25013","320001113","2"
"32000111","3000","25014","320001114","2"
"32000111","3000","25015","320001115","2"
"32000112","3000","25011","320001121","2"
"32000112","3000","25012","320001122","2"
"32000112","3000","25013","320001123","2"
"32000112","3000","25014","320001124","2"
"32000112","3000","25015","320001125","2"
"32000113","1","21953","320001131","2"
"32000113","2000","25021","320001132","2"
