725a362383f41fb77e3a2569b480f8d9bee7422510135c7f00d06702ebe9f1d4,5eb4bf5b56ffc404129077eb49d4572eed0fc40fa0639ba7d09235628cc303a3,38ae9fd67f6348a75c3fae72e886244a3eb9bd201e4f1b885088d657e103a5c0,a6ea2c869e07441b7afe441071468e21a1b4e2f1223e2afb9051a4d12ce94208,6a367988851997218039bf191ca0354d839fbfb8d0221c749416417b888454c4,e0bd99dd97f40e8a932e49d61e5b18274fed681b76e0c51aa18d6c2f6c5ea140,61037c7316bbb00c96a27ef689e1d70eb68a63f11f340812b3fe53544a86392f,90743277ed16254fc10a4df0414810393b1dfbd7dc9e0b8b98909eeb3438bfc9
"111","4","3","5","104","2","200","1"
"211","4","3","5","14","2","2","1"
"311","4","3","5","103","2","2","1"
"411","4","3","5","102","2","2","1"
"511","4","3","5","104","2","200","1"
"611","4","3","5","1","2","250","1"
"711","4","3","5","101","2","3","1"
"811","4","3","5","100","2","3","1"
"911","4","3","5","104","2","200","1"
"1011","4","3","5","1","2","250","1"
"1111","4","3","5","3","2","250","1"
"1112","4","3","5","5","2","250","1"
"1211","4","3","5","6","2","150","1"
"1212","4","3","5","7","2","150","1"
"1311","4","3","5","104","2","200","1"
"1411","4","3","5","103","2","2","1"
"1511","4","3","5","102","2","2","1"
"1611","4","3","5","1","2","250","1"
"1711","4","3","5","104","2","200","1"
"1811","4","3","5","2","2","500","1"
"1812","4","3","5","4","2","500","1"
"1911","4","3","5","101","2","3","1"
"2011","4","3","5","100","2","3","1"
"2111","4","3","5","104","2","200","1"
"2211","4","3","5","1","2","250","1"
"2311","4","3","5","100","2","3","1"
"2411","4","3","5","101","2","3","1"
"2511","4","3","5","104","2","200","1"
"2611","4","3","5","2","2","500","1"
"2612","4","3","5","4","2","500","1"
"2711","4","3","5","6","2","150","1"
"2712","4","3","5","7","2","150","1"
"2811","4","3","5","2","2","500","1"
"2812","4","3","5","4","2","500","1"
"2911","4","3","5","104","2","200","1"
"3011","4","3","5","3","2","250","1"
"3012","4","3","5","5","2","250","1"
"3111","4","3","5","100","2","3","1"
"3211","4","3","5","101","2","3","1"
"3311","4","3","5","104","2","200","1"
"3411","4","3","5","100","2","2","1"
"3511","4","3","5","104","2","200","1"
"3611","4","3","5","103","2","1","1"
"3711","4","3","5","102","2","1","1"
"3811","4","3","5","2","2","250","1"
"3812","4","3","5","4","2","250","1"
"3911","4","3","5","102","2","1","1"
"4011","4","3","5","104","2","200","1"
"4111","4","3","5","100","2","2","1"
"4211","4","3","5","6","2","150","1"
"4212","4","3","5","7","2","150","1"
"4311","4","3","5","104","2","200","1"
"4411","4","3","5","103","2","1","1"
"4511","4","3","5","104","2","200","1"
"4611","4","3","5","101","2","2","1"
"4711","4","3","5","102","2","1","1"
"4811","4","3","5","104","2","200","1"
"4911","4","3","5","103","2","1","1"
"5011","4","3","5","104","2","200","1"
"5111","4","3","5","101","2","2","1"
"5211","4","3","5","102","2","1","1"
"5311","4","3","5","104","2","200","1"
"5411","4","3","5","6","2","150","1"
"5412","4","3","5","7","2","150","1"
"5511","4","3","5","103","2","1","1"
"5611","4","3","5","104","2","200","1"
"5711","4","3","5","100","2","2","1"
"5811","4","3","5","101","2","2","1"
"5911","4","3","5","103","2","1","1"
"6011","4","3","5","104","2","200","1"
"6111","4","3","5","102","2","1","1"
"6211","4","3","5","2","2","250","1"
"6212","4","3","5","4","2","250","1"
"6311","4","3","5","104","2","200","1"
"6411","4","3","5","103","2","1","1"
"6511","4","3","5","102","2","1","1"
"6611","4","3","5","104","2","200","1"
"6711","4","3","5","6","2","150","1"
"6712","4","3","5","7","2","150","1"
"6811","4","3","5","102","2","1","1"
"6911","4","3","5","104","2","200","1"
"7011","4","3","5","103","2","1","1"
"7111","4","3","5","101","2","2","1"
"7211","4","3","5","100","2","2","1"
"7311","4","3","5","104","2","200","1"
"7411","4","3","5","103","2","1","1"
"7511","4","3","5","102","2","1","1"
"7611","4","3","5","2","2","250","1"
"7612","4","3","5","4","2","250","1"
"7711","4","3","5","104","2","200","1"
"7811","4","3","5","101","2","2","1"
"7911","4","3","5","100","2","2","1"
"8011","4","3","5","104","2","200","1"
"8111","4","3","5","6","2","150","1"
"8112","4","3","5","7","2","150","1"
"8211","4","3","5","101","2","2","1"
"8311","4","3","5","2","2","250","1"
"8312","4","3","5","4","2","250","1"
"8411","4","3","5","103","2","1","1"
"8511","4","3","5","104","2","200","1"
"8611","4","3","5","100","2","2","1"
"8711","4","3","5","102","2","1","1"
"8811","4","3","5","103","2","1","1"
"8911","4","3","5","104","2","200","1"
"9011","4","3","5","102","2","1","1"
"9111","4","3","5","104","2","200","1"
"9211","4","3","5","2","2","250","1"
"9212","4","3","5","4","2","250","1"
"9311","4","3","5","104","2","200","1"
"9411","4","3","5","102","2","1","1"
"9511","4","3","5","103","2","1","1"
"9611","4","3","5","104","2","200","1"
"9711","4","3","5","104","2","200","1"
"9811","4","3","5","101","2","2","1"
"9911","4","3","5","104","2","200","1"
"10011","4","3","5","102","2","1","1"
"10111","4","3","5","103","2","1","1"
"10211","4","3","5","104","2","200","1"
"10311","4","3","5","2","2","250","1"
"10312","4","3","5","4","2","250","1"
"10411","4","3","5","100","2","2","1"
"10511","4","3","5","104","2","200","1"
"10611","4","3","5","103","2","1","1"
"10711","4","3","5","104","2","200","1"
"10811","4","3","5","103","2","1","1"
"10911","4","3","5","100","2","2","1"
