89834a47f5482761bee9b911b246db448d8957b730b2bf940cbccbea7dddd6ae,3d1ca6dee08d062982fabfc0b9841101c94f0d63aa64b7abf46a2fcb9fc4d6ac,33752f97b5e4307a3408b4929fee6a5173f3c141d7294eaf5f7aba2d8261ac78,590adad80bf8a7e762a584bf2becd92ec5bf86c83d887a826659aaa8fd955350,357331e908841abcfd8bc7b1a81de83984c12feed7cf6da9dcab4d27e650029d,5774388bcc1c459f4aaaacd7e4ff77d50f1165a6be2eec3c0a8b5535f0ce8dd6,5540bb64e04b4d5155f950a3c92534f5bd0e2f12f9c1928ee9fb6be124acd497,7288df0c2f927cef1d1b40e9ecbebc883e498f1bce7a517e273eddc4337b0cc4,fe8c9387578321287bf2f845d50c41baee6d15f4debefe71be3246a7a2042168
"100101","1","3","2","2","3","1","2","6"
"100201","3","2","1","1","3","2","1","5"
"100301","1","3","1","3","2","3","2","7"
"100401","1","3","2","2","2","3","2","13"
"100501","2","1","2","2","3","2","3","18"
"100601","1","2","1","2","3","2","3","25"
"100701","3","2","2","3","3","2","1","26"
"100801","3","1","2","3","2","3","1","40"
"100901","1","3","1","3","2","2","3","34"
"101001","3","2","1","1","3","2","1","8"
"101101","2","2","3","2","3","2","1","56"
"101201","1","3","3","2","1","2","2","43"
"101301","1","1","1","2","3","3","3","33"
"101401","3","1","1","1","2","2","2","11"
"101501","3","2","1","1","2","3","1","42"
"101601","2","1","3","2","3","3","1","46"
"101701","1","1","3","2","3","2","2","10"
"101801","3","1","1","1","2","3","2","45"
"102001","2","3","2","1","3","1","2","12"
"102101","1","2","1","1","3","3","2","30"
"102201","1","2","3","1","1","3","2","24"
"102301","1","3","2","2","3","1","3","31"
"102501","3","1","3","1","2","2","1","29"
"102601","3","2","2","1","3","1","1","51"
"102701","2","3","2","3","1","3","1","36"
"102801","2","1","2","1","2","3","1","28"
"102901","2","2","2","1","3","2","1","52"
"103001","2","1","1","2","3","3","2","39"
"103101","3","3","2","3","2","1","1","27"
"103201","3","3","2","2","1","2","1","19"
"103301","2","3","1","2","3","1","2","48"
"103401","2","2","2","1","1","2","3","20"
"103601","3","1","2","3","1","2","3","14"
"103701","1","1","2","3","2","3","3","17"
"103801","3","2","1","3","2","1","3","49"
"104001","2","2","3","1","1","1","3","44"
"104201","3","1","2","3","2","2","2","53"
"104301","1","3","3","3","2","2","1","9"
"104401","3","3","1","3","2","1","2","23"
"104501","2","2","1","1","2","2","3","38"
"104601","3","2","3","2","2","1","1","21"
"104701","1","1","3","3","2","2","3","15"
"104801","1","2","3","3","1","3","2","22"
"104901","2","3","2","1","2","2","1","55"
"105001","2","1","3","1","3","2","2","47"
"105101","3","1","3","3","1","1","2","35"
"105201","2","2","2","2","3","2","1","50"
"105301","1","3","2","3","2","3","1","37"
"105401","2","2","3","2","3","1","1","54"
"105501","2","3","1","1","2","1","3","41"
"105601","1","2","3","3","3","2","1","32"
"105701","1","2","2","1","3","2","2","67"
"105801","2","2","2","2","3","2","1","1"
"105901","3","2","1","1","2","2","2","2"
"106001","2","1","3","3","2","1","3","3"
"106101","1","3","2","2","3","2","2","58"
"106301","1","3","2","1","3","1","2","68"
"106401","1","2","2","1","3","2","3","4"
"106501","1","1","2","3","3","2","3","61"
"106601","3","1","2","2","3","1","3","62"
"106701","2","1","1","3","2","2","2","60"
"106801","1","1","2","1","1","2","3","57"
"107001","3","2","1","3","1","1","2","59"
"107101","1","2","2","3","1","3","2","16"
"109201","2","2","1","1","2","2","2","70"
"109301","2","2","3","2","3","2","1","72"
"109401","1","1","3","3","2","3","2","71"
"110801","1","2","3","1","2","2","2","64"
"110901","2","1","2","2","2","3","1","65"
"111001","3","1","1","3","3","1","2","63"
"111401","2","2","3","2","2","1","3","69"
"118001","3","1","3","2","1","2","2","66"
