5ff4f4e531b0fd2a92a9eca2e28533d5f0e116387d83d2c4254fe4552ccde82f,648c2513cda27f964365f0328a0eeb1c5f373253d567034b309b877af3331a17,8a449d56a35132a81e56b965e1667eb2265642a508ca417aae6e82e975bbde9b,63321e04de992f398da1a826f589fb4a8c68ad5ea33c550c9f5882cbf457399d,b73de30c4218439587184f0dfa35b8299c15745b8fda85d209b10da40aacb629
"火属性ボーナス特大アップ","92407010","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","1"
"物理防御力（ダウン不可）アップ","92407010","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","2"
"魔法防御力（ダウン不可）アップ","92407010","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","3"
"ＴＰ上昇上限付与","92407010","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","4"
"ＨＰ吸収ダウン","92407010","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","5"
"火属性ボーナス特大アップ","92407020","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","6"
"物理防御力（ダウン不可）アップ","92407020","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","7"
"魔法防御力（ダウン不可）アップ","92407020","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","8"
"ＴＰ上昇上限付与","92407020","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","9"
"ＨＰ吸収ダウン","92407020","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","10"
"火属性ボーナス特大アップ","92407030","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","11"
"物理防御力（ダウン不可）アップ","92407030","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","12"
"魔法防御力（ダウン不可）アップ","92407030","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","13"
"ＴＰ上昇上限付与","92407030","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","14"
"ＨＰ吸収ダウン","92407030","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","15"
"火属性ボーナス特大アップ","92407110","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","16"
"ダメージ減衰","92407110","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","17"
"物理防御力（ダウン不可）アップ","92407110","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","18"
"魔法防御力（ダウン不可）アップ","92407110","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","19"
"ＴＰ上昇上限付与","92407110","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","20"
"ＨＰ吸収ダウン","92407110","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","21"
"ＴＰダウンカット","92407110","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","22"
"火属性ボーナス特大アップ","92407120","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","23"
"ダメージ減衰","92407120","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","24"
"物理防御力（ダウン不可）アップ","92407120","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","25"
"魔法防御力（ダウン不可）アップ","92407120","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","26"
"ＴＰ上昇上限付与","92407120","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","27"
"ＨＰ吸収ダウン","92407120","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","28"
"ＴＰダウンカット","92407120","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","29"
"火属性ボーナス特大アップ","92407130","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","30"
"ダメージ減衰","92407130","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","31"
"物理防御力（ダウン不可）アップ","92407130","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","32"
"魔法防御力（ダウン不可）アップ","92407130","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","33"
"ＴＰ上昇上限付与","92407130","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","34"
"ＨＰ吸収ダウン","92407130","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","35"
"ＴＰダウンカット","92407130","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","36"
"火属性ボーナス特大アップ","92407140","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","37"
"ダメージ減衰","92407140","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","38"
"物理防御力（ダウン不可）アップ","92407140","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","39"
"魔法防御力（ダウン不可）アップ","92407140","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","40"
"ＴＰ上昇上限付与","92407140","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","41"
"ＨＰ吸収ダウン","92407140","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","42"
"ＴＰダウンカット","92407140","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","43"
"火属性ボーナス特大アップ","92407210","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","44"
"ダメージ減衰","92407210","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","45"
"物理防御力（ダウン不可）アップ","92407210","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","46"
"魔法防御力（ダウン不可）アップ","92407210","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","47"
"ＴＰ上昇上限付与","92407210","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","48"
"ＨＰ吸収ダウン","92407210","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","49"
"ＴＰダウンカット","92407210","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","50"
"ＴＰ回復","92407210","energy_recover","バトル開始時、すべてのモンスターのＴＰを特大回復。","51"
"火属性ボーナス特大アップ","92407220","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","52"
"ダメージ減衰","92407220","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","53"
"物理防御力（ダウン不可）アップ","92407220","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","54"
"魔法防御力（ダウン不可）アップ","92407220","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","55"
"ＴＰ上昇上限付与","92407220","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","56"
"ＨＰ吸収ダウン","92407220","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","57"
"ＴＰダウンカット","92407220","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","58"
"火属性ボーナス特大アップ","92407230","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","59"
