8462901fe862ce3801166ea17a091652124526a71c964c173d298d0baa020f1a,10efceec6f6a5697fa85006c6cc7df8300ebee98c29db6e08e2ed55efdc28b9a,ff0d2de23dea7e33e59b1c425625e177448c7dcb8d0287cc0b99288b3138de67,a4ea5356a507a8b4c7793f0aca45634e71d8a66bcb2a0e1c3e9a1a580d40fdaa,3705e02d3cfc3f23c0b0a0f62c03a6c12b95ec46de9688af880d49ed1d79041f,6346292d161d6452ba0a34a95f3ba34fdcb9ff7881d9e87736a820a39dca1261,649d29eef04b33297d9518d27f53db20138c64b2f50ffc4b84c2e525f96861f3,eb645fc9d1e1c1dec9d2c4dc6249220de7539d07ae9c7fca48be5ab45708d818,3c0ca5731d66f37b9c9ec028e00d5b27b000281c32604f3ca9f68f90f7a19aa4,b0b3e43d9b0cc30f16b8d575febcd690fb25584a3694dc4a2f8817553cffd929,837699621c5cc523e7f18c4716a27cf22df587d886d1e48f3821ea81fb039885,7f719bba197489642414339614643861cd13f6863fca7a13c8cdf732d112f241
"0","0","0.8","0","4","0","1","1009801","0","0","100980101","1"
"0","vo_lsv_0101","0","0","2","0","0","1009801","0","vo_lsv","100980102","2"
"2","0","0","1","1","300","0","1009801","0","0","100980103","3"
"0","0","2.3","0","4","0","1","1009801","0","0","100980104","4"
"2","0","0","2","1","280","0","1009801","0","0","100980105","5"
"0","0","3","0","4","0","1","1009801","0","0","100980106","6"
"0","vo_lsv_0102","0","0","2","0","0","1009801","0","vo_lsv","100980107","7"
"2.05","0","0","3","1","300","0","1009801","0","0","100980108","8"
"0","0","2.05","0","4","0","1","1009801","0","0","100980109","9"
"1.8","0","0","4","1","327","0","1009801","0","0","100980110","10"
"0","0","2.8","0","4","0","1","1009801","0","0","100980111","11"
"0","vo_lsv_0103","0","0","2","0","0","1009801","0","vo_lsv","100980112","12"
"2.3","0","0","5","1","300","0","1009801","0","0","100980113","13"
"0","0","2.5","0","4","0","1","1009801","0","0","100980114","14"
"1.9","0","0","6","1","275","0","1009801","0","0","100980115","15"
"0","0","2.9","0","4","0","1","1009801","0","0","100980116","16"
"0","vo_lsv_0104","0","0","2","0","0","1009801","0","vo_lsv","100980117","17"
"2.7","0","0","7","1","300","0","1009801","0","0","100980118","18"
"0","0","2.9","0","4","0","1","1009801","0","0","100980119","19"
"2.3","0","0","8","1","310","0","1009801","0","0","100980120","20"
"0","0","2.3","0","4","0","1","1009801","0","0","100980121","21"
"1.8","0","0","9","1","250","0","1009801","0","0","100980122","22"
"0","0","2.8","0","4","0","1","1009801","0","0","100980123","23"
"0","vo_lsv_0105","0","0","2","0","0","1009801","0","vo_lsv","100980124","24"
"2.5","0","0","10","1","320","0","1009801","0","0","100980125","25"
"0","0","2.5","0","4","0","1","1009801","0","0","100980126","26"
"0.7","0","0","11","1","165","0","1009801","15","0","100980127","27"
"0","0","0.8","0","4","0","1","1009802","0","0","100980201","1"
"0","vo_lsv_0201","0","0","2","0","0","1009802","0","vo_lsv","100980202","2"
"1.51","0","0","1","1","300","0","1009802","0","0","100980203","3"
"0","0","1.51","0","4","0","1","1009802","0","0","100980204","4"
"1.5","0","0","2","1","300","0","1009802","0","0","100980205","5"
"0","0","2.5","0","4","0","1","1009802","0","0","100980206","6"
"0","vo_lsv_0202","0","0","2","0","0","1009802","0","vo_lsv","100980207","7"
"1.8","0","0","3","1","300","0","1009802","0","0","100980208","8"
"0","0","1.8","0","4","0","1","1009802","0","0","100980209","9"
"1.1","0","0","4","1","300","0","1009802","0","0","100980210","10"
"0","0","2.1","0","4","0","1","1009802","0","0","100980211","11"
"0","vo_lsv_0203","0","0","2","0","0","1009802","0","vo_lsv","100980212","12"
"1.95","0","0","5","1","300","0","1009802","0","0","100980213","13"
"0","0","1.95","0","4","0","1","1009802","0","0","100980214","14"
"2.05","0","0","6","1","310","0","1009802","0","0","100980215","15"
"0","0","2.05","0","4","0","1","1009802","0","0","100980216","16"
"0.8","0","0","7","1","150","0","1009802","0","0","100980217","17"
"0","0","1.8","0","4","0","1","1009802","0","0","100980218","18"
"0","vo_lsv_0204","0","0","2","0","0","1009802","0","vo_lsv","100980219","19"
"1.7","0","0","8","1","300","0","1009802","0","0","100980220","20"
"0","0","2.1","0","4","0","1","1009802","0","0","100980221","21"
"2.3","0","0","9","1","327","0","1009802","0","0","100980222","22"
"0","0","3.3","0","4","0","1","1009802","0","0","100980223","23"
"0","vo_lsv_0205","0","0","2","0","0","1009802","0","vo_lsv","100980224","24"
"1.83","0","0","10","1","300","0","1009802","0","0","100980225","25"
"0","0","2.4","0","4","0","1","1009802","0","0","100980226","26"
"1.7","0","0","11","1","300","0","1009802","0","0","100980227","27"
"0","0","2.1","0","4","0","1","1009802","0","0","100980228","28"
"1.1","0","0","12","1","210","0","1009802","0","0","100980229","29"
"0","0","0.5","0","4","0","1","1009802","0","0","100980230","30"
"0","0","0.8","0","4","0","1","1009803","0","0","100980301","1"
"0","vo_lsv_0301","0","0","2","0","0","1009803","0","vo_lsv","100980302","2"
"1.87","0","0","1","1","300","0","1009803","0","0","100980303","3"
"0","0","2","0","4","0","1","1009803","0","0","100980304","4"
"0.561","0","0","2","1","110","0","1009803","0","0","100980305","5"
"0","0","1.561","0","4","0","1","1009803","0","0","100980306","6"
"0","vo_lsv_0302","0","0","2","0","0","1009803","0","vo_lsv","100980307","7"
"1.3","0","0","2","1","320","0","1009803","110","0","100980308","8"
"0","0","1.3","0","4","0","1","1009803","0","0","100980309","9"
"1.2","0","0","3","1","227","0","1009803","0","0","100980310","10"
"0","0","2.2","0","4","0","1","1009803","0","0","100980311","11"
"0","vo_lsv_0303","0","0","2","0","0","1009803","0","vo_lsv","100980312","12"
"2.1","0","0","4","1","280","0","1009803","0","0","100980313","13"
"0","0","2.1","0","4","0","1","1009803","0","0","100980314","14"
"1.2","0","0","5","1","195","0","1009803","0","0","100980315","15"
"0","0","2.2","0","4","0","1","1009803","0","0","100980316","16"
"0","vo_lsv_0304","0","0","2","0","0","1009803","0","vo_lsv","100980317","17"
"1.305","0","0","6","1","300","0","1009803","0","0","100980318","18"
"0","0","1.305","0","4","0","1","1009803","0","0","100980319","19"
"2.181","0","0","7","1","325","0","1009803","0","0","100980320","20"
"0","0","2.781","0","4","0","1","1009803","0","0","100980321","21"
"1.32","0","0","8","1","250","0","1009803","0","0","100980322","22"
"0","0","2.32","0","4","0","1","1009803","0","0","100980323","23"
"0","vo_lsv_0305","0","0","2","0","0","1009803","0","vo_lsv","100980324","24"
"2.453","0","0","9","1","300","0","1009803","0","0","100980325","25"
"0","0","2.453","0","4","0","1","1009803","0","0","100980326","26"
"1.547","0","0","10","1","215","0","1009803","0","0","100980327","27"
"0","0","2.547","0","4","0","1","1009803","0","0","100980328","28"
"0","vo_lsv_0306","0","0","2","0","0","1009803","0","vo_lsv","100980329","29"
"1.95","0","0","11","1","300","0","1009803","0","0","100980330","30"
"0","0","2.95","0","4","0","1","1009803","0","0","100980331","31"
"0","vo_lsv_0307","0","0","2","0","0","1009803","0","vo_lsv","100980332","32"
"1.39","0","0","12","1","240","0","1009803","0","0","100980333","33"
"0","0","0.8","0","4","0","1","1009804","0","0","100980401","1"
"0","vo_lsv_0401","0","0","2","0","0","1009804","0","vo_lsv","100980402","2"
"2.4","0","0","1","1","300","0","1009804","0","0","100980403","3"
"0","0","2.4","0","4","0","1","1009804","0","0","100980404","4"
"0.6","0","0","2","1","150","0","1009804","0","0","100980405","5"
"0","0","1.6","0","4","0","1","1009804","0","0","100980406","6"
"0","vo_lsv_0402","0","0","2","0","0","1009804","0","vo_lsv","100980407","7"
"2.35","0","0","3","1","355","0","1009804","0","0","100980408","8"
"0","0","3.35","0","4","0","1","1009804","0","0","100980409","9"
"0","vo_lsv_0403","0","0","2","0","0","1009804","0","vo_lsv","100980410","10"
"1.669","0","0","4","1","300","0","1009804","0","0","100980411","11"
"0","0","2.1","0","4","0","1","1009804","0","0","100980412","12"
"1.7","0","0","5","1","230","0","1009804","0","0","100980413","13"
"0","0","2","0","4","0","1","1009804","0","0","100980414","14"
"1.35","0","0","6","1","230","0","1009804","0","0","100980415","15"
"0","0","2.85","0","4","0","1","1009804","0","0","100980416","16"
"0","vo_lsv_0404","0","0","2","0","0","1009804","0","vo_lsv","100980417","17"
"1.51","0","0","7","1","327","0","1009804","0","0","100980418","18"
"0","0","1.61","0","4","0","1","1009804","0","0","100980419","19"
"1.29","0","0","8","1","300","0","1009804","0","0","100980420","20"
"0","0","1.949","0","4","0","1","1009804","0","0","100980421","21"
"1.925","0","0","9","1","300","0","1009804","0","0","100980422","22"
"0","0","0.8","0","4","0","1","1009805","0","0","100980501","1"
"0","vo_lsv_0501","0","0","2","0","0","1009805","0","vo_lsv","100980502","2"
"2.115","0","0","1","1","300","0","1009805","0","0","100980503","3"
"0","0","3.115","0","4","0","1","1009805","0","0","100980504","4"
"0","vo_lsv_0502","0","0","2","0","0","1009805","0","vo_lsv","100980505","5"
"1.743","0","0","2","1","310","0","1009805","0","0","100980506","6"
"0","0","2.743","0","4","0","1","1009805","0","0","100980507","7"
"0","vo_lsv_0503","0","0","2","0","0","1009805","0","vo_lsv","100980508","8"
"1.86","0","0","3","1","300","0","1009805","0","0","100980509","9"
"0","0","2.26","0","4","0","1","1009805","0","0","100980510","10"
