a30f20596bde058b7ab8fbd590c75f3ce97b1475c1c6554566f993d93c588065,b02c73d08a6cd4ce386bd34a17d14da72e6e78fa57da7b2baaf2f215426be92c,7e333c27ad1069b68f8d6b06ae7f7867f5faa7daf1138487665390fbe5839ad0,e10d32366880430ced62f6e75e88a26a94d66eef0730a45ec04b73cf49c1e2f0,2dfffc4b31611dc888011afbfe9d01c6c4dea058207b91316a7fdcbaa73be7a1,6a60f1554b3d07edf4b9058bcdf68ba0e76fd9e4e28b5bbc456b91e98f20a8f7,bfd6dbdb09b7af7374590ad913d923af6f2c86a53cac50834693b033c8a3924d,6fafe517caad4c3eba2ae11d5befc5905e4e7f72de681ebb18cf429014249612
"48","3","5","2","4","1","1","111"
"96","3","5","2","4","1","1","121"
"144","3","5","2","4","1","1","131"
"192","3","5","2","4","1","1","141"
"240","3","5","2","4","1","1","151"
"84","0","0","0","0","2","1","211"
"168","0","0","0","0","2","1","221"
"252","0","0","0","0","2","1","231"
"336","0","0","0","0","2","1","241"
"420","0","0","0","0","2","1","251"
"36","0","0","0","0","5","3","311"
"72","0","0","0","0","5","3","321"
"108","0","0","0","0","5","3","331"
"144","0","0","0","0","5","3","341"
"180","0","0","0","0","5","3","351"
"84","0","0","0","0","4","4","411"
"168","0","0","0","0","4","4","421"
"252","0","0","0","0","4","4","431"
"336","0","0","0","0","4","4","441"
"420","0","0","0","0","4","4","451"
"84","0","0","0","0","4","2","511"
"168","0","0","0","0","4","2","521"
"252","0","0","0","0","4","2","531"
"336","0","0","0","0","4","2","541"
"420","0","0","0","0","4","2","551"
"84","0","0","0","0","2","4","611"
"168","0","0","0","0","2","4","621"
"252","0","0","0","0","2","4","631"
"336","0","0","0","0","2","4","641"
"420","0","0","0","0","2","4","651"
"56","0","0","0","0","1","5","711"
"112","0","0","0","0","1","5","721"
"168","0","0","0","0","1","5","731"
"224","0","0","0","0","1","5","741"
"280","0","0","0","0","1","5","751"
"1","0","0","0","0","101","2","811"
"84","0","0","0","0","2","3","911"
"168","0","0","0","0","2","3","921"
"252","0","0","0","0","2","3","931"
"336","0","0","0","0","2","3","941"
"420","0","0","0","0","2","3","951"
"1","0","0","0","0","101","1","1011"
"36","0","0","0","0","5","2","1111"
"72","0","0","0","0","5","2","1121"
"108","0","0","0","0","5","2","1131"
"144","0","0","0","0","5","2","1141"
"180","0","0","0","0","5","2","1151"
"84","0","0","0","0","4","5","1211"
"168","0","0","0","0","4","5","1221"
"252","0","0","0","0","4","5","1231"
"336","0","0","0","0","4","5","1241"
"420","0","0","0","0","4","5","1251"
"86","0","0","0","0","2","1","1311"
"172","0","0","0","0","2","1","1321"
"258","0","0","0","0","2","1","1331"
"344","0","0","0","0","2","1","1341"
"430","0","0","0","0","2","1","1351"
"44","0","0","0","0","1","3","1411"
"88","0","0","0","0","1","3","1421"
