16ba24b489daefdc8a057010030d22a3415d418500ef7c8a3f0613a5e72350e4,d49e78e2e7b32c0a5d354990828ad3dd336bff5f9be601b3484daee262cf2334,c10efc66f21532edfe463e07d9f54781a19fd46a5cb35d934b361af0c8010a6b
"1","100101","1"
"1","100201","1"
"1","100301","1"
"1","100401","1"
"1","102101","1"
"1","102201","1"
"1","102501","1"
"1","103401","1"
"1","104001","1"
"1","105001","1"
"1","105201","1"
"1","105801","1"
"1","105901","1"
"1","106001","1"
"1","100601","2"
"1","100701","2"
"1","100801","2"
"1","101301","2"
"1","101601","2"
"1","101701","2"
"1","102001","2"
"1","102301","2"
"1","102701","2"
"1","103101","2"
"1","103301","2"
"1","103801","2"
"1","104201","2"
"1","104501","2"
"1","104601","2"
"1","104801","2"
"1","105101","2"
"1","102601","2"
"1","101501","2"
"1","105401","2"
"1","100501","2"
"1","100901","3"
"1","101001","3"
"1","101101","3"
"1","101201","3"
"1","101801","3"
"1","102801","3"
"1","102901","3"
"1","103001","3"
"1","103201","3"
"1","104301","3"
"1","104901","3"
"1","105301","3"
"1","105701","3"
"1","104701","3"
"1","106301","3"
"1","103601","3"
"1","104401","3"
"1","103701","3"
"1","105601","3"
"1","107101","3"
