077d6828c42e3d387ff2d86286e63b4c4bb96ebe3e7ce9da5c69ae13bb8ec598,69307426a903afe030a1525f7c251ddf1b6c50463cf5dd638ae1dadefa186c31,657a38034c6040744af6a4b40f9c01100c85cb3a7bbaaee4236c6fafb15aa876,fea65a0aa6913a7bae8a88611dde27bea3796dfe97112b6a28d3288d05325133,a9ac3c6ede5cea81bfc9302011d170abb6a185379017d57c9663f7be67b4d01b,7e5329c1a3e2c41314bb2fcecf358a2b1f1bb6e93fed219bc90620dbd09722c9,b01161c5c73c109074fad514103fb800a912a58d96a46b81018b883670837c4b,4d7f644097f82cfdec041ccc7db72b10680c8b28201621d2671dd31fb0a56484,af34288ec3799eac131c2628e846cc961cd850acb1956be69916d8e877643a29,eb9e3cf161a1486d5923ae3e55a33b186693d28dcfce7092f6fcfa38f55a997b,1dade4bfc5d03cd9fd2056c58f088c0f09aa5b7614317b71b58251318f9af500
"1010001","1","0","100","01_uek_cmn_idol_def_N","1","-496","1","1.3","-157","105831"
"1010002","1","0","110","01_uek_cmn_idol_def_N","1","-355","1","1.3","-178","105931"
"1010003","1","1","100","01_uek_cmn_idol_def_N","1","410","1","1.3","-124","112631"
"1010004","1","1","110","01_uek_cmn_idol_def_N","1","389","1","1.3","-258","112531"
"1010005","1","0","120","01_uek_cmn_idol_def_N","1","-415","1","1.3","-234","106031"
"1010006","1","1","120","01_uek_cmn_idol_def_N","1","262","1","1.3","-235","112431"
"1010007","3","0.2","0","","1","01_uek_cmn_pose03","105831","0","1","01_uek_01_peko"
"1010008","3","0.2","0","","1","01_uek_talk_normal","105931","0","1","01_uek_01_kokkoro"
"1010009","3","0.2","0","","1","01_uek_cmn_pose02","106031","0","1","01_uek_01_kyaru"
"1010010","3","0.2","0","","1","01_uek_cmn_pose03","112631","0","1","01_uek_01_mio"
"1010011","3","0.2","0","","1","01_uek_cmn_pose02","112531","0","1","01_uek_01_rin"
"1010012","3","0.2","0","","1","01_uek_cmn_pose01","112431","0","1","01_uek_01_uduki"
"1010013","93","","","","1","","3","","",""
"1010014","3","","1","","1","","112631","0.2","0","01_uek_cmn_pose03"
"1010015","3","","1","","1","","112431","0.2","0","01_uek_cmn_pose01"
"1010016","3","","1","","1","","105831","0.2","0","01_uek_cmn_pose03"
"1010017","3","0.1","0","","1","01_uek_cmn_idol_def_N","105931","0.2","1","01_uek_talk_normal"
"1010018","3","0.1","0","","1","01_uek_cmn_idol_def_N","106031","0.2","1","01_uek_cmn_pose02"
"1010019","3","0.1","0","","1","01_uek_cmn_idol_def_N","112531","0.2","1","01_uek_cmn_pose02"
