e285ae56f75ad48de0e031fa909626acd487101cca3f9abbfdcc208dc985d60d,83046a02ce8b58ecd84ac087eac7daca61f709fb51344837a0a2ee96c3889710,c57cd733d3b983e671067251e56cd4a2aece70128daed2e6a93d20d3cc4f0981,63ba5604deed3b1bf2855e6913cdc531b4c0322fca2322aea0785a0665fdd9c8,d7846cd4c6f41335c8c4b851c466d9261b200413ddca8a203e402df941bc5b4f,b743bc7e03488bad2008b9ddbbcf265f2a5ff6bd2678de96995808fee159d3a6,2c0dd27f0783e9b34159cdb2d1531f6eb9acd8d734ad1888afc4014e20e2037f
"10101","1","2023/12/31 23:59:59","アニメ プリンセスコネクト！Re:Dive 1 封入特典","101","2020-08-04 12:00:00","0"
"10102","1","2023/12/31 23:59:59","アニメ プリンセスコネクト！Re:Dive 2 封入特典","101","2020-09-03 19:00:00","0"
"10103","1","2023/12/31 23:59:59","アニメ プリンセスコネクト！Re:Dive 3 封入特典","101","2020-10-01 17:00:00","0"
"10104","1","2023/12/31 23:59:59","アニメ プリンセスコネクト！Re:Dive 4 封入特典","101","2020-11-05 12:00:00","0"
"10201","1","2026/12/31 23:59:59","アニメ プリコネ！Re:Dive Season2 1巻 購入特典","102","2022-03-21 00:00:00","0"
"10202","1","2026/12/31 23:59:59","アニメ プリコネ！Re:Dive Season2 2巻 購入特典","102","2022-04-18 00:00:00","0"
"10203","1","2026/12/31 23:59:59","アニメ プリコネ！Re:Dive Season2 3巻 購入特典","102","2022-05-16 00:00:00","0"
"20101","1","2022/05/19 23:59:59","週刊ファミ通6月3日号（5月20日発売） 封入特典","201","2021-05-19 00:00:00","0"
"20201","1","2030/07/30 23:59:59","公式アートワークス Vol.3 発売記念アイテム","202","2021-07-30 00:00:00","0"
"20301","3","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ","203","2023-01-15 15:00:00","1"
"20302","3","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ","203","2023-01-15 15:00:00","1"
"20303","3","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ","203","2023-01-15 15:00:00","1"
"20304","3","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ","203","2023-01-15 15:00:00","1"
"20305","3","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ","203","2023-01-15 15:00:00","1"
"20306","3","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ","203","2023-01-15 15:00:00","1"
"20307","3","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ","203","2023-01-15 15:00:00","1"
"20308","3","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ","203","2023-01-15 15:00:00","1"
"20309","3","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ","203","2023-01-15 15:00:00","1"
"20310","3","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ","203","2023-01-15 15:00:00","1"
"20311","3","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ","203","2023-01-15 15:00:00","1"
"20312","3","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ","203","2023-01-15 15:00:00","1"
"20313","3","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ","203","2023-01-15 15:00:00","1"
"20314","3","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ","203","2023-01-15 15:00:00","1"
"20315","3","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ","203","2023-01-15 15:00:00","1"
"20316","3","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ","203","2023-01-15 15:00:00","1"
"20317","3","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ","203","2023-01-15 15:00:00","1"
"20401","1","2025/02/13 23:59:59","キャラクターソングアルバムVol.5 購入特典","204","2024-02-14 00:00:00","0"
"20501","1","2025/02/13 23:59:59","サウンドトラックVol.6 購入特典","205","2024-02-14 00:00:00","0"
"20601","0","2030/12/31 23:59:59","佐賀市ふるさと納税返礼品","206","2024-11-29 12:00:00","0"
"20602","0","2030/12/31 23:59:59","佐賀市ふるさと納税返礼品","206","2024-11-29 12:00:00","0"
"20603","0","2030/12/31 23:59:59","佐賀市ふるさと納税返礼品","206","2024-11-29 12:00:00","0"
"20701","1","2026/02/11 23:59:59","キャラクターソングアルバムVol.6 購入特典","207","2025-02-10 12:00:00","0"
"20801","0","2030/12/31 23:59:59","佐賀市ふるさと納税返礼品 第2弾","208","2025-08-12 12:00:00","0"
"20802","0","2030/12/31 23:59:59","佐賀市ふるさと納税返礼品 第2弾","208","2025-08-12 12:00:00","0"
"20803","0","2030/12/31 23:59:59","佐賀市ふるさと納税返礼品 第2弾","208","2025-08-12 12:00:00","0"
"20901","1","2030/12/31 23:59:59","Shadowverse EVOLVE 特典シリアルコードA","209","2026-01-29 12:00:00","0"
"20902","1","2030/12/31 23:59:59","Shadowverse EVOLVE 特典シリアルコードB","209","2026-01-29 12:00:00","0"
"20903","1","2030/12/31 23:59:59","Shadowverse EVOLVE 特典シリアルコードC","209","2026-01-29 12:00:00","0"
"30101","1","2026/03/13 18:59:59","プリコネフェス2026 シリアルコード①","301","2026/02/13 12:00:00","0"
"30102","1","2026/03/13 18:59:59","プリコネフェス2026 シリアルコード②","301","2026/02/13 12:00:00","0"
"30103","1","2026/03/13 18:59:59","プリコネフェス2026 シリアルコード③","301","2026/02/13 12:00:00","0"
"30104","1","2026/03/13 18:59:59","プリコネフェス2026 シリアルコード④","301","2026/02/13 12:00:00","0"
