b6b2b9c83175af20424a1e64bd6a1b107cd52d5adcf82a30a7418478fa5c64e3,041c3845be4aac8ab7ae8e1ac823059bb8632bcf6d22d24bea6ff6308e2ae141,829dfbc9b0efce1016360f16f623299f36a04435c1a946f6ea36df8a88c37ba0,5ea2ab1e53152ab5a2904962d5ece1c1fc609e22e7d50015384c757bdd72c278,1da543f715b151f597be375a9fed3f74b579ee4a31bb5285ea390b200e2ee94d,ec6b9d3f7dd0f32ad1574e4ca877e338c9e062f8dbe657f6edd62dc57f48e9c8,859c5bda9e902eb409b6391dc48b0039d46bd35afe623ab96b40da7129b09559,4d46a6bf4f85b669c55a00756241534e5dd850007b1b5a61fbcd088ad0a87bb1,80e1ef3ea5bf8616b9294d4ccf1c23ff7c34ea242d219bec4b842d73b92dc4b3,4b2237032e88becd3b9eb1c102dcdcbcdd32f477a6b8501782401a4503d10eae,5a8f705173f8afd57f975b7ef0d1ded04cf7a9dd5b95368f0e4cb16edf38d3eb
"0","1.35","-209.3","101","1","-421","110","nyx_idle_normal","1","11010001","110931"
"0","1.35","-182.5","101","1","121.8","110","nyx_idle_normal","1","11010002","104831"
"0","1.35","-182.5","101","1","227.7","110","nyx_idle_normal","1","11010003","104631"
"1","1.35","-182.5","101","1","340.3","110","nyx_talk_normal","1","11010004","103231"
"1","1.35","-182.5","101","1","449.6","110","nyx_idle_normal","1","11010005","103431"
"0","1.35","-209.3","101","2","-421","120","NoItem","5","11010006","2"
"","1","1","101","1","0","0","","31","11010007","1"
"","0","1","101","15","0","-300","","31","11010008","3"
"","0","1.5","101","15","0","-300","","31","11010009","4"
"","","","101","bgm_M347","","","","25","11010010","bgm_M347"
"","","","101","2","","","","93","11010011",""
"","0.2","1","101","2","nyx_101_chieru_loop","0","","3","11010012","nyx_101_chieru_01"
"","0.2","1","101","110931","nyx_101_chieru_loop","0","","3","11010013","nyx_101_chieru_01"
"","","","101","110931","","10","","11","11010014","ちぇる～ん♪\n最初はとにかく\nインパクト！"
"","","","101","0.4","","","","93","11010015",""
"","","","101","3","","","","32","11010016","0"
"","","","101","3","","","","32","11010017","1"
"","","","101","11010014","","","","91","11010018",""
"","","","101","110931","","10","","11","11010019","強めの初ちぇるで\n審査員のハートを\n鷲掴み子ちゃんです"
"","","","101","1","","","","93","11010020",""
"","0.2","","101","103231","","1","","3","11010021","nyx_idle_joy1"
"","0.2","","101","104631","","1","","3","11010022","nyx_cmn_05"
"","","","101","11010019","","","","91","11010023",""
"","0.2","1","101","2","nyx_101_chieru_loop","0","","3","11010024","nyx_101_chieru_01"
"","0.2","1","101","110931","nyx_101_chieru_loop","0","","3","11010025","nyx_101_chieru_01"
"","","","101","110931","","7","","11","11010026","ちぇるーん♪\nいや、まだ行ける…\nちぇっ☆るゥ～ん！"
"","","","101","0.4","","","","93","11010027",""
"","","","101","3","","","","32","11010028","0"
"","","","101","3","","","","32","11010029","1"
"","","","101","0.6","","","","93","11010030",""
"","0.2","","101","103431","","1","","3","11010031","nyx_talk_bitter"
"","0.2","","101","104631","","1","","3","11010032","nyx_cmn_04"
"","","","101","2","","","","93","11010033",""
"","0.2","1","101","2","nyx_101_chieru_loop","0","","3","11010034","nyx_101_chieru_02"
"","0.2","1","101","110931","nyx_101_chieru_loop","0","","3","11010035","nyx_101_chieru_02"
"","","","101","0.4","","","","93","11010036",""
"","","","101","3","","","","32","11010037","0"
"","","","101","4","","","","32","11010038","1"
"","","","101","11010026","","","","91","11010039",""
"","0.2","","101","103431","","1","","3","11010040","nyx_idle_bitter"
"","0.2","","101","104831","","1","","3","11010041","nyx_talk_sad"
"","","","101","104831","","10","","11","11010042","ね、ねぇ…\n廊下の方から\n何か聞こえない？"
"","","","101","0","","","","91","11010043",""
"","","","101","110931","","","","4","11010044","1"
"","","","101","2","","","","4","11010045","1"
"","0.2","1","101","2","nyx_101_chieru_loop","0","","3","11010046","nyx_101_chieru_02"
"","0.2","1","101","110931","nyx_101_chieru_loop","0","","3","11010047","nyx_101_chieru_02"
"","0.2","","101","104831","","1","","3","11010048","nyx_idle_sad"
"","0.2","","101","104631","","1","","3","11010049","nyx_talk_sad"
"","","","101","104631","","10","","11","11010050","なんかちぇるちぇる\n聞こえるにゃ…\nこわいにゃ…"
"","","","101","0","","","","91","11010051",""
"","0.2","","101","104631","","1","","3","11010052","nyx_idle_sad"
"","0.2","","101","103431","","1","","3","11010053","nyx_talk_sad"
"","","","101","103431","","10","","11","11010054","学校の七不思議的な\nやつかしら…\nか、帰りたい…"
"","","","101","0","","","","91","11010055",""
"","0.2","","101","103431","","1","","3","11010056","nyx_idle_sad"
"","0.2","","101","103231","","1","","3","11010057","nyx_talk_joy2"
"","","","101","103231","","10","","11","11010058","面白いですわね！\n何が出てくるか\nワクワクしますわ！"
"","","","101","0","","","","91","11010059",""
"","","","101","0.4","","","","93","11010060",""
"","","","101","110931","","","","4","11010061","0"
"","","","101","2","","","","4","11010062","0"
"","0.2","1","101","110931","nyx_101_chieru_loop","0","","3","11010063","nyx_101_chieru_01"
"","0.2","1","101","2","nyx_101_chieru_loop","0","","3","11010064","nyx_101_chieru_01"
"","","","101","104831","","1","","12","11010065","1"
"0.2","0.2","1","101","104831","nyx_idle_sad","0","","3","11010066","nyx_talk_sad"
"","","","101","0.4","","","","93","11010067",""
"","","","101","3","","","","32","11010068","0"
"","","","101","3","","","","32","11010069","1"
"","","","101","1.6","","","","93","11010070",""
"","","","101","104631","","1","","12","11010071","15"
"0.2","0.2","1","101","104631","nyx_idle_sad","0","","3","11010072","nyx_talk_sad"
"","","","101","3","","","","93","11010073",""
"","","","101","110931","","","","4","11010074","1"
"","","","101","2","","","","4","11010075","1"
"","0.2","1","101","110931","nyx_101_chieru_loop","0","","3","11010076","nyx_101_chieru_02"
"","0.2","1","101","2","nyx_101_chieru_loop","0","","3","11010077","nyx_101_chieru_02"
"","","","101","103231","","1","","12","11010078","10"
"0.2","0.2","1","101","103231","nyx_idle_joy1","0","","3","11010079","nyx_talk_joy1"
"","","","101","2","","","","93","11010080",""
"","","","101","103431","","1","","12","11010081","2"
"0.2","0.2","1","101","103431","nyx_idle_sad","0","","3","11010082","nyx_talk_sad"
"","","","101","2.5","","","","93","11010083",""
"","","","101","11010060","","","","101","11010084",""
"1","1.35","-209.3","102","1","-362","110","nyx_102_chloe_01","1","11020001","110831"
"0","1.35","-182.5","102","1","90","110","nyx_102_mifuyu_01","1","11020002","104831"
