72bb7b65149397241f26ec93ef57c32eeab7203d271902f037239a2d030b8617,ec0ae83d94c30064ec983ae842fb1f00e88150f303e1f512036016c59a4a0bd8,e11fc75b489148762a9b05ee152e188eb78eccdbec7a6d55ce0a64bb5b0fe860,ec3280f31eb7c63deb1594b4a2bd721f20f926c5b0d89e16199f63b0f5e3258d,44883d45dbcf7b961144ee659d33e14dc94e9548276e091993566e4f295be0ed,78340a41ea56704ecfb1b9c439db2ae2b67af5995db216b6fdec4a13c97d54d7,fec5305fecc8c14aa5e75440eef06d640f92b5dac8845f0d869c174527afde19,4794d7fefcb4a88fb5337157920c6e3d53560c08034cf09f3d0949c8c31007b7
"2001","0","0","短時間、障害物バリアを展開！","短時間、障害物バリアを展開する　（ＴＰ上昇率：大）","101","0","3"
"3","5","0","中時間、スピードとジャンプ小アップ！","中時間、スピードとジャンプを　　小アップ（ＴＰ上昇率：小）","102","5","5"
"1","0","0","短時間、スピード中アップ！","短時間、スピードを中アップ　　　（ＴＰ上昇率：中）","103","6","4"
"2001","0","0","中時間、障害物バリアを展開！","中時間、障害物バリアを展開する　（ＴＰ上昇率：小）","104","0","5"
"1","0","0","中時間、スピード小アップ！","中時間、スピードを小アップ　　　（ＴＰ上昇率：小）","105","3","6"
"1001","0","0","中時間、対戦相手のスピード小ダウン！","中時間、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：大）","106","4","6"
"3","16","0","中時間、スピードとジャンプ特大アップ！","中時間、スピードとジャンプを　　特大アップ（ＴＰ上昇率：小）","107","17","5"
"1","0","0","ラウンド中、スピード中アップ！","ラウンド中、スピードを中アップ　（ＴＰ上昇率：小）","108","8","40"
"1","0","0","短時間、スピード特大アップ！","短時間、スピードを特大アップ　　（ＴＰ上昇率：特小）","109","30","4"
"1001","0","0","ラウンド中、対戦相手が大きく減速！","ラウンド中、対戦相手のスピードを中ダウン（ＴＰ上昇率：小）","110","10","40"
"2001","0","0","ごく短時間、障害物バリアを展開！","ごく短時間、障害物バリアを　　　展開する（ＴＰ上昇率：大）","111","0","1"
"1004","0","0","短時間、先頭の対戦相手が大きく減速！","短時間、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：小）","112","15","4"
"1","0","0","中時間、スピード小アップ！","中時間、スピードを小アップ　　　（ＴＰ上昇率：大）","113","5","6"
"2","0","0","中時間、ジャンプ小アップ！","中時間、ジャンプを小アップ　　　（ＴＰ上昇率：大）","114","5","5"
"2002","0","0","長時間、バリアで能力ダウンを防ぐ！","長時間、能力ダウンを防ぐバリアを展開する（ＴＰ上昇率：特大）","115","0","7"
"1","0","0","累積で、スピード小アップ！","累積で、スピードを小アップ　　　（ＴＰ上昇率：特大）","116","3","25"
"1001","0","0","累積で、対戦相手が小さく減速！","累積で、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：特大）","117","3","25"
"3","20","0","長時間、スピードとジャンプ特大アップ！","長時間、スピードとジャンプを　　特大アップ（ＴＰ上昇率：中）","118","30","7"
"1004","0","0","短時間、先頭の対戦相手が大きく減速！","短時間、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：中）","119","15","4"
"2002","0","0","長時間、バリアで能力ダウンを防ぐ！","長時間、能力ダウンを防ぐバリアを展開する（ＴＰ上昇率：大）","120","0","7"
"2","0","0","長時間、ジャンプ特大アップ！","長時間、ジャンプを特大アップ　　（ＴＰ上昇率：中）","121","30","12"
"1004","0","0","累積で、先頭の対戦相手が大きく減速！","累積で、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：中）","122","15","30"
"4","2","8","短時間大きく加速した後、ごく短時間減速！","短時間スピード大アップ後、　　　スピードダウン（ＴＰ上昇率：大）","123","11","4"
"1","0","0","長時間、スピード中アップ！","長時間、スピードを中アップ　　　（ＴＰ上昇率：大）","124","9","8"
"2001","0","0","短時間、障害物バリアを展開！","短時間、障害物バリアを展開する　（ＴＰ上昇率：中）","125","0","4"
"1001","0","0","累積で、対戦相手が小さく減速！","累積で、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：特大）","126","3","30"
"1","0","0","長時間、スピード特大アップ！","長時間、スピードを特大アップ　　（ＴＰ上昇率：特小）","127","22","10"
"2","0","0","短時間、ジャンプ特大アップ！","短時間、ジャンプを特大アップ　　（ＴＰ上昇率：大）","128","30","4"
"1001","0","0","短時間、対戦相手のスピード特大ダウン！","短時間、対戦相手のスピードを　　特大ダウン（ＴＰ上昇率：大）","129","20","3"
"1","0","0","短時間、スピード特大アップ！","短時間、スピードを特大アップ　　（ＴＰ上昇率：大）","130","30","4"
