39920298900961ea37fb7c8fd321bd71d7290b0f60d6a57aac3eb90849d8f2a7,07d57a65803e9077818cbe090411b3d017c13cdf43f65574d47cf4eedb5a85f8,26e65a275a075befdb42a83e567d3fd0186673b671fd3eca6017bd5ab0c6bbbf,5a1a140dba293dab1c64b98e790d482acf052486a98d2e7ac28ac761518735d1,96749b9dd78d6f840877c82bc00ae7a4838ebc2b869c50e667a6bfbec031ca60,aa4b4c9216b11acc71c06a9f7df31d7e88ffb005efa44921b8f69211716703a0,554dd4802ba8be695508a6f10c408837297f1924f39f119fdcf22521e6564c52
"101","1","累計スコアを2500pt 獲得しよう","8","91002","2500","10"
"102","1","累計スコアを5000pt 獲得しよう","8","91002","5000","10"
"103","1","累計スコアを10000pt 獲得しよう","8","91002","10000","10"
"104","1","累計スコアを12500pt 獲得しよう","8","91002","12500","10"
"105","1","累計スコアを15000pt 獲得しよう","8","91002","15000","10"
"106","1","累計スコアを20000pt 獲得しよう","8","91002","20000","10"
"107","1","累計スコアを25000pt 獲得しよう","8","91002","25000","10"
"108","1","累計スコアを30000pt 獲得しよう","8","91002","30000","10"
"109","1","累計スコアを35000pt 獲得しよう","8","91002","35000","10"
"110","1","累計スコアを40000pt 獲得しよう","8","91002","40000","10"
"111","1","累計スコアを45000pt 獲得しよう","8","91002","45000","10"
"112","1","累計スコアを50000pt 獲得しよう","15","11001302","50000","1"
"201","2","累計スコアを2500pt 獲得しよう","8","91002","2500","10"
"202","2","累計スコアを5000pt 獲得しよう","8","91002","5000","10"
"203","2","累計スコアを10000pt 獲得しよう","8","91002","10000","10"
"204","2","累計スコアを12500pt 獲得しよう","8","91002","12500","10"
"205","2","累計スコアを15000pt 獲得しよう","8","91002","15000","10"
"206","2","累計スコアを20000pt 獲得しよう","8","91002","20000","10"
"207","2","累計スコアを25000pt 獲得しよう","8","91002","25000","10"
"208","2","累計スコアを30000pt 獲得しよう","8","91002","30000","10"
"209","2","累計スコアを35000pt 獲得しよう","8","91002","35000","10"
"210","2","累計スコアを40000pt 獲得しよう","8","91002","40000","10"
"211","2","累計スコアを45000pt 獲得しよう","8","91002","45000","10"
"212","2","累計スコアを50000pt 獲得しよう","15","11001303","50000","1"
