34ed4ddedbeab030cf00a50d9386c35cadb3f43d4afd3b7f40a1d96c2e715ade,9d4cdb1e0b1abb8e04c3ce1420ce765ad67662eb07702e545fa55db592098ea5,5ab0df56afa74e4926b83c4d1ab1b5833231fee081b21a53ea69006ea4d4085d,20708f16639347ca384b25936015122e5c2b90badb9f345149236f776660286d,813ef1aa53c66960da166b045f93cdb844b49a32dd1943e3321ac7636606c3c5,1322c80065733b12ca016d94f92a83f0b962fa6c1606d166fc7834cb495bf2e1,124af94274fa6c7c9657930a983662775284eedbe1f25afb1f9597c5aa5352ca,bfa0d2978a6aed8cd53b03ce7a0f0685ce3416ee358d665fda54ed5b867c5f66,237ed6c33d9d0785e93fe44d336b1818472fe385483efb5fb8a143ab24bc148e
"1","320010106","43.5","1","502001102","0","0.7","1","11"
"2","320010106","13","2","502001103","0","0.65","3","67"
"3","320010106","-74","3","0","0","0.65","2","49"
"4","320010107","-49","1","502001108","0","0.7","1","13"
"5","320010107","-4","2","502001109","0","0.85","3","62"
"6","320010107","59","3","0","0","0.65","2","50"
"7","320010108","0","1","0","0","1.05","1","-10"
"8","320010109","-15","1","0","0","1.05","1","-10"
"9","320010110","-85","1","0","0","0.43","1","-45"
"10","320010110","85","2","0","0","0.43","2","-45"
"11","320010206","43.5","1","502001202","0","0.7","1","11"
"12","320010206","13","2","502001203","0","0.65","3","67"
"13","320010206","-74","3","0","0","0.65","2","49"
"14","320010207","-49","1","502001208","0","0.7","1","13"
"15","320010207","-4","2","502001209","0","0.85","3","62"
"16","320010207","59","3","0","0","0.65","2","50"
"17","320010208","0","1","0","0","1.05","1","-10"
"18","320010209","-15","1","0","0","1.05","1","-10"
"19","320010210","-85","1","0","0","0.43","1","-45"
"20","320010210","85","2","0","0","0.43","2","-45"
"21","320010306","43.5","1","502001302","0","0.7","1","11"
"22","320010306","13","2","502001303","0","0.65","3","67"
"23","320010306","-74","3","0","0","0.65","2","49"
"24","320010307","-49","1","502001308","0","0.7","1","13"
"25","320010307","-4","2","502001309","0","0.85","3","62"
"26","320010307","59","3","0","0","0.65","2","50"
"27","320010308","0","1","0","0","1.05","1","-10"
"28","320010309","-15","1","0","0","1.05","1","-10"
"29","320010310","-85","1","0","0","0.43","1","-45"
"30","320010310","85","2","0","0","0.43","2","-45"
"31","320010406","43.5","1","502001402","0","0.7","1","11"
"32","320010406","13","2","502001403","0","0.65","3","67"
"33","320010406","-74","3","0","0","0.65","2","49"
"34","320010407","-49","1","502001408","0","0.7","1","13"
"35","320010407","-4","2","502001409","0","0.85","3","62"
"36","320010407","59","3","0","0","0.65","2","50"
"37","320010408","0","1","0","0","1.05","1","-10"
"38","320010409","-15","1","0","0","1.05","1","-10"
"39","320010410","-85","1","0","0","0.43","1","-45"
"40","320010410","85","2","0","0","0.43","2","-45"
"41","320010506","43.5","1","502001502","0","0.7","1","11"
"42","320010506","13","2","502001503","0","0.65","3","67"
"43","320010506","-74","3","0","0","0.65","2","49"
"44","320010507","-49","1","502001508","0","0.7","1","13"
"45","320010507","-4","2","502001509","0","0.85","3","62"
"46","320010507","59","3","0","0","0.65","2","50"
"47","320010508","0","1","0","0","1.05","1","-10"
"48","320010509","-15","1","0","0","1.05","1","-10"
"49","320010510","-85","1","0","0","0.43","1","-45"
"50","320010510","85","2","0","0","0.43","2","-45"
"51","320020106","43.5","1","502002102","0","0.7","1","11"
"52","320020106","13","2","502002103","0","0.65","3","67"
"53","320020106","-74","3","0","0","0.65","2","49"
"54","320020107","-49","1","502002108","0","0.7","1","13"
"55","320020107","-4","2","502002109","0","0.85","3","62"
"56","320020107","59","3","0","0","0.65","2","50"
"57","320020108","0","1","0","0","1.05","1","-10"
"58","320020109","-15","1","0","0","1.05","1","-10"
