e33324d5f64298680ce0066a7bd461605be9ff4b09fe27b102938b822131be92,fcdf4e9267b34cdf6f13698f79d3dbc1763ef7e51b0561ebd7e0b185da1286d9,24b01534d96eeb977a27632724113ed6785d574dd023557144316e6d01486da2,d3bf9be29c496e4d0cb7742e7ee777d275f279d8716a70cdef80baf158b13205,7eb44700315966b3600dad026ea257cd4d654e16d0c82207e8dc1177162f3ed6,875be4fa333bb7edd6be47d3c58487dd861d998df23b74b1c11b0a99dd357d3a,eb6f168f8319cb1685e1d5bc4d1bfbc788fe47f38c874cc1a4bae5395b73a732,83306115a44d64ece64db5d6e5c43c575af13600a88445d1a94a27a6f829a9be,f02e35b3f7b57460852f41e4bbafd59d962aedf6b424cee4996732032217f7ef,77ab4123a5ffd303044392bb1405db1351eb0ba89152589618b40612967ae2d1,c4a454e96552798ba20a4e004894655d5ef0b053d04f735025b5f179d40cd1ae
"1","1010001","64","1","1","1.65","100","pkb_idle_normal","1","113511","-175"
"1","1010002","","","113511","0.2","1","","3","pkb_talk_wish",""
"1","1010003","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_101",""
"1","1010004","0","0","113511","0","8","0","11","今日も先生と一緒に\n頑張りましょうね～","0"
"1","1010005","","","0","","","","91","",""
"1","1010006","","","113511","0.2","1","","3","pkb_idle_normal",""
"2","1020001","64","1","1","1.65","100","pkb_idle_normal","1","113511","-175"
"2","1020002","","","113511","0.2","1","","3","pkb_talk_wish",""
"2","1020003","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_102",""
"2","1020004","0","0","113511","0","6","0.5","11","みんなの力、先生は\n信じてますからね～！\nファイトですよ～♪","0"
"2","1020005","","","6","","","","93","",""
"2","1020006","pkb_idle_normal","","113511","0.2","0","","3","pkb_talk_fun","1"
"2","1020007","","","1020004","","","","91","",""
"2","1020008","","","113511","0.2","1","","3","pkb_idle_normal",""
"3","1030001","64","1","1","1.65","100","pkb_idle_normal","1","113511","-175"
"3","1030002","pkb_idle_normal","0.2","113511","0.2","0","","3","pkb_smile","1"
"3","1030003","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_103",""
"3","1030004","0","0","113511","0","6","0","11","ケガには気を付けてね\n無理は禁物ですよ～♪","0"
"3","1030005","","","2","","","","93","",""
"3","1030006","","","113511","0.2","1","","3","pkb_talk_wish",""
"3","1030007","","","1030004","","","","91","",""
"3","1030008","","","113511","0.2","1","","3","pkb_idle_normal",""
"4","1040001","64","1","3","57","100","pkb_idle_normal_l","5","3","-155"
"4","1040002","pkb_idle_arm_crossed_l","0.2","3","0.2","0","","3","pkb_talk_arm_crossed_l","1"
"4","1040003","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_601",""
"4","1040004","0","","3","0","8","0","11","今日の練習も\n手加減しねえ！\nしっかりついてこい！","0"
"4","1040005","","","0","","","","91","",""
"4","1040006","","","3","0.2","1","","3","pkb_idle_normal_l",""
"5","1050001","64","1","3","57","100","pkb_idle_normal_l","5","3","-155"
"5","1050002","pkb_idle_arm_crossed_l","0.2","3","0.2","0","","3","pkb_talk_arm_crossed_l","1"
"5","1050003","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_602",""
"5","1050004","0","","3","0","8","0","11","おーし！\n気合いいれて\n練習すんぞー！","0"
"5","1050005","","","2","","","","93","",""
"5","1050006","pkb_idle_normal_l","0.2","3","0.2","0","","3","pkb_talk_handsup_l","1"
"5","1050007","","","1050004","","","","91","",""
"5","1050008","","","3","0.2","1","","3","pkb_idle_normal_l",""
"6","1060001","64","1","3","57","100","pkb_idle_normal_l","5","3","-155"
"6","1060002","pkb_idle_arm_crossed_l","0.2","3","0.2","0","","3","pkb_talk_arm_crossed_l","1"
"6","1060003","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_603",""
"6","1060004","0","","3","0","8","0","11","練習だからって\nだらしねえとこ\n見せるんじゃねえぞ？","0"
