c0798edfbfb467cfef209588da356bd3100aa5ce2758ab25367128c44cb14eb1,fe09c9b5a6535f2012eb7056dfccbe0ce753f5295cb521ca695ffce916c30e67,96f2751a3fbe7ea9cc81de931c847b35e43457326534acbb5bde1e8878347d3a,de6679e3b7e74a4dbf66b239e99d14472c883c60ed4a69a61a6d4b767b490644,9b4736a269c47d6258318bc33cee2dc92aa6d605a53a9fa78d2abb5311c98d8e,ac754051d3279027cab869f8f5af534b5362877f2a95c8e6ee3eec55b1039873,448965830af6fc166dd217093807ce834da8e553d29e83ee5cfacfbdd2b401eb,336ac26f5fd93b81e3c420adf4558ed968b9c7514b21a189d6b9c61c226f5583,c3a852a551b405731fea76e9a9963dac352f9ee77e52424bdaf536eaaeaae916,d44d8224e7177e84c2beb0437120c7b9ddc73329c77664907a4bd72c81e9f4aa,ab854d450248ac29098a4d5f4f0cfb39f99c9ac285e9bf3016039675803eeef8
"","","","","","","","","","1082","イ"
"","","","","","","","","","1107","オ"
"","","","","","","","","ツ","1176",""
"","ル","ホ","","","","","","","1189","ー"
"","","","","","","","","","1192","ゥー"
"","","","","","","","","","1245","イ"
"","ちそ","","ゃさ","","","","","","1250",""
"イトメ","メ","イ","ア","ナイト","トメア","ナイア","ナメア","ナ","2013","ト"
"ラドソ","","ソ","ル","ランド","ンドル","ランル","ドソル","ン","2014","ラ"
"そのと","","","う","そるの","るのと","そるう","そのう","る","2015","と"
"なのと","う","な","の","るなう","のとう","るなと","るのう","る","2016","と"
"ひうて","い","","","ひくう","くうて","ひくて","ひてい","く","2017","う"
"しん","し","","ん","ふゃ","","ふゃ","ふん","ふ","2019","ゃ"
"むぎし","む","わ","ぎ","むしわ","ぎしゅ","ぎゅわ","むゅわ","ゅ","2020","し"
"","","","","","S","E","","","2031",""
"","","","","AE","","","","","2032",""
"","","","","","","A","R","","2033",""
"","","","","","","E","I","","2034",""
"","","","","","","UA","R","","2036",""
"E","","","","Y","","E","L","","2037",""
"V","","","","I","","E","L","","2038",""
"","","","","","","L","I","","2040",""
"","","","","","","","A","","2041",""
"","","","","","Y","","","","2042",""
"","","","","","K","","A","","2043",""
"","","","","","","","A","","2045",""
"","","","","","Q","","R","","2046",""
"","","","","","","A","R","","2047",""
"","","","","","KQ","","A","","2048",""
"","","","","","","B","","","2049",""
"","","","","T","","U","A","","2050",""
"","","","","P","","EI","C","","2052",""
"","","","","T","","I","A","","2053",""
"","","","","S","","","","","2054",""
"","","","","","","","R","","2055",""
"","","","","","","V","","","2056",""
"","","","","","","","WU","","2058",""
"","","","","","R","","","","2059",""
"","","","","","R","","","","2060",""
"","","","","","","","S","","2062",""
"S","","","","S","","A","E","","2063",""
"","","","","A","","","A","","2064",""
"","","","","S","","A","","","2065",""
"","","","","","C","","","","2066",""
"","","","","","","B","","","2067",""
"","","","","","L","I","","","2068",""
"","","","","","C","","E","","2069",""
"D","","","","","","E","","","2070",""
"N","","","","I","","A","","","2071",""
"","","","","A","","","C","","2074",""
"","","","","A","","","A","","2077",""
"","","","し","","","","","ち","2092",""
"ム","","","","ト","フ","ン","ァ","","2130",""
"","わ","視","聞聴","","","","","か","2200","聴言"
"","","","ビブ","","","","","ー","2201",""
"","","","ル","","","","","","2202",""
"","鯉","麦","","","","","","","2216","飯"
"","う","し","","","","","","","2261","ゅ"
"","","","","","","","","ぅ","2264",""
"","","","","","","","","","2266","ー"
"","く","ひ","き","","","","","ん","2295","ふ"
"","","","だ","","","","","","2313",""
"","","","","","ル","","ナ","","3020",""
"","","フ","","","","","","","3066","ェ"
"","","く","","","","","","","3068",""
"","が","","","","","","","","3073",""
"","","","生","","","","","","3084",""
"","","","ア","","","","","","3158",""
"","ひ","","","","","","","","3165",""
"","","","か","","","","","","3187",""
"","デ","","シス","","","","","オ","3191",""
"","","","さ","","","","","ま","3193",""
"","","","","","ブ","","","","3195",""
"","ス","","","","","","","","3222",""
"","","","ず","","","","","","3238",""
"","","","帰","","","","","","3271",""
"","","","","","","","","","3277","ク"
"","ア","","","","","","","","3318",""
"","","","し","","","","","ち","4029",""
"","","","","","","","","X","4049",""
"","","","た","","","","","","4052",""
"","","","さ","","","","","","4077",""
"","","","","","","","","帯","4154",""
"","","","","","","そ","","","4157",""
"","","","","","","い","","","4167",""
"","","","","","二","","","","4171",""
"","","","","倍","","","小","","4194",""
"","","","","約","","","大","","4195",""
"","底","高","","","","","","","4196",""
"","","","","","半","","","","4197",""
"","","","く","","","","","","4203",""
"","ウ","","","","","","","","4220",""
"","","","","","","","","","4222","ィ"
"","","セ","","","","","","","4247",""
"","ー","","","","","","","","5010",""
"","ワ","","","","","","","","5011",""
"テカ","","","","ラモ","","","","","5030",""
"レカ","","","","オモ","","","","","5031",""
"","ー","","","","","","","","5051",""
"","か","","ら","","","","","","5066","お"
"","ぶ","","","","","","","","5100",""
"つ","","","","じ","み","","つ","","5109",""
"ー","","","","タ","カ","ン","ウ","","5140",""
"","","","","","","","","ロ","5147",""
"","と","","","","","","","","5160",""
"卯戌子","虎","","","戌酉子","卯辰戌","戌卯辰","戌酉卯","","5193","牛"
"","","","","","","","","ト","6060",""
"","ほ","","","","","","","","6065",""
"","","","ィ","","","","","","6157",""
"ト","","","","","","","","","6188",""
"","ド","イ","","","","","","","6203","ン"
"","ク","","ジ","","","","","ラ","6216",""
"","","","","","チ","ウ","ョ","","6227",""
