6928d28790c6c31d13383a9f1ca9569c855a48b3e76ccc9d19b498476e1b8a1a,e0098f30c8d8e8847792829cb43ffaadab09fa4f065854b3f6fca6b1a87aa021,192cf2df46c4ed2e87170446c0d52a6a8c12a6a508a1fb00313d7e0c577ad75e,2699d697828947f9acc6dc53352a92a946b1a2c050633130a72446056cd908a9,427d613fee763fdc902e606dac4832776b133791c8081c217aab2ed5adba882c,200cd41dfb79ff8df8df0bbbccb7ab2c038bae7e95412cb0f1b3df8bbba5d456,5fb4a531b74bf5628275ec3408ea70c0885ff159dbbaf32274541fbcc13057b6,a6da4e513fce2c5a68d6952599d42939a8637495ca77e5751a49a87f24da3128,639e004546ff8425b664f8da67acd4a751f0e8a5ee3358cda860f8a4c245dc24,89e122fc26414a1c8f1adfe53fecc971e7dbb2ebbdeda10ec46eeaaaba6fc133,be4dca32a8d97bcafcd1bb84b4452e1b70d2a691455372f984a12149344b246b,c60f32ba106904a8a69236a0ee10e675709f44aeedf485a1b38fd52058db5411,848f0b643befe1636622e22d1856eb3a66f8511815d127cd561c0b7e09154d01,bc5133d849f7551171085f0b4004b3e109d2f04114b5d7643cef83b9583a2e65
"1.5","1","101","1","0","110","1","105","0","1","122601","仲間と夏を楽しむ、夏海の魔法士。自分を変えたいという固い決意で、障害物を無効化して走り続ける。","0.029","160"
"2.5","2","102","2","1","105","3","111","0","0","122401","太陽よりも輝く、夏海の元気娘。　持ち前の身体能力で、どんなコースも柔軟に対応し、駆け抜ける。","0.014","120"
"2.5","3","103","3","0","110","2","105","1","0","122501","波打ち際に煌めく、夏海の剣士。　日々の鍛錬で鍛えた脚で、長い距離も速度を落とさず走り切る。","0.017","350"
"1.5","4","104","4","1","110","3","105","0","0","107501","海の幸に目がない、渚のお姫様。　『王家の装備』の力を解放し、障害物をものともせず前へと進む。","0.016","130"
"2.5","5","105","5","0","110","1","105","0","1","107601","海でも主さまをお世話する、白浜の巫女。精霊の力で自身を加速させ、誰よりも速くゴールを目指す。","0.014","160"
"3.5","6","106","6","0","120","2","103","1","0","107801","水着姿を恥じらう、ツンデレ猫娘。お得意の魔法で、対戦相手の走りを妨害し、レースを有利に進める。","0.029","255"
"3.5","7","107","7","0","120","1","103","0","1","110601","優雅に浜を駆ける、真夏のマホ姫。しゃなりしゃなりと、雅な身のこなしで障害物を跳び越えていく。","0.013","160"
"2.5","8","108","8","0","110","2","103","1","0","110401","浜の平和を守る、真夏の狼娘。　　獣人の強靭なスタミナで、レース　後半にスパートをかける。","0.014","350"
"1.5","9","109","9","1","105","3","100","0","0","110501","浜に力強く舞う、真夏の南国娘。　レースの喧噪の中でも精神を乱さず後半に大きな捲りを見せる。","0.012","130"
"2.5","10","110","10","0","105","1","103","0","1","115701","浜の事件を嗅ぎ付けた、真夏の　　名探偵。高い推理力と魔法で、的確に対戦相手の走りを乱す。","0.014","200"
"2.5","11","111","11","0","105","2","103","1","0","113601","再び鎧を脱いだ、灼熱の騎士団長。実戦で培った判断力で、瞬時にバリアを展開し、障害物を無力化する。","0.071","350"
"1.5","12","112","12","1","120","3","103","0","0","107901","水が苦手な、海辺の気まぐれ猫娘。浜に現れた美少女義賊は、対戦相手のスピードを奪いとる。","0.014","130"
"1.5","13","113","13","0","110","2","105","0","1","108001","バカンスも効率第一な、海の傭兵。レースでも最高効率を求め、どんな状況でも隙のない走りを見せる。","0.022","200"
"2.5","14","114","14","0","110","1","108","0","1","110301","真夏の太陽が良く似合う、海辺の　サレンママ。多才で器用、どんな　障害物もエレガントに越えていく。","0.031","160"
"0.5","15","115","15","1","110","1","105","0","0","107701","海に嵐を呼ぶ夏のドジっ娘メイド。日頃から災難に慣れており、多少　のトラブルには動じたりしない。","0.036","130"
"3.5","16","116","16","0","110","2","95","1","0","113101","粋な夏を愉しむ、若夏の姉御。　　流麗な身体捌きで、始・継・終と、UBを重ねるごとに、加速する。","0.048","350"
"1.5","17","117","17","1","105","3","105","0","0","113301","夏のトキメキに触れた、オタク魔法少女。多彩な魔法を操り、少しずつ他の走者の速度を落とし続ける。","0.043","130"
"1.5","18","118","18","1","105","2","95","0","0","113201","海獄に降臨せし、真夏の冥姫。　　レース後半に魔力を全解放し、　　蒼き疾風と成りて浜を駆け抜ける。","0.018","130"
"2.5","19","119","19","0","110","2","108","0","1","117001","夏の夕を火花で彩る、渚の壊し屋。『壊し屋』の異名と過激な愛情は、対戦相手にプレッシャーを与える。","0.021","160"
"2.5","20","120","20","0","110","1","105","1","0","113501","青春に生きる者を導く、夏の先生。夢へと邁進する聖母の加護が、その身をあらゆる困難から守る。","0.036","255"
"2.5","21","121","21","0","105","3","105","1","0","113401","笑顔の応援が眩しい、夏の超能力　ガール。超能力を駆使して、どんな障害物もひとっ飛びで乗り越える。","0.02","350"
"2.5","22","122","22","1","110","1","105","0","0","110101","海辺で大人の魅力を放つ、夏の　　セクシー先生。その魅力に囚われた対戦相手は、走りを乱してしまう。","0.018","130"
"3.5","23","123","23","0","105","3","111","0","1","110001","水着も絶対外さない、夏のカリスマモデル。走りのバイブスは超テンアゲで、スピードはおにやば。","0.03","160"
"1.5","24","124","24","1","110","1","103","0","0","117201","南の島も盛り上げる、真夏のアイドル。悪天候でも笑顔を絶やさず後半もリズムを上げて走り切る。","0.027","130"
"3.5","25","125","25","0","105","2","108","0","1","117301","海原に美声を響かす、渚の歌姫。　守護の賛歌と精霊の加護により、　障害物から身を守る。","0.02","160"
"2.5","26","126","26","0","110","3","105","1","0","117401","夏でも天邪鬼な、夕凪のテーラー。張り巡らされた魔法の糸で、他の走者の自由を奪う。","0.04","350"
"3.5","27","127","27","0","110","1","105","1","0","117101","向日葵が良く似合う、海辺の　　　お姉ちゃん。秘密結社の一員で、　抜群の身体能力が一番の武器。","0.009","350"
"3.5","28","128","28","0","120","1","105","1","0","122901","渚でおっとり、夏色うさぎっこ。　うさぎさんパワー全開で、ぴょん　ぴょんとコースを跳ね回る。","0.022","255"
"2.5","29","129","29","1","110","3","105","0","0","122801","無邪気さ弾ける、夏色いたずら娘。砂浜でも、いたずらの準備は万端！レースに大波乱が巻き起こる！？","0.028","130"
"3.5","30","130","30","0","105","2","108","0","1","122701","海でも真面目な、夏色優等生。　　高めた魔力を解き放ち、一瞬の内に他の走者を置き去りにする。","0.023","130"
