b038386d979677bf9de001ed42279acf04f073cb833eec861ed2882f8941f2b1,05dce6ccb0b40a84f48698afb2b9e7e1d06c4a2f4c5c1c081a9c72846cb30733,671d0c832b0009f661f01232fc2ef57454c11776f8bcdee8187ce6ead755fa0b
"10000101","15","2"
"10000201","15","1"
"10000401","25","1"
"10000601","50","3"
"10000801","15","2"
"10000901","15","1"
"10001001","25","3"
"10001101","10","2"
"10001501","25","3"
"10001502","15","1"
"20101001","15","1"
"20103001","50","3"
"20105001","25","2"
"20106001","25","1"
"20107001","25","3"
"20108001","25","2"
"20112001","25","3"
"20112002","50","1"
"20115001","30","1"
"20117001","75","3"
"20119001","50","2"
"20120001","50","1"
"20121001","30","3"
"20122001","50","2"
"20126001","30","3"
"20126002","50","1"
"20129001","50","2"
"20131001","50","1"
"20133001","100","3"
"20135001","50","2"
"20136001","50","1"
"20137001","50","3"
"20138001","50","2"
"20142001","50","3"
"20142002","50","1"
"20145001","100","1"
"20146001","100","3"
"20147001","75","2"
"20150001","200","1"
