385871ce547a029e362893412d4c73ee96e3b18cc60c66ee2022d5c40bf18e69,b463e82f9734c2c5258588694575ac8787602da7edb30c6d5e507bdd90ba84ad,d5a90e05b1a494b576361f5a51f765cd4758bcbde25b1056a8754302fb212235,663afbb17db02e01dfaef3f56103c8d0f5b144f52426b3821a805635cbb49d0e,4140bea346ba61d4c61d2f9e06d22b9b3490185a520e97ef27a5f908eadad4f3,fc260c9af3d06d216892ace86c7fc2fe0bbac8b7e2c512b23e3a48c9705e15cf,980e02fa78cd8ebf12d16985e7c7353414803fbf00fa962b14862a33834d5949,a919f09347a0b6ea00c4d02c1801847b2c73092d41a9bbc097e6115e65307bbf,fefe0238df6e139d5b7ab3b64b3196151a41b1dcdb1a8d0f51ff5efbddf419b0,14f35130b03c28cd28eef9b407a7494e6877a2a484f4471a543d767b31909c08,bd1c34eccfd5f43a38f708221abb22f7e4414464fff0427861041b4273727e89
"61001","-278","idle_normal","100","5146061","105811","1.8","-225","1","1","0"
"61002","-278","idle_normal","101","5146061","1058","1.8","-225","5","6","0"
"61003","-288","kokkoro_idle_normal","103","5146061","105911","1.8","-385","1","1","0"
"61004","-288","kokkoro_idle_normal","104","5146061","1059","1.8","-385","5","3","0"
"61005","-278","idle_normal","106","5146061","106011","1.8","290","1","1","1"
"61006","-278","idle_normal","107","5146061","1060","1.8","290","5","4","1"
"61007","","","","5146061","200","","","13","105811",""
"61008","","","","5146061","203","","","13","105911",""
"61009","","","","5146061","206","","","13","106011",""
"61010","-174","idle","15","5146061","7","0.85","0","5","7","0"
"61011","8","empty","210","5146061","201","1","290","5","20","0"
"61012","-78","empty","211","5146061","202","1","0","5","20","0"
"61013","16","empty","210","5146061","203","1","-315","5","20","0"
"61014","153","empty","60","5146061","21","1","0","5","21","0"
"61015","1","","0","5146061","1","1","0","31","1",""
"61016","1","","0","5146061","2","0","-57.7","31","2",""
"61017","1","","0","5146061","10","0","0","31","10",""
"61018","1","","0","5146061","11","0","0","31","11",""
"61019","","","","5146061","0","","","91","0",""
"61020","","","0","5146061","0","","","102","0",""
"61021","","","","5146061","0","","","93","1",""
"61022","1","","0","5146061","doya_in_shy","0.2","doya_talk_shy","3","106011","0"
"61023","1","","0","5146061","doya_in_shy","0.2","doya_talk_shy","3","1060","0"
"61024","","","0","5146061","vo_apg_0101","","0","21","vo_apg",""
"61025","1","0","10","5146061","ジェットコースター乗車中の\n魔法の写真撮影サービス？\nフン、人の無防備な写真勝手に撮って、\n後で売り付けよーとかくだらないわ！","0","1","11","106011","0"
"61026","","","","5146061","","","","91","0",""
"61027","","","","5146061","1","","","32","2",""
"61028","","","","5146061","fade105_in","","","37","2",""
"61029","","","","5146061","0","","","4","106011",""
"61030","","","","5146061","0","","","4","1060",""
"61031","","","1","5146061","sad_idle_dere_shy","0.5","","3","106011",""
"61032","","","1","5146061","sad_idle_dere_shy","0.5","","3","1060",""
"61033","","","0","5146061","vo_apg_0102","","0","21","vo_apg",""
"61034","","","0","5146061","0102_in","0","","3","201",""
"61035","","","","5146061","1","","","93","4.6",""
"61036","","","0","5146061","0102_mid","0","","3","201",""
"61037","","","","5146061","","","","92","",""
"61038","","","0","5146061","0102_out","0","","3","201",""
"61039","","","","5146061","0","","","93","0.2",""
"61040","1","","0","5146061","kyaru_smile_in","0.2","kyaru_smile_idle","3","106011","0"
"61041","1","","0","5146061","kyaru_smile_in","0.2","kyaru_smile_idle","3","1060","0"
"61042","","","0","5146061","vo_apg_0103","","0","21","vo_apg",""
"61043","","","0","5146061","0103_in","0","","3","201",""
"61044","","","","5146061","1","","","93","5.4",""
"61045","","","0","5146061","0103_mid","0","","3","201",""
"61046","","","","5146061","","","","92","",""
"61047","","","0","5146061","0103_out","0","","3","201",""
"61048","","","","5146061","0","","","93","0.2",""
"61049","","","","5146061","fade105_out","","","37","2",""
"61050","","","","5146061","1","","","4","105811",""
"61051","","","","5146061","1","","","4","1058",""
"61052","","","1","5146061","surprise_talk","0.2","","3","105811",""
"61053","","","1","5146061","surprise_talk","0.2","","3","1058",""
"61054","","","0","5146061","vo_apg_0104","","0","21","vo_apg",""
"61055","1","0","10","5146061","……キャルちゃん、\n写真写りたくないんですかね…？","0","1","11","105811","0"
"61056","","","","5146061","","","","91","0",""
"61057","","","1","5146061","surprise_idle_talk1R","0.2","","3","105811",""
"61058","","","1","5146061","surprise_idle_talk1R","0.2","","3","1058",""
"61059","","","1","5146061","kokkoro_surprise_talk","0.2","","3","105911",""
"61060","","","1","5146061","kokkoro_surprise_talk","0.2","","3","1059",""
"61061","","","0","5146061","vo_apg_0105","","0","21","vo_apg",""
"61062","1","0","10","5146061","はい。\nどうやらそのようでございます","0","1","11","105911","0"
"61063","","","","5146061","","","","91","0",""
"61064","","","1","5146061","kokkoro_idle_normal","0.2","","3","105911",""
"61065","","","1","5146061","kokkoro_idle_normal","0.2","","3","1059",""
"61066","","","1","5146061","idle_normal_talk1R","0.2","","3","105811",""
"61067","","","1","5146061","idle_normal_talk1R","0.2","","3","1058",""
"61068","","","","5146061","0","","","4","105811",""
"61069","","","","5146061","0","","","4","1058",""
"61070","","","","5146061","1","","","4","106011",""
"61071","","","","5146061","1","","","4","1060",""
"61072","1","","0","5146061","cool_in_sing_shy","0.2","cool_talk_sing_shy","3","106011","0"
"61073","1","","0","5146061","cool_in_sing_shy","0.2","cool_talk_sing_shy","3","1060","0"
"61074","","","0","5146061","vo_apg_0106","","0","21","vo_apg",""
"61075","1","0","10","5146061","ほら、さっさと乗るわよー\nはーやだやだ…ふふふ","0","1","11","106011","0"
"61076","","","","5146061","","","","91","0",""
"61077","","","","5146061","0","","","22","0",""
"61078","","","1","5146061","walk_kyapi_shy","0.2","","3","106011",""
"61079","","","1","5146061","walk_kyapi_shy","0.2","","3","1060",""
"61080","","","1","5146061","walk_furimuki","0.2","","3","105811",""
"61081","","","1","5146061","walk_furimuki","0.2","","3","1058",""
"61082","","","1","5146061","kokkoro_walk_surprise","0.2","","3","105911",""
"61083","","","1","5146061","kokkoro_walk_surprise","0.2","","3","1059",""
"61084","0","","-278","5146061","149","","2","2","106011",""
"61085","0","","-278","5146061","149","","2","2","1060",""
"61086","0","","-278","5146061","-54","","2","2","105811",""
"61087","0","","-278","5146061","-54","","2","2","1058",""
"61088","0","","-288","5146061","-214","","2","2","105911",""
"61089","0","","-288","5146061","-214","","2","2","1059",""
"61090","","","","5146061","0","","","93","1",""
"61091","","","","5146061","iris_in","","","37","2",""
"61092","","","","5146061","0","","","93","2",""
"61093","","","1","5146061","se_10055900_coaster_02","","","23","se_10055900",""
"61094","","","","5146061","1","","","32","10",""
"61095","","","0.5","5146061","30","","","122","30",""
"61096","","","0","5146061","vo_apg_0107","","0","21","vo_apg",""
"61097","","","0","5146061","0107_in","0","","3","202",""
"61098","","","","5146061","1","","","93","0.7",""
"61099","","","0","5146061","0107_mid","0","","3","202",""
"61100","","","","5146061","","","","92","",""
"61101","","","0","5146061","0107_out","0","","3","202",""
"61102","","","","5146061","0","","","93","0.2",""
"61103","0","","-211","5146061","0","","0","2","202",""
"61104","","","0.5","5146061","30","","","122","30",""
"61105","","","0","5146061","vo_apg_0108","","0","21","vo_apg",""
"61106","","","0","5146061","0108_in","0","","3","203",""
"61107","","","","5146061","1","","","93","0.8",""
"61108","","","0","5146061","0108_mid","0","","3","203",""
"61109","","","","5146061","","","","92","",""
"61110","","","0","5146061","0108_out","0","","3","203",""
"61111","","","","5146061","0","","","93","0.2",""
"61112","0","","16","5146061","315","","0","2","201",""
"61113","","","0.5","5146061","30","","","122","30",""
"61114","","","0","5146061","vo_apg_0109","","0","21","vo_apg",""
"61115","","","0","5146061","0109_in","0","","3","201",""
"61116","","","","5146061","1","","","93","1.1",""
"61117","","","0","5146061","0109_mid","0","","3","201",""
"61118","","","","5146061","","","","92","",""
"61119","","","0","5146061","0109_out","0","","3","201",""
"61120","","","","5146061","0","","","93","0.2",""
"61121","","","0.5","5146061","30","","","122","30",""
"61122","","","0","5146061","vo_apg_0110","","0","21","vo_apg",""
"61123","","","0","5146061","0107_in","0","","3","202",""
"61124","","","0","5146061","0108_in","0","","3","203",""
"61125","","","0","5146061","0109_in","0","","3","201",""
"61126","","","","5146061","1","","","93","1.1",""
"61127","","","0","5146061","0107_mid","0","","3","202",""
"61128","","","0","5146061","0108_mid","0","","3","203",""
"61129","","","0","5146061","0109_mid","0","","3","201",""
"61130","","","","5146061","","","","92","",""
"61131","","","0","5146061","0107_out","0","","3","202",""
"61132","","","0","5146061","0108_out","0","","3","203",""
"61133","","","0","5146061","0109_out","0","","3","201",""
"61134","","","","5146061","0","","","93","0.2",""
"61135","0","","0","5146061","216","","0","2","201",""
"61136","","","0","5146061","vo_apg_0111","","0","21","vo_apg",""
"61137","","","0","5146061","0111_in","0","","3","201",""
"61138","","","","5146061","1","","","93","1.8",""
"61139","","","0","5146061","0111_mid","0","","3","201",""
