c9b1724d36a9456520b3248dfbdc723ae8d9e84e43179c83c9214ecf7682819a,85aba0a305cbc86bb604f7ead9c105f10c500528acf62c38dcc69d6afc049350,87112eaa4ae38f44993406bac21dad80b40f5b7828ba901221a12d84552e00f2,56c392b04fe5fc34ef7b4ad74ca7be2cd097a0914d92fdd5fe256fe188b54520,84a6fc54fcdb706baef0208816a7b11372c380af556d6ee1ea65f1da20ab568d,73dd12f4c89acf37dc519e35f04d6df51de33e4a1c4ded8fd2607413f18c315e,21388f85fe294be01ce8db09c4cae5a4742ec6ac394ae5273d94c9b1a815ec72,3590125e49e1ef9913016cc42448469cfbd2cc239b73a06ed1c5b435a7c94701,f234db71502b65f65d5603065c0fc4ad0a8beed22d88d4d2a86be22903ba020d,74b3dad67b017c1946a9e4069f99341d994936aebf7c343757a220e4534d1880,a37864689b64c10d8b9d4c415b80c416769ab165f29ea4bd35362be85c55419a
"1","112511","-140","1500","omp_talk_worry","1","1","1.8","1010001","-190","0"
"1","112411","140","1500","omp_idle_normal","1","1","1.8","1010002","-190","1"
"1","1","0","0","","31","1","1","1010003","1",""
"1","","","","","93","1","","1010004","",""
"vo_omp_7001","vo_omp_7001_000","0","0","","21","1","","1010005","",""
"112511","ウヅキ、大丈夫？\n夜営続きで疲れてない？","1","10","","11","1","","1010006","1",""
"0","","","","","91","1","","1010007","",""
"112511","omp_idle_worry","","1","","3","1","0","1010008","",""
"112411","omp_talk_joy1","","1","","3","1","0","1010009","",""
"vo_omp_7001","vo_omp_7001_001","0","0","","21","1","","1010010","",""
"112411","はい、大丈夫です！\nみんなと一緒に旅をするの\nとっても楽しいですし","1","10","","11","1","","1010011","1",""
"0","","","","","91","1","","1010012","",""
"112411","omp_psn_20","","1","","3","1","0","1010013","",""
"112511","omp_talk_normal","","1","","3","1","0","1010014","",""
"vo_omp_7001","vo_omp_7001_002","0","0","","21","1","","1010015","",""
"112511","そっか\nウヅキはどんなときも楽しそうだよね","1","10","","11","1","","1010016","1",""
"0","","","","","91","1","","1010017","",""
"112511","omp_idle_normal","","1","","3","1","0","1010018","",""
"112411","omp_talk_sad","","1","","3","1","0","1010019","",""
"vo_omp_7001","vo_omp_7001_003","0","0","","21","1","","1010020","",""
"112411","もしかして…\nリンちゃんは楽しくないですか？","1","10","","11","1","","1010021","1",""
"0","","","","","91","1","","1010022","",""
"112411","omp_idle_sad","","1","","3","1","0","1010023","",""
"112511","omp_surprise","omp_idle_surprise1","0","","3","1","0","1010024","1","0.1"
"vo_omp_7001","vo_omp_7001_004","0","0","","21","1","","1010025","",""
"112511","えっ？　どうして？\nそんなことないよ\n私も…すごく楽しい","1","10","","11","1","","1010026","1",""
"2.5","1","","","","93","1","","1010027","",""
"112511","omp_talk_normal","","1","","3","1","0.2","1010028","",""
"1010026","","","","","91","1","","1010029","",""
"112511","omp_idle_normal","","1","","3","1","0","1010030","",""
"112411","omp_talk_joy2","","1","","3","1","0","1010031","",""
"vo_omp_7001","vo_omp_7001_005","0","0","","21","1","","1010032","",""
