af75006441851009e4eaa7210be95cf69c0f87a40a49c7b9715a3231e13c2447,ac01e77bf95e8fa319348b8168a2299a6bdeb211a66bc88db6b3db9a589c72e0,278409e47948583a05284692ef5c0da24af12fbf90016d6c32238e2ffa01e49d,fd5772dc1b07f23ff1c9ba1fd3cb9068810dc0db10f11cfbee9a15730f3d9895,bcca10f3aa6e8e65f5141238d16df8585edca3a152ac2e1851d3c696eb3f2812,8a6fa37607f975a6c15a396f8e95b43e75375030b675c1d25dcb388567b77da7,44924c1cb061c3065a02579355146e262128348270bde2b41c66af0d265b6e9c
"1","0","10101","0","0","300","2"
"1","0","10101","1","0","360","2"
"1","0","10101","2","0","420","2"
"1","0","10101","3","0","480","2"
"1","0","10101","4","0","540","2"
"1","0","10101","5","0","600","2"
"2","0","10101","0","0","900","2"
"2","0","10101","1","0","960","2"
"2","0","10101","2","0","1020","2"
"2","0","10101","3","0","1080","2"
"2","0","10101","4","0","1140","2"
"2","0","10101","5","0","1200","2"
"3","0","10101","0","0","1500","2"
"3","0","10101","1","0","1560","2"
"3","0","10101","2","0","1620","2"
"3","0","10101","3","0","1680","2"
"3","0","10101","4","0","1740","2"
"3","0","10101","5","0","1800","2"
"4","0","10101","0","0","2100","2"
"4","0","10101","1","0","2160","2"
"4","0","10101","2","0","2220","2"
"4","0","10101","3","0","2280","2"
"4","0","10101","4","0","2340","2"
"4","0","10101","5","0","2400","2"
"5","0","10101","0","0","2700","2"
"5","0","10101","1","0","2760","2"
"5","0","10101","2","0","2820","2"
"5","0","10101","3","0","2880","2"
"5","0","10101","4","0","2940","2"
"5","0","10101","5","0","3000","2"
"1","0","10102","0","0","150","5"
"1","0","10102","1","0","180","5"
"1","0","10102","2","0","210","5"
"1","0","10102","3","0","240","5"
"1","0","10102","4","0","270","5"
"1","0","10102","5","0","300","5"
"2","0","10102","0","0","450","5"
"2","0","10102","1","0","480","5"
"2","0","10102","2","0","510","5"
"2","0","10102","3","0","540","5"
"2","0","10102","4","0","570","5"
"2","0","10102","5","0","600","5"
"3","0","10102","0","0","750","5"
"3","0","10102","1","0","780","5"
"3","0","10102","2","0","810","5"
"3","0","10102","3","0","840","5"
"3","0","10102","4","0","870","5"
"3","0","10102","5","0","900","5"
"4","0","10102","0","0","1050","5"
"4","0","10102","1","0","1080","5"
"4","0","10102","2","0","1110","5"
"4","0","10102","3","0","1140","5"
"4","0","10102","4","0","1170","5"
"4","0","10102","5","0","1200","5"
"5","0","10102","0","0","1350","5"
"5","0","10102","1","0","1380","5"
"5","0","10102","2","0","1410","5"
"5","0","10102","3","0","1440","5"
"5","0","10102","4","0","1470","5"
"5","0","10102","5","0","1500","5"
"1","0","10103","0","0","150","7"
"1","0","10103","1","0","180","7"
"1","0","10103","2","0","210","7"
"1","0","10103","3","0","240","7"
"1","0","10103","4","0","270","7"
"1","0","10103","5","0","300","7"
"2","0","10103","0","0","450","7"
"2","0","10103","1","0","480","7"
"2","0","10103","2","0","510","7"
"2","0","10103","3","0","540","7"
"2","0","10103","4","0","570","7"
"2","0","10103","5","0","600","7"
"3","0","10103","0","0","750","7"
"3","0","10103","1","0","780","7"
"3","0","10103","2","0","810","7"
"3","0","10103","3","0","840","7"
"3","0","10103","4","0","870","7"
"3","0","10103","5","0","900","7"
"4","0","10103","0","0","1050","7"
"4","0","10103","1","0","1080","7"
"4","0","10103","2","0","1110","7"
"4","0","10103","3","0","1140","7"
"4","0","10103","4","0","1170","7"
"4","0","10103","5","0","1200","7"
"5","0","10103","0","0","1350","7"
"5","0","10103","1","0","1380","7"
"5","0","10103","2","0","1410","7"
"5","0","10103","3","0","1440","7"
"5","0","10103","4","0","1470","7"
"5","0","10103","5","0","1500","7"
"1","0","10104","0","0","300","10"
"1","0","10104","1","0","360","10"
"1","0","10104","2","0","420","10"
"1","0","10104","3","0","480","10"
"1","0","10104","4","0","540","10"
"1","0","10104","5","0","600","10"
"2","0","10104","0","0","900","10"
"2","0","10104","1","0","960","10"
"2","0","10104","2","0","1020","10"
"2","0","10104","3","0","1080","10"
"2","0","10104","4","0","1140","10"
"2","0","10104","5","0","1200","10"
"3","0","10104","0","0","1500","10"
"3","0","10104","1","0","1560","10"
"3","0","10104","2","0","1620","10"
"3","0","10104","3","0","1680","10"
"3","0","10104","4","0","1740","10"
"3","0","10104","5","0","1800","10"
"4","0","10104","0","0","2100","10"
"4","0","10104","1","0","2160","10"
"4","0","10104","2","0","2220","10"
"4","0","10104","3","0","2280","10"
"4","0","10104","4","0","2340","10"
"4","0","10104","5","0","2400","10"
"5","0","10104","0","0","2700","10"
"5","0","10104","1","0","2760","10"
"5","0","10104","2","0","2820","10"
"5","0","10104","3","0","2880","10"
"5","0","10104","4","0","2940","10"
"5","0","10104","5","0","3000","10"
"1","0","10201","0","0","300","2"
"1","0","10201","1","0","360","2"
"1","0","10201","2","0","420","2"
"1","0","10201","3","0","480","2"
"1","0","10201","4","0","540","2"
"1","0","10201","5","0","600","2"
"2","0","10201","0","0","900","2"
"2","0","10201","1","0","960","2"
"2","0","10201","2","0","1020","2"
"2","0","10201","3","0","1080","2"
"2","0","10201","4","0","1140","2"
"2","0","10201","5","0","1200","2"
"3","0","10201","0","0","1500","2"
"3","0","10201","1","0","1560","2"
"3","0","10201","2","0","1620","2"
"3","0","10201","3","0","1680","2"
"3","0","10201","4","0","1740","2"
"3","0","10201","5","0","1800","2"
"4","0","10201","0","0","2100","2"
"4","0","10201","1","0","2160","2"
"4","0","10201","2","0","2220","2"
"4","0","10201","3","0","2280","2"
"4","0","10201","4","0","2340","2"
"4","0","10201","5","0","2400","2"
"5","0","10201","0","0","2700","2"
"5","0","10201","1","0","2760","2"
"5","0","10201","2","0","2820","2"
"5","0","10201","3","0","2880","2"
"5","0","10201","4","0","2940","2"
"5","0","10201","5","0","3000","2"
"1","0","10202","0","0","150","5"
"1","0","10202","1","0","180","5"
"1","0","10202","2","0","210","5"
"1","0","10202","3","0","240","5"
"1","0","10202","4","0","270","5"
"1","0","10202","5","0","300","5"
"2","0","10202","0","0","450","5"
"2","0","10202","1","0","480","5"
"2","0","10202","2","0","510","5"
"2","0","10202","3","0","540","5"
"2","0","10202","4","0","570","5"
"2","0","10202","5","0","600","5"
"3","0","10202","0","0","750","5"
"3","0","10202","1","0","780","5"
"3","0","10202","2","0","810","5"
"3","0","10202","3","0","840","5"
"3","0","10202","4","0","870","5"
"3","0","10202","5","0","900","5"
"4","0","10202","0","0","1050","5"
"4","0","10202","1","0","1080","5"
"4","0","10202","2","0","1110","5"
"4","0","10202","3","0","1140","5"
"4","0","10202","4","0","1170","5"
"4","0","10202","5","0","1200","5"
"5","0","10202","0","0","1350","5"
"5","0","10202","1","0","1380","5"
"5","0","10202","2","0","1410","5"
"5","0","10202","3","0","1440","5"
"5","0","10202","4","0","1470","5"
"5","0","10202","5","0","1500","5"
"1","0","10203","0","0","150","6"
"1","0","10203","1","0","180","6"
"1","0","10203","2","0","210","6"
"1","0","10203","3","0","240","6"
"1","0","10203","4","0","270","6"
"1","0","10203","5","0","300","6"
"2","0","10203","0","0","450","6"
"2","0","10203","1","0","480","6"
"2","0","10203","2","0","510","6"
"2","0","10203","3","0","540","6"
