88c5fe4b5a1b119858e03977ddd858f98759e7651be0ec559aea9a46253cc67c,0254133b3e0f511073e4a493427e7be2db0a99b1d6f774cd079b13720b2c704d,b8a113da920e633fb6e9b465da6c471389dc8368018e689ccd2198b2b4f8b7af,adb2bb9f1deff4e2c6bc3df40d03f72e8fe4bbf23fb6c5a07a31995b544d13f5,c27fd460c4a0f72c8c4244e195ab3165a9e633862b5efb8e71f654b6113d0fb5,1ce6f905e87e334f53a5ca783628f77d34ffa195fb668c39de7a6cddbee75a4b,5dd48e1546b72154f044e2e1858d1d8c10342327aec6a85e651269c02443cb2f,403005589681503f92c37de1bb158803b5e772c84fa46e46d6be41a1da6239d6,a5b019ac7c19190d4413c3f1ba6957dc269928d872926cf7e15bfff95fc5f841,14b164ffc3eeb063ecdc9d56c20254f75c0ca5aa48bdf4c66b354b5b0725bfbc,6f47f5c9552942763bca50bd0fcd3cc0b52fb9eb58745e5d8cfb4dce552b1b20,f7bdd1215fc8c4942f8a40719eff4aea4e3ab10aace3a6c91b51edb230e375e7
"0","0","1010001","3","1","0","4","1","0","0","1","0"
"vo_minigame_1005_nikki01_000","0","1010002","0","2","vo_minigame_1005","2","0","0","0","1","0"
"0","1","1010003","0","3","0","1","0","202","0","1","1.418"
"0","0","1010004","1","4","0","4","1.858","0","0","1","0"
"0","2","1010005","0","5","0","1","0","316","0","1","2.536"
"0","0","1010006","1","6","0","4","3.484","0","0","1","0"
"vo_minigame_1005_nikki01_001","0","1010007","0","7","vo_minigame_1005","2","0","0","0","1","0"
"0","3","1010008","0","8","0","1","0","121","0","1","1.131"
"0","0","1010009","1","9","0","4","1.407","0","0","1","0"
"0","3","1010010","0","10","0","1","0","276","121","1","1.043"
"0","0","1010011","1","11","0","4","1.719","0","0","1","0"
"0","3","1010012","0","12","0","1","0","389","276","1","0.69"
"0","0","1010013","1","13","0","4","0.69","0","0","1","0"
"0","4","1010014","0","14","0","1","0","224","0","1","1.694"
"0","0","1010015","1","15","0","4","2.204","0","0","1","0"
"0","4","1010016","0","16","0","1","0","384","224","1","1.298"
"0","0","1010017","1","17","0","4","1.298","0","0","1","0"
"0","5","1010018","0","18","0","1","0","131","0","1","1.118"
"0","0","1010019","1","19","0","4","1.199","0","0","1","0"
"0","5","1010020","0","20","0","1","0","244","131","1","0.958"
"0","0","1010021","1","21","0","4","1.269","0","0","1","0"
"0","5","1010022","0","22","0","1","0","394","244","1","1.373"
"0","0","1010023","1","23","0","4","1.373","0","0","1","0"
"0","6","1010024","0","24","0","1","0","25","0","1","0.193"
"0","0","1010025","1","25","0","4","0.552","0","0","1","0"
"0","6","1010026","0","26","0","1","0","368","25","1","2.64"
"0","0","1010027","1","27","0","4","3.195","0","0","1","0"
"0","7","1010028","0","28","0","1","0","65","0","1","0.599"
"0","0","1010029","1","29","0","4","0.929","0","0","1","0"
"0","7","1010030","0","30","0","1","0","252","65","1","1.302"
"0","0","1010031","1","31","0","4","2.395","0","0","1","0"
"vo_minigame_1005_nikki01_002","0","1010032","0","32","vo_minigame_1005","2","0","0","0","1","0"
"0","8","1010033","0","33","0","1","0","271","0","1","2.09"
"0","0","1010034","1","34","0","4","2.512","0","0","1","0"
"0","8","1010035","0","35","0","1","0","400","271","1","0.868"
"0","0","1010036","1","36","0","4","0.907","0","0","1","0"
"0","9","1010037","0","37","0","1","0","315","0","1","2.214"
"0","0","1010038","1","38","0","4","2.562","0","0","1","0"
