f8dd3881b829a4d5e3900aa07cce7037ad34bf4117daaad199bfc5f7ed37c7b1,83b64cffb62537f0702b13bcd1301dca4a8906da35f05a9e38c80bacffcd48d5,3aa3a08ac47340ea6f3f5779030394b8b4a948c9b9bd67c978bd3cc06122c0dd,f05626840f8ddbef7fdcfdbc0d2f178e9a98f9a57028dfabd1f5491894f3d0df,05714181b8e9ad73f6097b18f977cfd067fd54c5b102d7f9c026ab2cede40ab2,208ef9c4e785b0a3a4692db94668306486874e638ab24e88fe5e38272fa2a494,202f86a57a2255db409a07c13a68ac509de43f4fde15d8557c6da212c0071844
"2","2","ギルド管理協会です！どんなお仲間をお探しですか？","11012","0","11011","1101"
"2","2","ギルド管理協会です！どんなお仲間をお探しですか？","11022","0","11021","1102"
"2","2","ギルド管理協会です！どんなお仲間をお探しですか？","11032","0","11031","1103"
"2","2","ギルド管理協会です！どんなお仲間をお探しですか？","11042","0","11041","1104"
"4","4","魔物たちが集まる闘技場を見つけた！","11052","0","11051","1105"
"7","7","不思議な石板を発見！どうする？","11072","11071","11073","1107"
"8","8","ダンジョンで迷った！どっちに進む？","11081","0","11082","1108"
"4","4","魔物たちが集まる闘技場を見つけた！","11092","0","11091","1109"
"3","3","じゃんけん……ぽん！","11102","11103","11101","1110"
"10","10","箱の中から声が聞こえる……","11112","0","11111","1111"
"11","11","イベント会場に魔物が現れた！","11122","0","11121","1112"
"4","4","魔物たちが集まる闘技場を見つけた！","11132","0","11131","1113"
"4","4","魔物たちが集まる闘技場を見つけた！","11172","0","11171","1117"
"5","5","釣りスポットを発見！","0","0","13141","1314"
"9","9","絶好のピクニック日和だ！","0","0","13151","1315"
"6","6","スロットマシンだ！挑戦する？","0","0","13161","1316"
"5","5","ラッキー！もう一回釣れるぞ！","0","0","23141","2314"
"9","9","料理ができた！でも、まだ材料はあるぞ！","23151","0","23152","2315"
"6","6","もう一勝負だ！","23161","0","23162","2316"
"5","5","ラストもう一回！","0","0","33141","3314"
"9","9","完璧！でも、まだまだ材料はあるぞ！","33151","0","33152","3315"
"6","6","ラスト一発！","33161","0","33162","3316"
