426e981c6c443653d8e4f691797341e6f93cb706c53e37d00b02c3405ac97849,eacf074c22eb01920a73e50a3c45572f984120176ee9e6afe6fce2d5d35cef85,c9abdd6c7c04b6b5101aec6fba3e6f566fe62876cae225b5b866072ecb2c60db,26242deaeb6d674e480337f2fca408be25a78e0151ead748f4596e42df4d10ea,105043df334efbf220c26830ca2a9ed9ff3649285191d8dcf1a492d557b0a366,85ec7b837f9b5ec1ab1ee3ab637dbce559fc6cf4f97898a147e6be56212d650a
"50000","2","50000","26202","1","1"
"10","2","10","90013","1","2"
"1","2","0","26203","1","3"
"55000","2","55000","26202","2","4"
"10","2","10","90013","2","5"
"1","2","0","26203","2","6"
"60000","2","60000","26202","3","7"
"10","2","10","90013","3","8"
"1","2","0","26203","3","9"
"65000","2","65000","26202","4","10"
"10","2","10","90013","4","11"
"1","2","0","26203","4","12"
"70000","2","70000","26202","5","13"
"10","2","10","90013","5","14"
"1","2","0","26203","5","15"
"75000","2","75000","26202","6","16"
"10","2","10","90013","6","17"
"1","2","0","26203","6","18"
"80000","2","80000","26202","7","19"
"10","2","10","90013","7","20"
"1","2","0","26203","7","21"
"85000","2","85000","26202","8","22"
"10","2","10","90013","8","23"
"1","2","0","26203","8","24"
"90000","2","90000","26202","9","25"
"20","2","20","90013","9","26"
"1","2","0","26203","9","27"
"95000","2","95000","26202","10","28"
"20","2","20","90013","10","29"
"1","2","0","26203","10","30"
"100000","2","100000","26202","11","31"
"20","2","20","90013","11","32"
"1","2","0","26203","11","33"
"105000","2","105000","26202","12","34"
"20","2","20","90013","12","35"
"1","2","0","26203","12","36"
