964ec06496c79cd5f3eca90ae3e3a23b588551efe2b4443f6f7e1a5fbaee8204,66028a43ba9dd9c462193d446729d8a71c652484115c01d09c46a295feaf66ff,69c2488776332b6ebb17873f649308f786fd9233d1e566733ca6186ce60a5373,9cd19c74dca4d64bc4dac32b3bf53f6b81255c9782d39db1e437854b5c15b802,03124230140b8d89790e6adbe35d46d7e0af05563c68f3c5f2d78a776a3b2d6a,e427b8f3463e981238dc6279fe934986e1fcfc9659f830cb966bd28ec0a09a36,bc6c05debe01169a15c0bff1ffb7cb975168d9ac4242bb358b324a1debfe24af,46ce5434a220ea50e22ce095da2cfc814cc2bea370f41f9ee09986ede81bf09b,8dc3007802804ed463fc29c5078611aaa075719189bbb163ea96eb090ce8f8ff,3e58aca572d501eb71c730f808523f668fca0745a1c948ed14b676a8c62f5191,599785dabbc3dde2c7524f930428838b51a589a5cb0c758a1331e96bd1c0d250
"1","1","1001","1","0","0","100","130011","0","1.3","bsm_idle_yamato"
"3","130011","1002","1","bsm_drama_arm_crossed_loop","1","0","bsm_drama_arm_crossed","0","0.2",""
"21","vo_minigame_1014","1003","1","0","","0","vo_minigame_1014_top_1000","","",""
"11","130011","1004","1","1","0","5","弱肉強食、上等だよ\n正面から勝てない時は\n裏をかくことも考えな","0","0","1"
"91","0","1005","1","","","","","","",""
"3","130011","1006","1","","","1","bsm_idle_yamato","","0.3",""
"1","1","2001","2","0","0","100","130011","0","1.3","bsm_idle_yamato"
"3","130011","2002","2","","","1","bsm_drama_thinking","","0.2",""
"21","vo_minigame_1014","2003","2","0","","0","vo_minigame_1014_top_1001","","",""
"11","130011","2004","2","1","0","6","いつかはワカナにも\n教えてやるか\n敵に勝って味わう\nヤシオーリの味をね","0","0","1"
"91","0","2005","2","","","","","","",""
"3","130011","2006","2","","","1","bsm_idle_yamato","","0.3",""
"1","1","3001","3","0","0","100","130011","0","1.3","bsm_idle_yamato"
"3","130011","3002","3","bsm_drama_doya_loop","1","0","bsm_drama_doya","0","0.2",""
"21","vo_minigame_1014","3003","3","0","","0","vo_minigame_1014_top_1002","","",""
"11","130011","3004","3","1","0","7","メカニックとしちゃ、\nフブキの腕は神業さ…\n妹でよかったよ、\nホントにさ","0","0","1"
"91","0","3005","3","","","","","","",""
"3","130011","3006","3","","","1","bsm_idle_yamato","","0.3",""
"1","1","4001","4","0","0","100","130111","0","1.3","bsm_idle_wakana"
"3","130111","4002","4","bsm_drama_guts_loop","1","0","bsm_drama_guts","0","0.2",""
"21","vo_minigame_1014","4003","4","0","","0","vo_minigame_1014_top_2000","","",""
"11","130111","4004","4","1","0","8","参加者のみなさんには\nごめんなさいですが…\nローン返済のためにも\n勝たせてもらいます！","0","0","1"
"91","0","4005","4","","","","","","",""
"3","130111","4006","4","","","1","bsm_idle_wakana","","0.3",""
"1","1","5001","5","0","0","100","130111","0","1.3","bsm_idle_wakana"
"3","130111","5002","5","","","1","bsm_drama_wish","","0.2",""
"21","vo_minigame_1014","5003","5","0","","0","vo_minigame_1014_top_2001","","",""
"11","130111","5004","5","1","0","8","こう言ったら\nなんですけど…\n姉さんが楽しそうで、\nわたしもうれしいです","0","0","1"
"91","0","5005","5","","","","","","",""
"3","130111","5006","5","","","1","bsm_idle_wakana","","0.3",""
"1","1","6001","6","0","0","100","130111","0","1.3","bsm_idle_wakana"
"3","130111","6002","6","","","1","bsm_drama_pazzled","","0.2",""
"21","vo_minigame_1014","6003","6","0","","0","vo_minigame_1014_top_2002","","",""
"11","130111","6004","6","1","0","7","フブキちゃんに\n野菜を食べてもらう\nにはどうしたら…\nも、もっと強引に…？","0","0","1"
"91","0","6005","6","","","","","","",""
"3","130111","6006","6","","","1","bsm_idle_wakana","","0.3",""
"1","1","7001","7","0","0","100","130211","0","1.3","bsm_idle_fubuki"
"3","130211","7002","7","","","1","bsm_drama_smile","","0.2",""
"21","vo_minigame_1014","7003","7","0","","0","vo_minigame_1014_top_3000","","",""
"11","130211","7004","7","1","0","5","対戦相手のお仕事は～\nぼくたちに賞金を\n運んでくるコト♪\nよろしくね～♡","0","0","1"
"91","0","7005","7","","","","","","",""
"3","130211","7006","7","","","1","bsm_idle_fubuki","","0.2",""
"1","1","8001","8","0","0","100","130211","0","1.3","bsm_idle_fubuki"
"3","130211","8002","8","bsm_drama_doya_loop","1","0","bsm_drama_doya","","0.2",""
"21","vo_minigame_1014","8003","8","0","","0","vo_minigame_1014_top_3001","","",""
"11","130211","8004","8","1","0","7","もうヤマ姉優勝で\n決まってっしー♪\n賞金全部もらっといて\nよくねー？","0","0","1"
"91","0","8005","8","","","","","","",""
"3","130211","8006","8","","","1","bsm_idle_fubuki","","0.2",""
"1","1","9001","9","0","0","100","130211","0","1.3","bsm_idle_fubuki"
"3","130211","9002","9","bsm_drama_laugh_loop","1","0","bsm_drama_laugh","0","0.2",""
"21","vo_minigame_1014","9003","9","0","","0","vo_minigame_1014_top_3002","","",""
"11","130211","9004","9","1","0","7","お兄さんを弾にして\n撃つ武器とか、ど～？\nきゃはは、よわそ～♡","0","0","1"
"91","0","9005","9","","","","","","",""
"3","130211","9006","9","","","1","bsm_idle_fubuki","","0.2",""
