579e6095a596e797d25b832001819d095d1dd6e41b8f39cf3d1d37c07afef3ed,56b1896c219650eda93c61993e145a4cbc9c99436caef897d479645fecfc05c2,103211bcb6498329a8263920f2f47e914dd6e7067dcd68a7023f4576714f46a5
"30007","1","1"
"30008","2","1"
"30012","3","2"
"40001","4","2"
"30014","5","2"
"30022","6","3"
"50023","7","3"
"30024","8","3"
"30026","9","4"
"50027","10","4"
"30028","11","4"
"30028","12","5"
"30029","13","5"
"30030","14","5"
"30044","15","6"
"40002","16","6"
"30046","17","6"
"50047","18","6"
"30059","19","7"
"30060","20","7"
"50061","21","7"
"30066","22","8"
"50067","23","8"
"30068","24","8"
"30069","25","8"
"30075","26","9"
"30076","27","9"
"30091","28","10"
"40003","29","10"
"30093","30","10"
"50094","31","10"
"30102","32","11"
"30103","33","11"
"30103","34","12"
"30104","35","12"
"30106","36","13"
"30107","37","13"
"50108","38","13"
"30109","39","13"
"30109","40","14"
"30110","41","14"
"30111","42","14"
"30112","43","14"
"30114","44","15"
"40004","45","15"
"30117","46","15"
"30118","47","15"
"50119","48","15"
"50119","49","16"
"30120","50","16"
"30121","51","16"
"30122","52","16"
"30123","53","16"
"50129","54","17"
"30130","55","17"
"30148","56","18"
"40005","57","18"
"30150","58","18"
"50151","59","18"
"50151","60","19"
"30152","61","19"
"30153","62","19"
"30154","63","19"
"40006","64","19"
"30156","65","19"
"30157","66","19"
"50162","67","20"
"30163","68","20"
"30163","69","21"
"30164","70","21"
"30166","71","21"
"30167","72","21"
"30170","73","22"
"30171","74","22"
"50172","75","22"
"30173","76","22"
"30173","77","23"
"30174","78","23"
"30175","79","23"
"30176","80","23"
"30177","81","23"
"30179","82","24"
"40007","83","24"
"30182","84","24"
"50183","85","24"
"50183","86","25"
"30184","87","25"
"30186","88","25"
"30187","89","25"
"30188","90","25"
"30189","91","25"
"30194","92","26"
"50195","93","26"
"30196","94","26"
"30213","95","27"
"40008","96","27"
"30215","97","27"
"30216","98","27"
"50217","99","27"
"30224","100","28"
"30225","101","28"
"30226","102","28"
"30227","103","28"
"30235","104","29"
"30236","105","29"
"50237","106","29"
"30238","107","29"
"30244","108","30"
"40009","109","30"
"30247","110","30"
"50248","111","30"
"30256","112","31"
"30257","113","31"
"30258","114","31"
"30274","115","32"
"40010","116","32"
"30276","117","32"
"30277","118","32"
"50278","119","32"
"30286","120","33"
"30287","121","33"
"30288","122","33"
"30295","123","34"
"30296","124","34"
"30297","125","34"
"50298","126","34"
"30299","127","34"
"40011","128","35"
"30308","129","35"
"50309","130","35"
"30319","131","36"
"30320","132","36"
"50321","133","36"
"30339","134","37"
"40012","135","37"
"50341","136","37"
"30342","137","37"
"30343","138","37"
"30363","139","38"
"30364","140","38"
"50365","141","38"
"30366","142","38"
"30370","143","39"
"40013","144","39"
"30374","145","39"
"30381","146","40"
"30382","147","40"
"50383","148","40"
"30401","149","41"
"40014","150","41"
"30404","151","41"
"50405","152","41"
"30422","153","42"
"30423","154","42"
"50424","155","42"
"30426","156","42"
"30432","157","43"
"40015","158","43"
"50435","159","43"
"50444","160","44"
"30445","161","44"
