0d952f5394bf5a21bea15684ed93ecc96f19f9544ddba6b8c03f37a415eba540,85aad6423cdf501dcb692b35a7eaf49eaa5c57295df4816ce2cc7fa6bd16654a,b1e4bddb077da1ef3d32f35a969f245397c11e715b83e53b568e9415bf38cca2,34509ed3df4315eaba08c459997447d6a4ba2fd88aa521826342efb39324ce6b,c3eeb7b6935e3975f81d636960faa81943a840ad4b5a43a54e40a5d25b2f77a4,0653ed0c219328c4ad190991ff82177a88201f0baea89069bc5589330d6fa159,847694b64d3f7c08bd74b82246f982b124d58169ce40f88118aa3e09ad9e75ed
"20001","0","0","0","101201001","ハツネ＆シオリ","103801001"
"20002","0","0","0","101101001","シズル＆リノ","104901001"
"20003","0","0","0","102801001","サレン＆スズメ","102501001"
"20004","0","0","0","100601001","ヨリ＆アカリ","102201001"
"20005","0","0","0","105801001","ペコリーヌ&コッコロ","105901001"
"20006","0","0","0","105801001","ペコリーヌ&キャル","106001001"
"20007","0","0","0","105901001","コッコロ&キャル","106001001"
"20008","0","0","0","100101001","ヒヨリ&ユイ","100201001"
"20009","0","0","0","100101001","ヒヨリ&レイ","100301001"
"20010","0","0","0","100201001","ユイ&レイ","100301001"
"20013","0","0","0","102901001","ノゾミ&チカ","104201001"
"20014","0","0","0","102901001","ノゾミ&ツムギ","105401001"
"20015","0","0","0","104201001","チカ&ツムギ","105401001"
"20016","0","0","0","102001001","ミミ&ミソギ","100401001"
"20017","0","0","0","102001001","ミミ&キョウカ","103601001"
"20018","0","0","0","100401001","ミソギ&キョウカ","103601001"
"20019","0","0","0","101501001","ミサト&ハツネ","101201001"
"20020","0","0","0","101501001","ミサト&アオイ","104001001"
"20021","0","0","0","101201001","ハツネ&アオイ","104001001"
"20022","0","0","0","104401001","イリヤ&ヨリ","102201001"
"20023","0","0","0","104401001","イリヤ&アカリ","100601001"
"20024","0","0","0","104401001","イリヤ&シノブ","103101001"
"20025","0","0","0","104401001","イリヤ&ミヤコ","100701001"
"20026","0","0","0","102201001","ヨリ＆シノブ","103101001"
"20027","0","0","0","102201001","ヨリ＆ミヤコ","100701001"
"20028","0","0","0","100601001","アカリ＆シノブ","103101001"
"20029","0","0","0","100601001","アカリ＆ミヤコ","100701001"
"20030","0","0","0","103101001","シノブ＆ミヤコ","100701001"
"20031","0","0","0","104701001","ジュン＆クリスティーナ","107101001"
"20032","0","0","0","104701001","ジュン＆トモ","103701001"
"20033","0","0","0","104701001","ジュン＆マツリ","100501001"
"20034","0","0","0","107101001","クリスティーナ＆トモ","103701001"
"20035","0","0","0","107101001","クリスティーナ＆マツリ","100501001"
"20036","0","0","0","103701001","トモ＆マツリ","100501001"
"20037","0","0","0","102801001","サレン＆アヤネ","102301001"
"20038","0","0","0","102801001","サレン＆クルミ","102101001"
"20039","0","0","0","102501001","スズメ＆アヤネ","102301001"
"20040","0","0","0","102501001","スズメ＆クルミ","102101001"
"20041","0","0","0","102301001","アヤネ＆クルミ","102101001"
"20042","0","0","0","101001001","マホ＆マコト","104301001"
"20043","0","0","0","101001001","マホ＆カスミ","101401001"
"20044","0","0","0","101001001","マホ＆カオリ","101701001"
"20045","0","0","0","104301001","マコト＆カスミ","101401001"
"20046","0","0","0","104301001","マコト＆カオリ","101701001"
"20047","0","0","0","101401001","カスミ＆カオリ","101701001"
"20048","0","0","0","103301001","マヒル＆リマ","105201001"
"20049","0","0","0","103301001","マヒル＆シオリ","103801001"
"20050","0","0","0","103301001","マヒル＆リン","102601001"
"20051","0","0","0","105201001","リマ＆シオリ","103801001"
"20052","0","0","0","105201001","リマ＆リン","102601001"
"20053","0","0","0","103801001","シオリ＆リン","102601001"
"20054","0","0","0","103201001","アキノ＆ミフユ","104801001"
"20055","0","0","0","103201001","アキノ＆ユカリ","103401001"
"20056","0","0","0","103201001","アキノ＆タマキ","104601001"
"20057","0","0","0","104801001","ミフユ＆ユカリ","103401001"
"20058","0","0","0","104801001","ミフユ＆タマキ","104601001"
"20059","0","0","0","103401001","ユカリ＆タマキ","104601001"
"20060","0","0","0","105601001","ルカ&ミツキ","105101001"
"20061","0","0","0","105601001","ルカ&エリコ","102701001"
"20062","0","0","0","105601001","ルカ&ナナカ","101301001"
"20063","0","0","0","105601001","ルカ&アンナ","100901001"
"20064","0","0","0","105101001","ミツキ&エリコ","102701001"
"20065","0","0","0","105101001","ミツキ&ナナカ","101301001"
"20066","0","0","0","105101001","ミツキ&アンナ","100901001"
"20067","0","0","0","102701001","エリコ&ナナカ","101301001"
"20068","0","0","0","102701001","エリコ&アンナ","100901001"
"20069","0","0","0","101301001","ナナカ&アンナ","100901001"
"20070","0","0","0","101801001","イオ&ミサキ","105001001"
"20071","0","0","0","101801001","イオ&スズナ","101601001"
"20072","0","0","0","105001001","ミサキ&スズナ","101601001"
"20073","0","0","0","105301001","モニカ&ユキ","100801001"
"20074","0","0","0","105301001","モニカ&ニノン","103001001"
"20075","0","0","0","105301001","モニカ&クウカ","104501001"
"20076","0","0","0","105301001","モニカ&アユミ","105501001"
"20077","0","0","0","100801001","ユキ&ニノン","103001001"
"20078","0","0","0","100801001","ユキ&クウカ","104501001"
"20079","0","0","0","100801001","ユキ&アユミ","105501001"
"20080","0","0","0","103001001","ニノン&クウカ","104501001"
"20081","0","0","0","103001001","ニノン&アユミ","105501001"
"20082","0","0","0","104501001","クウカ&アユミ","105501001"
"20083","0","0","0","102801001","サレン&アキノ","103201001"
