19002aeaefa0c35f7b6760f6012fcd899bafe6556ec09ef64e5a1c3c405705c9,bc8004663e21b6c12b1fae6ccec1e7f0e203a4ccba815de2dd9d88268218aaf9,cecd90a7043753aa213b9daa608d87a1fc85069a48bad9e5954e2f48a13b83dd,802dd8bc7f6d6b06cd64c45f45272338b49aedbb6fe25d063f5d8bd1720121f1,138f6224c0aad5f705e1a1775db0b0d9be18381539523e8feaace2e2b770005f,7c8bb8f038daa85e965ee273ac0a4973514256a606aea2dcc1c7e3f788530416,cf40a13d7303ac0d6e6cf5435fd403e15983366e48e9ed3aa16db7e91f7e13f2,a963049c6fa7ca97e4bf80dd8db642ac6b24d3c6b489bbf3e893012313a11a29,9cf091d689a12418ceb038adc34dab52e6dbba56743a4ef8be4953795ddfc5e5,371f8f20b534664cbd7f7bad21198e3ebc605502e37750d0b75b79a15cd750ed
"0","0","0","懐かしき過去の結晶","オープニング","0","10110","20059104","5110601","0"
"91002","1","30","リーダーはどっちだ！","オクトーの追想　その1","8","10110","20059104","5110602","0"
"91002","1","30","勝ちたい理由","オクトーの追想　その2","8","10110","20059105","5110603","0"
"91002","1","30","聞き上手な誓約女君","クリスティーナの追想　その1","8","10110","20059108","5110604","0"
"91002","1","30","秘めたる本当の実力……？","ダイゴの追想　その1","8","10110","20059109","5110605","0"
"91002","1","30","友と書いてライバルと読む","ラビリスタの追想　その1","8","10110","20059110","5110606","0"
"91002","1","30","悪と正義の高笑い","マサキの追想","8","10110","20059112","5110607","0"
"91002","1","30","プリンセスナイトとは","ラジラジの追想　その1","8","10110","20059113","5110608","0"
"91002","1","30","まだ見ぬ日々に想い馳せて","オクトーの追想　その3","8","10110","20059114","5110609","0"
"91002","1","30","跳躍王のお仕置き","ラジラジの追想　その2","8","10111","20060103","5111602","0"
"91002","1","30","二人なら絶対だって","クリスティーナの追想　その2","8","10111","20060105","5111603","0"
"91002","1","30","虎の尾を踏む","ダイゴの追想　その2","8","10111","20060108","5111604","0"
"91002","1","30","一番怪しい七冠は誰だ","ラビリスタの追想　その2","8","10111","20060109","5111605","0"
"91002","1","30","簡単すぎる問題","ネネカの追想","8","10111","20060110","5111606","0"
"91002","1","30","魔物使いは語る","オクトーの追想　その4","8","10111","20060113","5111607","0"
"91002","1","30","悪党たちの目指す未来","オクトーの追想　その5","8","10111","20060113","5111608","0"
"9000222","0","1","過去を超える思い出を","エンディング","16","10111","0","5111609","1"
