6f75a7bba131aac8debae783d3a205a413f1b5acf3ef223c2f0b6b34478206eb,a7e2f61e47f7afb820d2b61a02a0e9ad0efa7ae75d7bc131631f409f9411e816,adc02c0e2c3089ad0baf764eadc217a2550e548f2229710bef75cd92688acddb,76b657e29f5abcdcdd9f6e2aebff7d2aa7fdf3147ab3538e1bd3e23a7a5b2fcd,c2fcb9e9c5a5583dc209248b1d1e4073351bbb6e81280ac9614d80290a95401f,ee66ba400aad863eb94614b30acf8c301490a56b28a181d4bab17d9c74281fdc,2937c143806d880d144230e8a48c4e62d680940f3e19d9c433e6bfa9cb79499e,087c355c62bb4f6121b7eb10414e68fb5019fc6112f470c4a4928e6d2844a2f7,dff34bfc495b7b3a208b71882f5d78e0c28ac2f091a94b3dd802bf7dcb50d310
"10001","1","22","-1","7","6","5","8","53003"
"10002","1","22","-1","7","6","5","4","53002"
"10101","1","22","5","6","5","4","6","53003"
"10102","1","22","5","6","5","4","5","53002"
"10201","1","22","4","5","4","3","5","53003"
"10202","1","22","4","5","4","3","5","53002"
"10301","1","22","3","4","3","3","4","53003"
"10302","1","22","3","4","3","3","3","53002"
"10401","1","22","2","3","2","2","3","53003"
"10402","1","22","2","3","2","2","2","53002"
"10501","1","22","1","2","1","1","2","53003"
"10502","1","22","1","2","1","1","1","53002"
"10601","1","22","0","1","0","1","2","53002"
"10701","2","22","-1","7","6","5","8","53003"
"10702","2","22","-1","7","6","5","4","53002"
"10801","2","22","5","6","5","4","6","53003"
"10802","2","22","5","6","5","4","5","53002"
"10901","2","22","4","5","4","3","5","53003"
"10902","2","22","4","5","4","3","5","53002"
"11001","2","22","3","4","3","3","4","53003"
"11002","2","22","3","4","3","3","3","53002"
"11101","2","22","2","3","2","2","3","53003"
"11102","2","22","2","3","2","2","2","53002"
"11201","2","22","1","2","1","1","2","53003"
"11202","2","22","1","2","1","1","1","53002"
"11301","2","22","0","1","0","1","2","53002"
"11401","3","22","-1","7","6","5","8","53003"
"11402","3","22","-1","7","6","5","4","53002"
"11501","3","22","5","6","5","4","6","53003"
"11502","3","22","5","6","5","4","5","53002"
"11601","3","22","4","5","4","3","5","53003"
"11602","3","22","4","5","4","3","5","53002"
"11701","3","22","3","4","3","3","4","53003"
"11702","3","22","3","4","3","3","3","53002"
"11801","3","22","2","3","2","2","3","53003"
"11802","3","22","2","3","2","2","2","53002"
"11901","3","22","1","2","1","1","2","53003"
"11902","3","22","1","2","1","1","1","53002"
"12001","3","22","0","1","0","1","2","53002"
"12101","4","22","-1","7","6","5","8","53003"
"12102","4","22","-1","7","6","5","4","53002"
"12201","4","22","5","6","5","4","6","53003"
"12202","4","22","5","6","5","4","5","53002"
"12301","4","22","4","5","4","3","5","53003"
"12302","4","22","4","5","4","3","5","53002"
"12401","4","22","3","4","3","3","4","53003"
"12402","4","22","3","4","3","3","3","53002"
"12501","4","22","2","3","2","2","3","53003"
"12502","4","22","2","3","2","2","2","53002"
"12601","4","22","1","2","1","1","2","53003"
"12602","4","22","1","2","1","1","1","53002"
"12701","4","22","0","1","0","1","2","53002"
"12801","5","22","-1","7","6","5","8","53003"
"12802","5","22","-1","7","6","5","4","53002"
"12901","5","22","5","6","5","4","6","53003"
"12902","5","22","5","6","5","4","5","53002"
"13001","5","22","4","5","4","3","5","53003"
"13002","5","22","4","5","4","3","5","53002"
"13101","5","22","3","4","3","3","4","53003"
"13102","5","22","3","4","3","3","3","53002"
"13201","5","22","2","3","2","2","3","53003"
"13202","5","22","2","3","2","2","2","53002"
"13301","5","22","1","2","1","1","2","53003"
"13302","5","22","1","2","1","1","1","53002"
"13401","5","22","0","1","0","1","2","53002"
"13501","6","22","-1","7","6","5","8","53003"
"13502","6","22","-1","7","6","5","4","53002"
"13601","6","22","5","6","5","4","6","53003"
"13702","6","22","5","6","5","4","5","53002"
"13801","6","22","4","5","4","3","5","53003"
"13902","6","22","4","5","4","3","5","53002"
"14001","6","22","3","4","3","3","4","53003"
"14002","6","22","3","4","3","3","3","53002"
"14101","6","22","2","3","2","2","3","53003"
"14102","6","22","2","3","2","2","2","53002"
"14201","6","22","1","2","1","1","2","53003"
"14202","6","22","1","2","1","1","1","53002"
"14301","6","22","0","1","0","1","2","53002"
"14401","7","22","-1","7","6","5","8","53003"
"14402","7","22","-1","7","6","5","4","53002"
"14501","7","22","5","6","5","4","6","53003"
"14502","7","22","5","6","5","4","5","53002"
"14601","7","22","4","5","4","3","5","53003"
"14701","7","22","4","5","4","3","5","53002"
"14801","7","22","3","4","3","3","4","53003"
"14802","7","22","3","4","3","3","3","53002"
"14901","7","22","2","3","2","2","3","53003"
"14902","7","22","2","3","2","2","2","53002"
"15001","7","22","1","2","1","1","2","53003"
"15002","7","22","1","2","1","1","1","53002"
"15101","7","22","0","1","0","1","2","53002"
