1a127a1401e63d60f5d84c25c8e4dbe58f5650d9520875e431d9565ed8562496,fd5755bdbad1d7c32b7f573d97af1dd59693470ea38ae22f012e66f69a112b9c,0e5351a01bcc580b0d98fd6775d0b116874bf87c3ead917db3bd41af7a2e5a5c,53258d602748c937374eb7b54ce2f92e0c18b7b1e737631eaff3fd0ed7955412,1949b490751ad644db31ab6ee3955da03cdf69ed33bcbc1d87794426dc9fee1c,13c87842b34a6bf3f74d4c93ee3b0a705bf533e55700365f1d38a35c7fff6e8b
"1","58002001","1","15","10101001","1001"
"2","58002002","1","15","10101002","1002"
"3","58002003","1","15","10101003","1003"
"4","56011001","1","15","10201001","1001"
"5","56011002","1","15","10201002","1002"
"6","56011003","1","15","10201003","1003"
"7","56011003","50","8","91002","0"
"8","56011004","1","15","10201004","1001"
"9","56011005","1","15","10201005","1002"
"10","56011006","1","15","10201006","1003"
"11","56011006","50","8","91002","0"
"12","56011007","1","15","10201007","1001"
"13","56011008","1","15","10201008","1002"
"14","56011009","1","15","10201009","1003"
"15","56011009","50","8","91002","0"
"16","56011010","1","15","10201010","1001"
"17","56011011","1","15","10201011","1002"
"18","56011012","1","15","10201012","1003"
"19","56011012","50","8","91002","0"
"20","56011013","1","15","10201013","1001"
"21","56011014","1","15","10201014","1002"
"22","56011015","1","15","10201015","1003"
"23","56011015","50","8","91002","0"
"24","56011016","1","15","10201016","1001"
"25","56011017","1","15","10201017","1002"
"26","56011018","1","15","10201018","1003"
"27","56011018","50","8","91002","0"
"28","56011019","1","15","10201019","1001"
"29","56011020","1","15","10201020","1002"
"30","56011021","1","15","10201021","1003"
"31","56011021","50","8","91002","0"
"32","56011022","1","15","10201022","1001"
"33","56011023","1","15","10201023","1002"
"34","56011024","1","15","10201024","1003"
"35","56011024","50","8","91002","0"
"36","56011025","1","15","10201025","1001"
"37","56011026","1","15","10201026","1002"
"38","56011027","1","15","10201027","1003"
"39","56011027","50","8","91002","0"
"40","56011028","1","15","10201028","1001"
"41","56011029","1","15","10201029","1002"
"42","56011030","1","15","10201030","1003"
"43","56011030","50","8","91002","0"
"44","56011031","1","15","10201031","1001"
"45","56011032","1","15","10201032","1002"
"46","56011033","1","15","10201033","1003"
"47","56011033","50","8","91002","0"
"48","56011034","1","15","10201034","1001"
"49","56011035","1","15","10201035","1002"
"50","56011036","1","15","10201036","1003"
"51","56011036","50","8","91002","0"
"52","56011037","1","15","10201037","1001"
"53","56011038","1","15","10201038","1002"
"54","56011039","1","15","10201039","1003"
"55","56011039","50","8","91002","0"
"56","56011040","1","15","10201040","1001"
"57","56011041","1","15","10201041","1002"
"58","56011042","1","15","10201042","1003"
"59","56011042","50","8","91002","0"
"60","56011043","1","15","10201043","1001"
"61","56011044","1","15","10201044","1002"
"62","56011045","1","15","10201045","1003"
"63","56011045","50","8","91002","0"
"64","56011046","1","15","10201046","1001"
"65","56011047","1","15","10201047","1002"
"66","56011048","1","15","10201048","1003"
"67","56011048","50","8","91002","0"
"68","56011049","1","15","10201049","1001"
"69","56011050","1","15","10201050","1002"
"70","56011051","1","15","10201051","1003"
"71","56011051","50","8","91002","0"
"72","56011052","1","15","10201052","1001"
"73","56011053","1","15","10201053","1002"
"74","56011054","1","15","10201054","1003"
"75","56011054","50","8","91002","0"
"76","56011055","1","15","10201055","1001"
"77","56011056","1","15","10201056","1002"
"78","56011057","1","15","10201057","1003"
"79","56011057","50","8","91002","0"
"80","56011058","1","15","10201058","1001"
"81","56011059","1","15","10201059","1002"
"82","56011060","1","15","10201060","1003"
"83","56011060","50","8","91002","0"
"84","56011061","1","15","10201061","1001"
"85","56011062","1","15","10201062","1002"
"86","56011063","1","15","10201063","1003"
"87","56011063","50","8","91002","0"
"88","56011064","1","15","10201064","1001"
"89","56011065","1","15","10201065","1002"
"90","56011066","1","15","10201066","1003"
"91","56011066","50","8","91002","0"
"92","56011067","1","15","10201067","1001"
"93","56011068","1","15","10201068","1002"
"94","56011069","1","15","10201069","1003"
"95","56011069","50","8","91002","0"
"96","56011070","1","15","10201070","1001"
"97","56011071","1","15","10201071","1002"
"98","56011072","1","15","10201072","1003"
"99","56011072","50","8","91002","0"
"100","56011073","1","15","10201073","1001"
"101","56011074","1","15","10201074","1002"
"102","56011075","1","15","10201075","1003"
"103","56011075","50","8","91002","0"
"104","56011076","1","15","10201076","1001"
"105","56011077","1","15","10201077","1002"
"106","56011078","1","15","10201078","1003"
"107","56011078","50","8","91002","0"
"108","56011079","1","15","10201079","1001"
"109","56011080","1","15","10201080","1002"
"110","56011081","1","15","10201081","1003"
"111","56011081","50","8","91002","0"
"112","56011082","1","15","10201082","1001"
"113","56011083","1","15","10201083","1002"
"114","56011084","1","15","10201084","1003"
"115","56011084","50","8","91002","0"
"116","56011085","1","15","10201085","1001"
"117","56011086","1","15","10201086","1002"
"118","56011087","1","15","10201087","1003"
"119","56011087","50","8","91002","0"
"120","56011088","1","15","10201088","1001"
"121","56011089","1","15","10201089","1002"
"122","56011090","1","15","10201090","1003"
"123","56011090","50","8","91002","0"
"124","56011091","1","15","10201091","1001"
"125","56011092","1","15","10201092","1002"
"126","56011093","1","15","10201093","1003"
"127","56011093","50","8","91002","0"
"128","56011094","1","15","10201094","1001"
"129","56011095","1","15","10201095","1002"
"130","56011096","1","15","10201096","1003"
"131","56011096","50","8","91002","0"
"132","56011097","1","15","10201097","1001"
"133","56011098","1","15","10201098","1002"
"134","56011099","1","15","10201099","1003"
"135","56011099","50","8","91002","0"
"136","56011100","1","15","10201100","1001"
"137","56011101","1","15","10201101","1002"
"138","56011102","1","15","10201102","1003"
"139","56011102","50","8","91002","0"
"140","56011103","1","15","10201103","1001"
"141","56011104","1","15","10201104","1002"
"142","56011105","1","15","10201105","1003"
"143","56011105","50","8","91002","0"
"144","56011106","1","15","10201106","1001"
"145","56011107","1","15","10201107","1002"
"146","56011108","1","15","10201108","1003"
"147","56011108","50","8","91002","0"
"148","56011109","1","15","10201109","1001"
"149","56011110","1","15","10201110","1002"
"150","56011111","1","15","10201111","1003"
"151","56011111","50","8","91002","0"
"152","56011112","1","15","10201112","1001"
"153","56011113","1","15","10201113","1002"
"154","56011114","1","15","10201114","1003"
"155","56011114","50","8","91002","0"
"156","56011115","1","15","10201115","1001"
"157","56011116","1","15","10201116","1002"
