90a7eccf1ca4630ad5fcfc32d90bcdec7747183c8062c72b859d35e5489ba9bc,4d9660e0c49b7724312e881c82e0e2b19c199ff62e1ea679e9e1df4f1ead7c87,dd2e0f92902516e1a3ee0c583dc53af580037f50c1f9fb2b88fd39cae9d1cf29
"1","14","4"
"2","20","15"
"3","25","21"
"4","30","26"
"5","35","31"
"6","40","36"
"7","45","41"
"8","50","46"
"9","55","51"
"10","60","56"
"11","65","61"
"12","70","66"
"13","75","71"
"14","80","76"
"15","85","81"
"16","90","86"
"17","95","91"
"18","100","96"
"19","105","101"
"20","110","106"
"21","115","111"
"22","120","116"
"23","125","121"
"24","130","126"
"25","135","131"
"26","140","136"
"27","145","141"
"28","150","146"
"29","155","151"
"30","160","156"
"31","165","161"
"32","170","166"
"33","175","171"
"34","180","176"
"35","185","181"
"36","190","186"
"37","195","191"
"38","200","196"
"39","205","201"
"40","210","206"
"41","215","211"
"42","220","216"
"43","225","221"
"44","230","226"
"45","235","231"
"46","240","236"
"47","245","241"
"48","250","246"
"49","255","251"
"50","260","256"
"51","265","261"
"52","270","266"
"53","275","271"
"54","280","276"
"55","285","281"
"56","290","286"
"57","295","291"
"58","300","296"
"59","305","301"
"60","310","306"
"61","315","311"
"62","320","316"
"63","325","321"
"64","330","326"
"65","335","331"
"66","340","336"
"67","345","341"
"68","350","346"
"69","355","351"
"70","360","356"
"71","365","361"
"72","370","366"
"73","375","371"
"74","380","376"
"75","385","381"
"76","-1","386"
