03ba5900da75e9c5b2d7ca32dd3febfed73e62a4f3ef55e59e7f46423a7a9e04,41ab00727732ebbce9b161725dede638dcac90e3adb4a2e838c58367bccb9550,9d5aa9238ed00b0833085bacbfbec8fd9e2a0effdcdbf335aa5e477003fdd6d7,98c6e53c64d7d2981b34ab9d996e9d40221840b35e73cf9ed97d0ac2afc47a88
"界雷","137","魔法攻撃のダメージが小アップし、物理攻撃を行うキャラが行動する度にそのキャラの最大ＨＰに応じて最大99999の割合ダメージを与える。","2017"
"百花繚乱","146","一定時間が経過するごとに、敵、味方全体のＴＰを中回復させる。","2017"
"炎天烈日","147","一定時間が経過するごとに、敵、味方全体に最大ＨＰに応じた最大20万の割合ダメージを与える。さらに、付与される継続ダメージが上昇する。","2017"
"秋高馬肥","148","一定時間が経過するごとに、敵、味方全体の物理攻撃力、魔法攻撃力、物理防御力、魔法防御力をアップさせる。この効果の効果量は敵、味方を合わせた数に応じて増加する。","2017"
"寒気凛冽","149","敵、味方全体の行動速度を小ダウンさせる。このスキルの効果は他の行動速度変化スキルと重複する。さらに一定時間が経過するごとに、初期値より行動速度が低い状態のキャラに凍結状態を付与する。","2017"
"妨魔塵","162","魔法攻撃のダメージが小ダウンする。","2017"
"雷雲","164","一定時間が経過するごとに、敵全体に最大ＨＰに応じた魔法割合ダメージを与える。さらに、キャラのＨＰが50％未満の場合、麻痺状態を付与する。この効果によるダメージでは、ＴＰが回復しない。この効果の状態異常はダメージを無効化しても付与される。","2017"
"暴風","169","一定時間が経過するごとに、敵全体をノックバックさせる。","2017"
"豪雨","170","一定時間が経過するごとに、敵全体の行動速度をバトル終了まで小ダウンさせる。さらに、物理攻撃力と魔法攻撃力をバトル終了まで小ダウンさせる。","2017"
"絶氷","175","物理攻撃クリティカル時のダメージが小アップする。","2017"
"雷雲","186","一定時間が経過するごとに、敵全体に最大ＨＰに応じた魔法割合ダメージを与える。この効果によるダメージでは、ＴＰが回復しない。","2017"
"忌火","207","継続ダメージを与える状態異常のダメージの発生間隔と効果時間が延長される。","2017"
"マナの流脈","228","一定時間が経過するごとに、敵、味方全体の物理攻撃力、魔法攻撃力をアップさせる。この効果の効果量は現在の対象の物理攻撃力、魔法攻撃力に応じて増加する。","2017"
