cd7787c2d3f2f29ebe1a510aff1cff1ca84b87a94ef5195a258393c20ceca558,5f5b5b55e5f8a5cb10f039db2fc932a91925ff9faa056f0cb8187b2bed3cbbff,f6e5ec0745d7c33dadcf3d77c9ec955dfd2f62e4d1eabc97872826c2ea77ecdc,2afd54dcc71c32150b50b80b8fae8e029a5d847b2943f49d7b3da27d1cf22846,20217c3485aa5b997d5da5132ebcdd0b475d5a1d064bf4e53461de57abab4257,450055778dda61012e03972a631505fa88d0e44aae6954e2ba6ee7e139fca52d,e1fea361849e6c38563175e5bb14e5a74302d8a8f5b497a8a6ca032d58b86eb8,ce1070e3fd6cf6f4dba549508a5c10e27901c50ff9f27596137c6948a2b9a662,55fa1789e6cbacf16723e246c632dfcfe1cd7544a8e589ac182610db5c95a519,0c0b01b5816e17056efd37030162e3f36b3018bed165fa74b485b757fa749fbb,9c2aa2193c092152d08543004a5e69d94624f17bb590195f93c7caad0bb38a1d,f5eb32dc776a624d69b1aa38f16f16c6bf1406dfd1bee02b7187cd2291a3c567
"101","11041","2","0","1","0","104","0","1","0","4","0"
"201","10141","3","1","2","0","14","0","2","0","2","0"
"301","11031","2","2","3","0","103","0","3","0","2","0"
"401","11021","1","3","4","0","102","0","4","0","1","0"
"501","11041","2","4","5","0","104","0","5","0","4","0"
"601","10011","3","5","6","0","1","0","6","0","1","0"
"701","11011","4","6","7","0","101","0","7","0","3","0"
"801","11001","3","7","8","0","100","0","8","0","1","0"
"901","11041","2","8","9","0","104","0","9","0","4","0"
"1001","10011","3","9","10","0","1","0","10","0","2","0"
"1101","10511","4","10","11","0","51","0","11","0","1","0"
"1201","10521","3","11","12","0","52","0","12","0","2","0"
"1301","11041","2","12","13","0","104","0","13","0","4","0"
"1401","11031","1","13","14","0","103","0","14","0","1","0"
"1501","11021","2","14","15","0","102","0","15","0","1","0"
"1601","10011","3","15","16","0","1","0","16","0","1","0"
"1701","11041","2","16","17","0","104","0","17","0","4","0"
"1801","10501","3","17","18","0","50","0","18","0","2","0"
"1901","11011","4","18","19","0","101","0","19","0","3","0"
"2001","11001","3","19","20","0","100","0","20","0","2","0"
"2101","11041","2","20","21","0","104","0","21","0","4","0"
"2201","10011","1","21","22","0","1","0","22","0","3","0"
"2301","11001","3","22","23","0","100","0","23","0","2","0"
