ff5694dd2d221ee23076e9cd83991f6be90ea5367eaba70696284eb597a425c4,9e3694aaab0c4cabea82e9ece6855e68000514ab13ba7b10f154a6db9438ff2d,9ba09e679877d1f403a3be2bdfc01310dd77ce10e2e9744b1741a091831d86cd,1c9090c89bbb8368a4f25d64a5e5b1054ddf61c802c1411dd1ff57e67606898c,f8d87c6a942f4f71d612b3b1bb8a831a6ce3eb9155845ec0011996151536cdb6,5aa3fac5e7a15ec021d12dbe697ebe72a93c69338f0a25faa053f1d9cad60501,fc1fb77c3cb263d38676a1d3c8d9f503b0156dabce7f2b67208b2fd92d7ecfbc,2bdb65d2196896a867737587d892bc3ad774a0db54129df9b927c700e6060203,17c72694f44ca3a0c88ed7c083fc54a84cfeb52de3a02096598ec8f47693f3b4,491a6359acd032581b1e0ae90e07dbcc2e372838bffa80f745e4b24b7d9d81c6,0dc6eaad2ce0d070a31e667060ef0a403e861e63845c12112c213d06e2c168b8
"","","11010001","se_10053800","","se_fpc_water_random","","101","23","",""
"-180","23","11010002","1","0","<unit_id>","cmn_swm_tread","101","1","1.75","-850"
"-180","22","11010003","1","0","1","cmn_swm_tread_pink","101","5","1.75","-850"
"1","-850","11010004","3","","3","","101","31","1","-180"
"","","11010005","0","","0","","101","91","",""
"","-180","11010006","<unit_id>","","850","","101","2","","10"
"","-180","11010007","1","","850","","101","2","","10"
"","-180","11010008","3","","850","","101","33","","10"
"","","11020001","se_10053800","","se_fpc_water_random","","102","23","",""
"-180","23","11020002","1","0","<unit_id>","cmn_swm_tread","102","1","1.75","-850"
"-180","22","11020003","1","0","1","cmn_swm_tread_blue","102","5","1.75","-850"
"1","-850","11020004","3","","3","","102","31","1","-180"
"","","11020005","0","","0","","102","91","",""
"","-180","11020006","<unit_id>","","850","","102","2","","10"
"","-180","11020007","1","","850","","102","2","","10"
"","-180","11020008","3","","850","","102","33","","10"
"","","11030001","se_10053800","","se_fpc_water_random","","103","23","",""
"-180","23","11030002","1","0","<unit_id>","cmn_swm_tread","103","1","1.75","-850"
"-180","22","11030003","1","0","1","cmn_swm_tread","103","5","1.75","-850"
"1","-850","11030004","3","","3","","103","31","1","-180"
"","","11030005","0","","0","","103","91","",""
"","-180","11030006","<unit_id>","","850","","103","2","","10"
"","-180","11030007","1","","850","","103","2","","10"
"","-180","11030008","3","","850","","103","33","","10"
"","","11510001","se_10053800","","se_fpc_water_random","","151","23","",""
"-180","22","11510002","1","0","<unit_id>","cmn_swm_flutterKick","151","1","1.75","-850"
"1","-850","11510003","1","","1","","151","31","1","-180"
"","","11510004","0","","0","","151","91","",""
"","-180","11510005","<unit_id>","","1050","","151","2","","10"
"","-180","11510006","1","","1050","","151","33","","10"
"","","12010001","se_10053800","","se_fpc_water_random","","201","23","",""
"-180","22","12010002","1","0","<unit_id>","cmn_swm_breastStroke","201","1","1.75","-850"
"1","-850","12010003","2","","2","","201","31","1","-180"
"","","12010004","0","","0","","201","91","",""
"","-180","12010005","<unit_id>","","850","","201","2","","10"
"","-180","12010006","2","","850","","201","33","","10"
"","","12510001","se_10053800","","se_fpc_water_random","","251","23","",""
"-180","22","12510002","1","0","<unit_id>","cmn_swm_diving","251","1","1.75","-850"
"1","-850","12510003","9","","9","","251","31","1","-180"
"","","12510004","0","","0","","251","91","",""
"","-180","12510005","<unit_id>","","850","","251","2","","10"
"","-180","12510006","9","","850","","251","33","","10"
"","","13010001","se_10053800","","se_fpc_water_random","","301","23","",""
"-180","23","13010002","1","0","<unit_id>","cmn_swm_flutterKick_floatRing","301","1","1.75","-850"
"-180","22","13010003","1","0","1","cmn_swm_flutterKick_floatRing_pink","301","5","1.75","-850"
"1","-850","13010004","1","","1","","301","31","1","-180"
"","","13010005","0","","0","","301","91","",""
"","-180","13010006","<unit_id>","","1050","","301","2","","10"
"","-180","13010007","1","","1050","","301","2","","10"
"","-180","13010008","1","","1050","","301","33","","10"
"","","13020001","se_10053800","","se_fpc_water_random","","302","23","",""
"-180","23","13020002","1","0","<unit_id>","cmn_swm_flutterKick_floatRing","302","1","1.75","-850"
"-180","22","13020003","1","0","1","cmn_swm_flutterKick_floatRing_blue","302","5","1.75","-850"
"1","-850","13020004","1","","1","","302","31","1","-180"
"","","13020005","0","","0","","302","91","",""
"","-180","13020006","<unit_id>","","1050","","302","2","","10"
"","-180","13020007","1","","1050","","302","2","","10"
"","-180","13020008","1","","1050","","302","33","","10"
"","","13030001","se_10053800","","se_fpc_water_random","","303","23","",""
"-180","23","13030002","1","0","<unit_id>","cmn_swm_flutterKick_floatRing","303","1","1.75","-850"
"-180","22","13030003","1","0","1","cmn_swm_flutterKick_floatRing","303","5","1.75","-850"
"1","-850","13030004","1","","1","","303","31","1","-180"
"","","13030005","0","","0","","303","91","",""
"","-180","13030006","<unit_id>","","1050","","303","2","","10"
"","-180","13030007","1","","1050","","303","2","","10"
"","-180","13030008","1","","1050","","303","33","","10"
"","","13510001","se_10053800","","se_fpc_water_random","","351","23","",""
"-180","23","13510002","1","0","<unit_id>","cmn_swm_flutterKick_floatRing","351","1","1.75","-850"
