9e72c94fe338503ea6893817cf43779fb5c02c7ff3f0db2564e5e9978d266613,dc75c54fb5a1768946f77035a0de1afc8bfd25f79e66cce61da4333e36e6c180,4c15131e875ebaf8be1b6b038e003f0dbd3e132c17107dce74f6969cbaf9a12a,0f4356a1db7763d44193386460e4360b6bb6f81d12c4c1dc599dc86803d2474a,f480db55ec43d22214366088e2f14ad5238513fb8dae065d35c5922077af899b,29f517deab687241fa2c7e1c149ef1ab3ccc92d2e7844a0ff110ecb6c640889e,1895651689dd8297b7fb8dcfb7f7bd14f6c1590a29f2f18b03bdb3520769173b
"1","1","0","1","1","0","1"
"2","4","0","2","1","0","1"
"1","5","0","3","1","12","1"
"2","2","0","4","1","0","1"
"1","8","0","5","2","0","1"
"1","1","0","1","1","0","2"
"2","1","0","2","1","0","2"
"1","6","0","3","1","0","2"
"2","1","0","4","1","0","2"
"3","1","0","5","1","0","2"
"1","3","0","6","3","11","2"
"2","1","0","7","1","0","2"
"1","3","0","8","1","0","2"
"1","1","0","9","2","0","2"
"1","1","0","1","1","0","3"
"2","10","0","2","1","0","3"
"1","11","0","3","1","0","3"
"2","5","0","4","1","0","3"
"3","6","0","5","1","0","3"
"3","3","0","6","1","0","3"
"4","3","0","7","2","9","3"
"4","7","0","8","1","0","3"
"4","1","0","9","1","0","3"
"1","9","0","10","3","8","3"
"2","4","0","11","1","0","3"
"1","1","0","12","1","0","3"
"4","3","0","13","1","0","3"
"3","3","0","14","2","11","3"
"1","4","0","1","1","10","4"
"1","12","0","2","1","12","4"
"2","1","0","3","1","10","4"
"1","11","0","4","1","4","4"
"2","1","0","5","1","0","4"
"1","4","0","6","1","13","4"
"2","2","0","7","1","6","4"
"1","8","0","8","1","0","4"
"2","8","0","9","1","10","4"
"1","1","0","1","1","10","5"
"2","11","0","2","1","5","5"
"1","1","0","3","1","7","5"
"2","5","0","4","1","12","5"
"1","1","0","5","1","11","5"
"2","3","0","6","1","4","5"
"2","5","0","7","1","12","5"
"1","2","0","8","1","6","5"
"2","11","0","9","1","4","5"
"1","8","0","10","1","8","5"
"1","4","0","11","1","10","5"
"2","5","0","12","1","10","5"
"1","8","0","1","1","7","6"
"2","4","0","2","1","10","6"
"1","1","0","3","1","11","6"
"2","8","0","4","1","8","6"
"1","11","0","5","1","6","6"
"1","2","0","6","2","7","6"
"1","5","0","7","1","4","6"
"2","4","0","8","1","10","6"
"1","10","0","9","2","13","6"
"1","8","0","1","1","7","7"
"2","12","0","2","1","10","7"
"2","4","0","3","1","12","7"
"1","11","0","4","1","7","7"
"1","1","0","5","1","10","7"
"2","5","0","6","1","12","7"
"2","5","0","7","1","11","7"
"2","8","0","8","1","10","7"
"1","2","0","9","1","8","7"
"1","8","0","10","1","7","7"
"2","4","0","11","1","9","7"
"1","1","0","1","2","10","8"
"2","12","0","2","1","10","8"
"1","12","0","3","1","5","8"
"1","5","0","4","1","12","8"
"2","1","0","5","1","10","8"
"1","5","0","6","1","12","8"
"1","5","0","7","1","12","8"
"2","1","0","8","1","10","8"
"2","8","0","9","1","9","8"
"1","4","0","10","2","9","8"
"1","4","0","1","1","8","9"
"1","5","0","2","1","10","9"
"2","4","0","3","1","7","9"
"2","6","0","4","1","8","9"
"1","1","0","5","1","10","9"
"1","11","0","6","1","11","9"
"1","1","0","7","1","6","9"
"2","5","0","8","1","8","9"
"2","8","0","9","1","7","9"
"1","4","0","10","1","6","9"
"2","11","0","1","1","10","10"
"1","1","0","2","1","7","10"
"1","8","0","3","2","8","10"
"2","5","0","4","1","9","10"
"1","10","0","5","1","8","10"
"1","1","0","6","2","7","10"
"1","2","0","7","2","6","10"
"1","11","0","8","1","10","10"
"2","8","0","9","1","10","10"
"1","9","0","1","1","8","11"
"2","5","0","2","1","0","11"
"2","6","0","3","1","12","11"
"1","1","0","4","1","5","11"
"2","5","0","5","1","10","11"
"2","6","0","6","1","12","11"
"1","1","0","7","1","4","11"
"1","11","0","8","1","0","11"
"1","6","0","9","1","0","11"
"2","1","0","10","1","10","11"
"1","6","0","11","1","11","11"
"2","1","0","12","1","12","11"
"2","5","0","13","1","6","11"
"1","10","0","14","1","7","11"
"2","4","0","15","1","7","11"
"2","11","0","1","1","4","12"
"1","1","0","2","1","5","12"
"2","6","0","3","1","10","12"
"2","5","0","4","1","10","12"
"1","11","0","5","1","0","12"
"2","6","0","6","1","0","12"
"2","12","0","7","1","17","12"
"1","5","0","8","1","1","12"
"1","1","0","9","1","2","12"
"2","6","0","10","1","10","12"
"2","4","0","11","1","10","12"
"1","1","0","12","1","0","12"
"1","5","0","13","1","13","12"
"2","11","0","14","1","8","12"
"1","8","0","15","1","10","12"
"1","11","0","1","1","10","13"
"3","11","0","2","1","8","13"
"2","6","0","3","1","0","13"
"1","11","0","4","1","10","13"
"2","11","0","5","1","7","13"
"3","2","0","6","1","6","13"
"3","1","1500","7","1","0","13"
"1","11","0","8","3","5","13"
"3","5","0","9","1","10","13"
"2","1","0","10","1","4","13"
"1","1","0","11","1","4","13"
"3","6","0","12","1","6","13"
"1","4","0","13","1","6","13"
"1","9","0","14","3","10","13"
"3","8","0","15","1","10","13"
"1","4","0","16","1","6","13"
"3","1","0","17","1","0","13"
"2","8","0","18","1","8","13"
"1","11","0","1","1","0","14"
"1","2","0","2","2","13","14"
"3","11","0","3","1","10","14"
"1","1","0","4","1","10","14"
"1","4","0","5","2","10","14"
"2","11","0","6","1","0","14"
"2","1","0","7","1","0","14"
