0ff1eaf724da78eb38fae8413641bcf4915de1ddb31ec7c19abc1b390380ba5c,c261df91687e89ad730d4bf041a3be4c44e3c1ff62ec8c8cf2edea0f7a62abcc,974737c589d963a0b068d45b37cba103879617a14a7b81b9506e36af4de30675,eb15bc028b81e1ee8f4ee611966a3b1d116538bcde922582e523ae84a68423f2,877a0d860647441def5469b1943ce843f708a3451e7e13ed60ff9bda436cdb84,0d51ffa7b482abed2b5a5f0f53694985babc47e60b23302573d7b2496bdbeedd,66c93d0e1514c7add64e54e4a0952602ca5ef8b1bbbf73a5dca6d34e09081d1a
"1","200","100","50","1004","150","250"
"2","320","160","80","1004","240","400"
"3","200","100","50","1004","150","250"
"5","200","100","50","1004","150","250"
"6","320","160","80","1004","240","400"
"12","2","1","1","1004","1","3"
"1","200","100","50","1005","150","250"
"3","200","100","50","1005","150","250"
"4","320","160","80","1005","240","400"
"5","200","100","50","1005","150","250"
"7","320","160","80","1005","240","400"
"13","2","1","1","1005","1","3"
"1","100","50","25","1010","75","125"
"2","160","80","40","1010","120","200"
"3","100","50","25","1010","75","125"
"5","100","50","25","1010","75","125"
"6","160","80","40","1010","120","200"
"1","100","50","25","1011","75","125"
"3","100","50","25","1011","75","125"
"4","160","80","40","1011","120","200"
"5","100","50","25","1011","75","125"
"7","160","80","40","1011","120","200"
"1","400","200","100","1006","300","500"
"2","200","100","50","1006","150","250"
"3","400","200","100","1006","300","500"
"5","400","200","100","1006","300","500"
"6","200","100","50","1006","150","250"
"12","2","1","1","1006","1","3"
"1","400","200","100","1007","300","500"
"3","400","200","100","1007","300","500"
"4","200","100","50","1007","150","250"
"5","400","200","100","1007","300","500"
"7","200","100","50","1007","150","250"
"13","2","1","1","1007","1","3"
"1","100","50","25","1008","75","125"
"2","160","80","40","1008","120","200"
"3","100","50","25","1008","75","125"
"5","100","50","25","1008","75","125"
"6","160","80","40","1008","120","200"
"14","2","1","1","1008","1","3"
"1","100","50","25","1009","75","125"
"3","100","50","25","1009","75","125"
"4","160","80","40","1009","120","200"
"5","100","50","25","1009","75","125"
"7","160","80","40","1009","120","200"
"14","2","1","1","1009","1","3"
"1","200","100","50","1012","150","250"
"2","320","160","80","1012","240","400"
"3","200","100","50","1012","150","250"
"5","200","100","50","1012","150","250"
"6","320","160","80","1012","240","400"
"12","4","2","1","1012","3","5"
"1","200","100","50","1013","150","250"
"3","200","100","50","1013","150","250"
"4","320","160","80","1013","240","400"
"5","200","100","50","1013","150","250"
"7","320","160","80","1013","240","400"
"13","4","2","1","1013","3","5"
"1","160","80","40","1014","120","200"
"2","100","50","25","1014","75","125"
"3","160","80","40","1014","120","200"
"5","160","80","40","1014","120","200"
"6","100","50","25","1014","75","125"
"1","160","80","40","1015","120","200"
"3","160","80","40","1015","120","200"
"4","100","50","25","1015","75","125"
"5","160","80","40","1015","120","200"
"7","100","50","25","1015","75","125"
