382f83fcc98e8e6a9c450abc9785287ae4b2d139cc3ea747f01513abc39ffaf0,c2eb09d0a23b5428d7f693b887f2be7304a43873685bd75999879b9da6eae37c,9f1b5359b15c9aeefb9b1b0bf1bd8326bbec67589f3f582a4551628174be9d95,cf1519d9a0893c63821739dcc60e0327a64b16aaaa80b8d27d5a2357063607da,01c2c2b613f9c227bed7ef80b898962579a695d6f736d4fbc5048fe784d25599,aaf11dec1767ec7ab55bfc46975a24b296540bf665f762a3142c04f2c7b66298,0f4a4dd6e6fdd683c17a605e09dee4236063dd16cae73e2f9fe8ab7c85372afe,257ac9df365fac3d0031e505497593fc113ecd13bb8696959f057eb95ee2aa59,78381a0f30fa5521d312be2e41740be0de951a683e198f79a83c4372af51c9af,e29128d6ca1a81a8ad6d761f242713d292f74e249cbe4162d469b3f53e7bd4f2,8f4837ab4557c7a541e83cac12bee32d69e6ddab6968dd722549569c64ebac08,5b2bb426ebc73079202700b3b009c7f4de4eb158ffc929e194c552a9252146b3
"3001","3001","3001","0","1","0","0","TP250アップ","2","バトル開始時、味方のＴＰが250アップ","-1","3"
"3002","3002","3002","0","1","0","0","TP250アップ","2","バトル開始時、味方のＴＰが250アップ","-1","3"
"3003","3003","3003","0","1","0","0","TP250アップ","2","バトル開始時、味方のＴＰが250アップ","-1","3"
"3004","3004","3004","0","1","0","0","TP250アップ","2","バトル開始時、味方のＴＰが250アップ","-1","3"
"3006","3006","3006","0","3","0","0","TP1000アップ","2","バトル開始時、味方のＴＰが1000アップ","-1","3"
"3007","3007","3007","0","3","0","0","TP1000アップ","2","バトル開始時、味方のＴＰが1000アップ","-1","3"
"30011","30011","3001","0","1","9006503","13125000000000","物理攻撃アップ90秒","3","バトル開始から90秒間、味方の物理攻撃力がアップ","25200","3"
"30012","30012","3001","0","1","9006504","9000000000000","物理防御ダウン90秒","3","バトル開始から90秒間、敵の物理防御力がダウン","72000","3"
"30021","30021","3002","0","1","9006506","9000000000000","毎秒ＨＰ回復90秒","3","バトル開始から90秒間、味方のＨＰが毎秒回復","39600","3"
"30022","30022","3002","0","1","9006507","4500000000000","毎秒ＴＰアップ90秒","3","バトル開始から90秒間、味方のＴＰが毎秒アップ","72000","3"
"30031","30031","3003","0","1","9006509","8700000000000","無敵15秒","3","バトル開始から15秒間、味方が無敵状態になる","43200","3"
"30032","30032","3003","0","1","9006510","6000000000000","魔法攻撃ダウン90秒","3","バトル開始から90秒間、敵の魔法攻撃力がダウン","72000","3"
"30041","30041","3004","0","1","9006512","12600000000000","スタン15秒","3","バトル開始から15秒間、敵がスタン状態になる","32400","3"
"30042","30042","3004","0","1","9006513","9000000000000","物理防御ダウン90秒","3","バトル開始から90秒間、敵の物理防御力がダウン","43200","3"
"30051","30051","3005","0","2","9006516","38280000000000","魔法攻撃アップ90秒","3","バトル開始から90秒間、味方の魔法攻撃力がアップ","43200","3"
"30061","30061","3006","0","3","9006519","26250000000000","毎秒ＴＰアップ90秒","3","バトル開始から90秒間、味方のＴＰが毎秒アップ","21600","3"
"30062","30062","3006","0","3","9006520","15000000000000","魔法防御ダウン90秒","3","バトル開始から90秒間、敵の魔法防御力がダウン","43200","3"
"30071","30071","3007","0","3","9006522","31500000000000","物理攻撃アップ90秒","3","バトル開始から90秒間、味方の物理攻撃力がアップ","43200","3"
"30072","30072","3007","0","3","9006523","9000000000000","無敵15秒","3","バトル開始から15秒間、味方が無敵状態になる","64800","3"
"300101","300101","3001","36000","1","0","14550000000000","物理攻撃ダウン90秒","1","バトル開始から90秒間、敵の物理攻撃力がダウン","-1","3"
"300102","300102","3001","36000","1","0","13950000000000","物理攻撃ダウン90秒","1","バトル開始から90秒間、敵の物理攻撃力がダウン","-1","3"
"300103","300103","3001","36000","1","0","13500000000000","物理防御ダウン90秒","1","バトル開始から90秒間、敵の物理防御力がダウン","-1","3"
"300104","300104","3001","36000","1","0","13050000000000","物理攻撃ダウン90秒","1","バトル開始から90秒間、敵の物理攻撃力がダウン","-1","3"
"300105","300105","3001","36000","1","0","12600000000000","物理防御ダウン90秒","1","バトル開始から90秒間、敵の物理防御力がダウン","-1","3"
"300106","300106","3001","36000","1","0","11550000000000","魔法防御ダウン90秒","1","バトル開始から90秒間、敵の魔法防御力がダウン","-1","3"
"300107","300107","3001","36000","1","0","11100000000000","物理防御ダウン90秒","1","バトル開始から90秒間、敵の物理防御力がダウン","-1","3"
"300108","300108","3001","36000","1","0","10650000000000","魔法防御ダウン90秒","1","バトル開始から90秒間、敵の魔法防御力がダウン","-1","3"
"300109","300109","3001","36000","1","0","10050000000000","毎秒ＨＰ回復90秒","1","バトル開始から90秒間、味方のＨＰが毎秒回復","-1","3"
"300110","300110","3001","36000","1","0","9600000000000","物理攻撃ダウン90秒","1","バトル開始から90秒間、敵の物理攻撃力がダウン","-1","3"
"300111","300111","3001","36000","1","0","9000000000000","物理攻撃ダウン90秒","1","バトル開始から90秒間、敵の物理攻撃力がダウン","-1","3"
"300112","300112","3001","36000","1","0","8550000000000","物理防御ダウン90秒","1","バトル開始から90秒間、敵の物理防御力がダウン","-1","3"
"300113","300113","3001","36000","1","0","8100000000000","物理攻撃ダウン90秒","1","バトル開始から90秒間、敵の物理攻撃力がダウン","-1","3"
"300114","300114","3001","36000","1","0","7050000000000","物理防御ダウン90秒","1","バトル開始から90秒間、敵の物理防御力がダウン","-1","3"
"300115","300115","3001","36000","1","0","6600000000000","魔法防御ダウン90秒","1","バトル開始から90秒間、敵の魔法防御力がダウン","-1","3"
"300116","300116","3001","36000","1","0","6150000000000","物理防御ダウン90秒","1","バトル開始から90秒間、敵の物理防御力がダウン","-1","3"
"300117","300117","3001","36000","1","0","5550000000000","魔法防御ダウン90秒","1","バトル開始から90秒間、敵の魔法防御力がダウン","-1","3"
"300118","300118","3001","36000","1","0","5100000000000","毎秒ＨＰ回復90秒","1","バトル開始から90秒間、味方のＨＰが毎秒回復","-1","3"
"300119","300119","3001","36000","1","0","4650000000000","物理攻撃ダウン90秒","1","バトル開始から90秒間、敵の物理攻撃力がダウン","-1","3"
"300120","300120","3001","36000","1","0","4050000000000","物理攻撃ダウン90秒","1","バトル開始から90秒間、敵の物理攻撃力がダウン","-1","3"
"300121","300121","3001","36000","1","0","3600000000000","物理防御ダウン90秒","1","バトル開始から90秒間、敵の物理防御力がダウン","-1","3"
"300122","300122","3001","36000","1","0","3150000000000","物理攻撃ダウン90秒","1","バトル開始から90秒間、敵の物理攻撃力がダウン","-1","3"
"300123","300123","3001","36000","1","0","2700000000000","物理防御ダウン90秒","1","バトル開始から90秒間、敵の物理防御力がダウン","-1","3"
"300124","300124","3001","36000","1","0","2100000000000","TP150アップ","1","バトル開始時、味方のＴＰが150アップ","-1","3"
"300125","300125","3001","36000","1","0","1650000000000","無敵15秒","1","バトル開始から15秒間、味方が無敵状態になる","-1","3"
"300126","300126","3001","36000","1","0","1200000000000","物理攻撃ダウン90秒","1","バトル開始から90秒間、敵の物理攻撃力がダウン","-1","3"
"300127","300127","3001","36000","1","0","600000000000","物理防御ダウン90秒","1","バトル開始から90秒間、敵の物理防御力がダウン","-1","3"
"300128","300128","3001","36000","1","0","150000000000","魔法防御ダウン90秒","1","バトル開始から90秒間、敵の魔法防御力がダウン","-1","3"
"300201","300201","3002","36000","1","0","17460000000000","魔法攻撃ダウン90秒","1","バトル開始から90秒間、敵の魔法攻撃力がダウン","-1","3"
"300202","300202","3002","36000","1","0","16740000000000","魔法攻撃ダウン90秒","1","バトル開始から90秒間、敵の魔法攻撃力がダウン","-1","3"
