4b69456b90e9879b5dc945667326967838cc885a42e297cb55051a758de6af75,3fdcd4779d20fd8e8ddbec6b14e64615a2504f835a6de51fca7c5202570a78ad,1e4be40ea36ed33d8c608d83d6484926370de99669671582360f8d402a246709,389f73f2003bce706f8b53de496a9f598d602be64b521ddebe849cf8324897d2,bc3b79d102036cce888fe148db5aa99c66bdead2a5ce08a7380aa693b73a289d,34aab9cdeb25066d197a80b9ea44a205d17ba9bc7cec81ec48f12f6e35244bde,9b7df2b0cb2a7796759b8e1fcc7a00b1a0c2efee858ad1530fa3c92d0df36b77,8b7b60e81b6cb40743edf2a80e2145b4b89c36120f62a7e69d60a66c4211afb8,4e9a0258d8b7d0c2382f901afda131c273684bf078db53cf6a1875ca9f46318c,7b88d8ab2b2e38e6d66f46f51427db4cc37d6587d82240d06c68cbacfe5363a2,11a6f1a682148177ee1ee8a7414c5de856837b0101a780f5c37e808121d70cec,852743854fb1a0fecb0b0e9c40cbd4a89bc2dc44fe4a50c5c3c35ffd535b7d23,2bdc47324473086e01d3c168da7fb87c819072a06dede0ae2178fb8af25d2264
"A2001197329/","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-01/1361481742?app=itunes","1","","ろすとぷりんせす","-1","","1","","2018-10-18 15:00:00","20","Lost Princess","-1"
"A2001197334/","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-02/1361483195?app=itunes","2","","こねくてぃんぐはっぴー","-1","","2","","2018-10-18 15:00:00","17","Connecting Happy！！","-1"
"","","3","","たびのはじまり","-1","","3","","2018-10-18 15:00:00","20","旅の始まり","1000"
"","","4","","もりをかけるかぜ","-1","","4","","2018-10-18 15:00:00","20","森を駆ける風","1000"
"","","5","","めさるてぃむ","-1","","5","","2018-10-18 15:00:00","20","メサルティム","1000"
"","","6","","はつねのぷれぜんとだいさくせん","-1","","6","","2018-10-18 15:00:00","20","ハツネのプレゼント大作戦","1000"
"","","7","","じず","-1","","7","","2018-10-18 15:00:00","20","ジズ","1000"
"A2001305115/","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-04/1411112401?app=itunes","8","","すまいりーこんとらすと","-1","","8","","2018-10-18 15:00:00","20","Smiley Contrast","1500"
"","","9","","みのたうろす","-1","","9","","2018-10-18 15:00:00","20","ミノタウロス","1000"
"","","10","","りとるりりかるあどべんちゃーず","-1","","10","","2018-10-18 15:00:00","20","リトル・リリカル・アドベンチャーズ","1000"
"","","11","","あるま","-1","","11","","2018-10-18 15:00:00","20","アルマ","1000"
"A2001336697/","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-05/1436280052?app=itunes","12","","りとるあどべんちゃー","-1","","12","","2018-10-18 15:00:00","18","リトルアドベンチャー","1500"
"","","13","","ぐらっとん","-1","","13","","2018-10-18 15:00:00","20","グラットン","1000"
"","","14","","とりっくおあぷりんやくそくのはろうぃんぱーてぃー","-1","","14","","2018-10-18 15:00:00","20","トリックオアプリン！約束のハロウィンパーティー","1000"
"","","15","","じゃっくおーぷりん","-1","","15","","2018-10-18 15:00:00","17","ジャック・オー・プリン","1000"
"A2001411119/","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-07/1450772144?app=itunes","16","","もっとふたりのぱーてぃーないと","-1","","16","","2018-10-18 15:00:00","20","もっと！ふたりのパ～ティ～ナイト","1500"
"","","17","","かがようこおりのけっしょう","-1","","17","","2018-10-18 15:00:00","20","耀う氷の結晶","1000"
"A2001253711/","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-03/1386518679?app=itunes","18","","しゃいにんぐふゅーちゃー","3010003","","18","","2018-11-19 15:00:00","20","Shining Future","1500"
"A2001253711/","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-03/1386518679?app=itunes","19","","かぜへのちかい","3010003","","19","","2018-11-19 15:00:00","20","風への誓い","1500"
"A2001305115/","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-04/1411112401?app=itunes","20","","きみのえがおがみたいから","3010003","","20","","2018-11-19 15:00:00","18","君の笑顔が見たいから","1500"
"A2001336697/","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-05/1436280052?app=itunes","21","","あまのじゃくはーと","1054007","","21","","2018-11-19 15:00:00","18","アマノジャクハート！","1500"
"","","22","","ふおんなくうきとたちむかうとうし","-1","","22","","2018-11-19 15:00:00","20","不穏な空気と立ち向かう闘志","1000"
"","","23","","ついんぴっぐす","-1","","23","","2018-11-19 15:00:00","20","ツインピッグス","1000"
"","","24","","ヴぁんぱいあはんたーうぃずいりや","-1","","24","","2018-11-19 15:00:00","20","ヴァンパイアハンターwithイリヤ","1000"
"","","25","","がるぐ","-1","","25","","2018-11-19 15:00:00","20","ガルグ","1000"
"A2001552686/","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-09/1474199447?app=itunes","26","","ぴーすふるちゃんぷるー","-1","","26","","2018-11-19 15:00:00","20","Peaceful*ちゃんぷるー","1500"
"","","27","","れさとぱると","-1","","27","","2018-11-19 15:00:00","20","レサトパルト","1000"
"","","28","","とわいらいとぶれいかーず","-1","","28","","2018-11-19 15:00:00","20","トワイライトブレイカーズ","1000"
"","","29","","おらむ","-1","","29","","2018-11-19 15:00:00","20","オラム","1000"
"A2001502066/","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-08/1465192235?app=itunes","30","","さいつよでしょでしょ","-1","","30","","2018-11-19 15:00:00","20","サイツヨでしょ、でしょ？","1500"
"","","31","","ひょうかいのち","-1","","31","","2018-11-19 15:00:00","20","氷海の地","1000"
"","","32","","こおりとゆきのせかい","-1","","32","","2018-12-19 15:00:00","20","氷と雪の世界","1000"
"","","33","","さわやかなかぜ","-1","","33","","2018-12-19 15:00:00","20","爽やかな風","1000"
"","","34","","かるきのす","-1","","34","","2018-12-19 15:00:00","20","カルキノス","1000"
"","","35","","でんじゃらすばかんすなぎさのぐるめぷりんせす","-1","","35","","2018-12-19 15:00:00","20","デンジャラスバカンス！渚のグルメプリンセス","1000"
"","","36","","てんたぱす","-1","","36","","2018-12-19 15:00:00","20","テンタパス","1000"
"A2001197334/","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-02/1361483195?app=itunes","37","","えがおのまいほーむ","-1","","37","","2018-12-19 15:00:00","20","えがおのマイホーム","1500"
"","","38","","さじたりうす","-1","","38","","2018-12-19 15:00:00","20","サジタリウス","1000"
"","","39","","ぼうきゃくのきゃろる","-1","","39","","2018-12-19 15:00:00","20","忘却のキャロル","1000"
"","","40","","ふぉぎー","-1","","40","","2018-12-19 15:00:00","20","フォギー","1000"
"A2001411119/","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-07/1450772144?app=itunes","41","","でぃんどんほーりーないと","-1","","41","","2018-12-19 15:00:00","20","Ding Dong Holy Night♪","1500"
"","","42","","けわしきかんこうげん","-1","","42","","2019-01-18 15:00:00","20","険しき乾荒原","1000"
"","","43","","おるれおん","-1","","43","","2019-01-18 15:00:00","20","オルレオン","1000"
"","","44","","たまきとみふゆのむじんとうぜろるぴせいかつ","-1","","44","","2019-01-18 15:00:00","20","タマキとミフユの無人島0ルピ生活","1000"
"","","45","","しまくじら","-1","","45","","2019-01-18 15:00:00","20","島クジラ","1000"
"A2001372582/","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-06/1444266694?app=itunes","46","","きんきらはぴねす","-1","","46","","2019-01-18 15:00:00","18","キンキラ☆ハピネス！","1500"
"","","47","","あらたなふなで","-1","","47","","2019-01-18 15:00:00","20","新たな船出","1000"
"","","48","","あるげてぃ","-1","","48","","2019-01-18 15:00:00","20","アルゲティ","1000"
"","","49","","しんしゅんとぅいんくるくらいしす","-1","","49","","2019-01-18 15:00:00","20","新春トゥインクルクライシス！","1000"
"","","50","","じゃへいしんがみぃ","-1","","50","","2019-01-18 15:00:00","20","邪餅神ガミィ","1000"
