e3cb6b07279427cbe39466dd9c08adaed8c4a6ba4c840eb6ec439f86f7acde31,4251001fa6beae279ed209b1ee9f7710608c54256c1c6b7c104f73d8d834bde8,42cc51442fca26ab1d6c20d9a45e7ab673b2379dd03cba37cd109844000f1175,6353c407776191a147bdd427555d4a56f114ccf2dc9b9b625fbcd564722632a4,09d8c69fb08c36b1e04a76ca0995b54be357d0cbb4053af7d063b0cf4b8e565b,ae3f9fcfbbb7b289e80765869f76771fea4502048f7739349ea73b73011270cb,0c8103c7bb92f42904ea3e7f6091e62d4cba0a871b8c182746c351c209478510,d1de2da8662bbb54d81a08b5f7b3789390b37f42cf0e98519bd904a5c9553bed,edcd44684ba7a05a57c0458e26a7bbe582495d2b4ab2a5a91167378075a2ed0a,040b2a59e0e8aab7c74b3e04065ec506b774160d7ca0c72be7131be03d6784fe,4640f0e1450adeae390dae21bc152cc7096504f8bbe7e8adab8d0538833c73d5,b844c4e085ca3ae504d2cb62f2e96ceb1fd7474f606bbd17b75b1c0bb2067088,d4e8ede36b9d6ce2f46ffa0ceeb825ddf5e5575e6cb3ce8f5cb8259309fa1744,f9ff90bd50c31d83df9152a6b5fca08da8ecdc543ad021696eef7f1a2eddbd42,9240f8e73ec3f637b89b9eabac3bba67e9913f9a9d8538bd638ef8ec5040f2fb,6c606d082774384ef5f3af03bc00f9ad2b25e5795ebf2053f9eece014e8463f1,1b03a635565d898caed70fe654e619603930d28e2c3406e1cc2e75a349586697,a8c1dff5f1a3b8f31ea1af03ba9e232c5e1e989dfa2ff2a8b19bc30f75b65244
"-200","0.95","26202","0","-100","90013","0","-250","99011","102271","102271","-100","bgm_M299","76010001","bgm_M299","覇瞳皇帝の領域1層","0","0.85"
"-200","0.95","26202","0","-100","90013","0","-250","99011","102271","102271","-100","bgm_M299","76010002","bgm_M299","覇瞳皇帝の領域2層","0","0.85"
"-200","0.95","26202","0","-100","90013","0","-250","99011","102271","102271","-100","bgm_M299","76010003","bgm_M299","覇瞳皇帝の領域3層","0","0.85"
"-200","0.95","26202","0","-100","90013","0","-250","99011","102271","102271","-100","bgm_M299","76010004","bgm_M299","覇瞳皇帝の領域4層","0","0.85"
"-200","0.95","26202","0","-100","90013","0","-250","99011","102271","102271","-100","bgm_M299","76010005","bgm_M299","覇瞳皇帝の領域5層","0","0.85"
"0","1.3","26202","0","0","90013","0","0","99011","102891","102891","-100","bgm_M506","76020001","bgm_M506","ゼーンの領域1層","0","1.2"
"0","1.3","26202","0","0","90013","0","0","99011","102891","102891","-100","bgm_M506","76020002","bgm_M506","ゼーンの領域2層","0","1.2"
"0","1.3","26202","0","0","90013","0","0","99011","102891","102891","-100","bgm_M506","76020003","bgm_M506","ゼーンの領域3層","0","1.2"
"0","1.3","26202","0","0","90013","0","0","99011","102891","102891","-100","bgm_M506","76020004","bgm_M506","ゼーンの領域4層","0","1.2"
"0","1.3","26202","0","0","90013","0","0","99011","102891","102891","-100","bgm_M506","76020005","bgm_M506","ゼーンの領域5層","0","1.2"
