5b86579941069af340875c2a816b590f52afa33727dd7bccafa77108ecf32211,70da31cf7f990d03f38ef42e052bc7765e1a22bdf2ea2c53835ae117cd813b01,4d2d12ad4917d3dbec41055db692af183b7dc32f20b5c8bf7228d6a50d7ec1a8,13a0bf0318bf388f9ce47c30b4e3500c3e5b908c3b859993013bd9fc70d43b55
"2500","1","1","1"
"2000","2","1","2"
"2000","107","1","3"
"2000","4","1","4"
"1000","3","1","5"
"1000","110","1","6"
"1000","5","1","7"
"2000","6","1","8"
"2000","105","1","9"
"2000","7","1","10"
"0","1000","3","11"
"20","100","1","12"
"1000","108","1","13"
"20","101","1","14"
"5","102","1","15"
"1000","109","1","16"
"5","103","1","17"
"500","1","1","18"
"0","2000","2","19"
"500","1","1","20"
"0","25","5","21"
"3000","2","1","22"
"3000","107","1","23"
"3000","4","1","24"
"1500","3","1","25"
"1500","110","1","26"
"1500","5","1","27"
"3000","6","1","28"
"3000","105","1","29"
"3000","7","1","30"
"0","1","6","31"
"30","100","1","32"
"1500","108","1","33"
"30","101","1","34"
"10","102","1","35"
"1500","109","1","36"
"10","103","1","37"
"500","1","1","38"
"0","3000","2","39"
"500","1","1","40"
"0","50","4","41"
