790c6473ba46ac6dc16ec77f79b6e9c026c4b94e0bc9b7aa34e2a8dd6829f7ef,f2bf904b9706e0110415e9b4cbc8ddeff9c7fd23b66e4b4e61e31b2097e84b8b,ead39b4f72aacca3d371b951dbf0737aa750665bcf65919bb4f81adcf80f9026,c0c14c14005f702bc5bc4de268d7e7ff4aab60924c61b84dc574850450263e05,f9d4569945cc52049ae4e8b0d3590d149c450f99e73cb1c8d86898e46a16783d,f66012df86d0bae90ff15470b26ce0e20332a9b595813d6e48b384f9e3e74b1c,22af5bb22a82880b27ddfcfc3493d3e5a6cd23dc271decfe79d0980da6ec18c0
"0.8","0.8","-10","31001","0","300900","100721"
"0.7","0.7","-40","31002","0","302300","100722"
"0.8","0.8","-40","31003","0","302400","100261"
"0.9","0.9","-20","31004","0","302500","100283"
"0.9","0.9","-10","31005","0","301700","101611"
"0.7","0.7","-40","31006","0","310100","102174"
"0.3","0.3","-60","31007","-80","399800","102751"
"0.9","0.9","20","31008","-20","314901","103001"
"0.7","0.7","-110","31009","30","318405","103232"
"1","1","-10","31010","0","320100","103371"
