a7eb3bd6ab5557ef06362d66eb47b5dc1fc20a3d792208f166531768963c245e,a4f2a7bdf7a7486934a8f123764bb16fd0edc327febad7d5e8c982166b04a0b2,5c38025dcb9eddf3756d0e966465abad0c74b034ae2fc3a84bf450b378d359d3,87d1deef289eb9353900331d64cddaf4411ebb14d079dda7b49d2e7312468e1c,095b1edf925d468256d95130faec7af2f23570f4b44cb12e194ce68edabfcb89,526c9f7a3ba5f0cfd6442b16f2c85d0f970ca0968370bbf609f220bdfd0de016,58cf7db22e76364962b5421d8ba3b8afcce6225fd5fbfa33d86407962e7eab6c,57f4dea84f0d2a391656128848281e232ffbfa124be89d4390cc8ffb5e5e96dc,e6871389e706350bee0ed4eb43119450c20ee1ca931e4b73798d93fa983b9316
"唯一無二の","2","0","1","3","1","1","1","1"
"完全無欠の","2","0","1","3","1","1","2","1"
"ランドソル最速の","2","1","1","3","1","1","3","1"
"明鏡止水の","2","0","1","3","1","1","4","1"
"史上最速の","2","0","1","3","1","1","5","1"
"最強最速の","2","0","1","3","1","1","6","1"
"アルティメット","2","2","1","3","1","1","7","1"
"百点満点","2","0","1","3","1","1","8","1"
"最優秀","2","0","1","3","1","1","9","1"
"一騎当千の","2","0","1","3","1","1","10","1"
"唯一無二の","2","0","1","3","1","1","11","1"
"天下無双の","2","0","1","3","1","1","12","1"
"泰然自若の","2","0","1","3","1","0","13","1"
"ハイパー","2","0","1","3","1","0","14","1"
"光速の","2","0","1","3","1","0","15","1"
"稀代の","2","0","1","3","1","0","16","1"
"極限の","2","0","1","3","1","0","17","1"
"至高の","2","0","1","3","1","0","18","1"
"煌めく","2","0","1","3","1","0","19","1"
"百戦錬磨の","2","0","1","3","1","0","20","1"
"疾風迅雷の","2","0","1","3","1","0","21","1"
"電光石火の","2","0","1","3","1","0","22","1"
"変幻自在の","2","0","1","3","1","1","23","0"
"空前絶後の","2","0","1","3","1","1","24","0"
"レペゼン","2","0","1","3","1","1","25","0"
"音速の","2","0","1","3","1","1","26","0"
"常識外れの","2","0","1","3","1","1","27","0"
"獅子奮迅の","2","0","1","3","1","1","28","0"
"勇猛果敢なる","2","2","1","3","1","1","29","0"
"威風堂々たる","2","2","1","3","1","1","30","0"
"急がば回れ","2","0","1","3","1","1","31","0"
"心頭滅却","2","0","1","3","1","1","32","0"
"夢見る","2","0","1","3","1","0","33","0"
"ナイス","2","0","1","3","1","0","34","0"
"そこそこの","2","0","1","3","1","0","35","0"
"若葉マークの","2","2","1","3","1","0","36","0"
"未来ある","2","0","1","3","1","0","37","0"
"新米","2","0","1","3","1","0","38","0"
"駆け出しの","2","0","1","3","1","0","39","0"
"ぼちぼちの","2","0","1","3","1","0","40","0"
"新進気鋭の","2","0","1","3","1","0","41","0"
"不撓不屈の","2","0","1","3","1","0","42","0"
"七転八起の","2","0","1","3","1","0","43","0"
"がんばれ","2","0","1","3","1","0","44","0"
"選ばれし","2","0","2","3","1","1","45","1"
"アルティメット","2","2","2","3","1","1","46","1"
"オーシャンブルー","2","1","2","3","1","1","47","1"
"海に愛された","2","2","2","3","1","1","48","1"
"大海を統べる","2","2","2","3","1","1","49","1"
"伝説の","2","0","2","3","1","1","50","1"
"世界を揺るがす","2","2","2","3","1","1","51","1"
"スーパーワイルド","2","1","2","3","1","1","52","1"
"神がかった","2","0","2","3","1","1","53","1"
"ぶっちぎりの","2","2","2","3","1","1","54","1"
"誰にも止められない","2","1","2","3","1","0","55","1"
"血湧き肉躍る","2","2","2","3","1","0","56","1"
"メガ","2","0","2","3","1","0","57","1"
"ナチュラルボーン","2","1","2","3","1","0","58","1"
"大海原の","2","0","2","3","1","0","59","1"
"アドレナリン全開の","2","1","2","3","1","0","60","1"
"オーマ産の","2","0","2","3","1","0","61","1"
"手練れの","2","0","2","3","1","0","62","1"
"歴戦の","2","0","2","3","1","0","63","1"
"水を得た","2","0","2","3","1","0","64","1"
"ド級の","2","0","2","3","1","0","65","1"
"ただ者ではない","2","2","2","3","1","1","66","0"
"勇猛なる","2","0","2","3","1","1","67","0"
"ひた走る","2","0","2","3","1","1","68","0"
"目にも留まらぬ","2","2","2","3","1","1","69","0"
"荒波の","2","0","2","3","1","1","70","0"
"レイジオブ","2","0","2","3","1","1","71","0"
"負けず嫌いの","2","2","2","3","1","1","72","0"
"伸び盛りの","2","0","2","3","1","1","73","0"
"型破りの","2","0","2","3","1","1","74","0"
"暴れる","2","0","2","3","1","1","75","0"
"荒れくるう","2","0","2","3","1","1","76","0"
"うわさの","2","0","2","3","1","0","77","0"
"ビーチサイドの","2","2","2","3","1","0","78","0"
"元気はつらつ","2","2","2","3","1","0","79","0"
"常夏を駆ける","2","2","2","3","1","0","80","0"
"マッスル","2","0","2","3","1","0","81","0"
"金波銀波の","2","0","2","3","1","0","82","0"
"生まれながらの","2","2","2","3","1","0","83","0"
"お騒がせの","2","0","2","3","1","0","84","0"
"未知数の","2","0","2","3","1","0","85","0"
"激ヤバ","2","0","2","3","1","0","86","0"
"負けるな","2","0","2","3","1","0","87","0"
"ライトスピード","2","2","3","3","1","1","88","1"
"プロフェッショナル","2","1","3","3","1","1","89","1"
"トップオブ","2","0","3","3","1","1","90","1"
"ゴールドメダル","2","2","3","3","1","1","91","1"
"アルティメット","2","2","3","3","1","1","92","1"
"ザ・ベスト","2","0","3","3","1","1","93","1"
"パーフェクト","2","2","3","3","1","1","94","1"
"100年に1人の","2","1","3","3","1","1","95","1"
"レジェンダリー","2","2","3","3","1","1","96","1"
"超一流の","2","0","3","3","1","1","97","1"
"世界の","2","0","3","3","1","1","98","1"
"選ばれし","2","0","3","3","1","1","99","1"
"アスレチック","2","2","3","3","1","0","100","1"
"偉大なる","2","0","3","3","1","0","101","1"
"スーパーソニック","2","1","3","3","1","0","102","1"
"ウルトラ","2","0","3","3","1","0","103","1"
"MVPの","2","0","3","3","1","0","104","1"
"ジェネラル","2","0","3","3","1","0","105","1"
"オールラウンド","2","2","3","3","1","0","106","1"
"シルバーメダル","2","2","3","3","1","0","107","1"
"聖なる","2","0","3","3","1","0","108","1"
"エクセレント","2","2","3","3","1","0","109","1"
"一流の","2","0","3","3","1","0","110","1"
"マーベラス","2","0","3","3","1","0","111","1"
"スーパー","2","0","3","3","1","1","112","0"
"フライング","2","0","3","3","1","1","113","0"
"グレート","2","0","3","3","1","1","114","0"
"アンストッパブル","2","1","3","3","1","1","115","0"
"カリスマ","2","0","3","3","1","1","116","0"
"万能","2","0","3","3","1","1","117","0"
"新世代の","2","0","3","3","1","1","118","0"
"栄えある","2","0","3","3","1","1","119","0"
"異彩を放つ","2","0","3","3","1","1","120","0"
"いぶし銀の","2","0","3","3","1","1","121","0"
"天下の","2","0","3","3","1","1","122","0"
"レッツゴー","2","0","3","3","1","0","123","0"
"グッド","2","0","3","3","1","0","124","0"
"ホップ・ステップ・","2","1","3","3","1","0","125","0"
"伸びしろのある","2","2","3","3","1","0","126","0"
"ブロンズメダル","2","2","3","3","1","0","127","0"
"期待の","2","0","3","3","1","0","128","0"
"ジャンピング","2","2","3","3","1","0","129","0"
"新時代の","2","0","3","3","1","0","130","0"
"知る人ぞ知る","2","2","3","3","1","0","131","0"
