684fa81f3a9aba7292283a19e0c2539d41a7399d38edf2522f9161a3a405510f,1d5027605bf3ddbcb63cb3eefa813d7aad4184bc8fa61a554bdb4b043f33ee1c,698f00abbacd1fa394aeaed909cdd04a3dd0822b24365fa5e4903d64d97f14cc,c1da8f51e930da1bf7f2b7223c58bc9ab846659bc3f2d39b3b524cff7c510579,363b9131f4b7ab179cef0c4d7a30798a857ec8fae4c03443e7dc6744a5434b66
"12","94002","3000000","100101","1"
"2","20004","300","100101","2"
"2","90008","1000","100102","3"
"2","25001","6","100103","4"
"12","94002","1000000","100104","5"
"2","20004","300","100104","6"
"2","90008","1000","100105","7"
"2","25001","6","100106","8"
"8","91002","40","100107","9"
"12","94002","1000000","100107","10"
"2","20004","300","100107","11"
"2","90008","1000","100108","12"
"2","41000","1","100109","13"
"2","25001","7","100109","14"
"12","94002","1000000","100110","15"
"2","20004","400","100110","16"
"2","90008","1500","100111","17"
"8","91002","40","100112","18"
"2","25001","7","100112","19"
"12","94002","1000000","100113","20"
"2","20004","400","100113","21"
"2","90008","1500","100114","22"
"2","41000","1","100115","23"
"2","25001","7","100115","24"
"12","94002","1000000","100116","25"
"2","20004","500","100116","26"
"8","91002","40","100117","27"
"2","90008","1500","100117","28"
"12","94002","2000000","100118","29"
"2","25001","8","100118","30"
"2","90008","2000","100118","31"
"12","94002","3000000","100201","32"
"2","20004","300","100201","33"
"2","90008","1000","100202","34"
"2","25001","12","100203","35"
"12","94002","1000000","100204","36"
"2","20004","300","100204","37"
"2","90008","1000","100205","38"
"2","25001","10","100206","39"
"8","91002","40","100207","40"
"12","94002","1000000","100207","41"
"2","20004","300","100207","42"
"2","90008","1000","100208","43"
"2","41000","1","100209","44"
"2","25001","10","100209","45"
"12","94002","1000000","100210","46"
"2","20004","400","100210","47"
"2","90008","1500","100211","48"
"8","91002","40","100212","49"
"2","25001","9","100212","50"
"12","94002","1000000","100213","51"
"2","20004","400","100213","52"
"2","90008","1500","100214","53"
"2","41000","1","100215","54"
"12","94002","1000000","100216","55"
"2","20004","500","100216","56"
"8","91002","40","100217","57"
"2","90008","1500","100217","58"
"12","94002","2000000","100218","59"
"2","90008","2000","100218","60"
"12","94002","3000000","100301","61"
"2","20004","300","100301","62"
"2","90008","1000","100302","63"
"2","25001","12","100303","64"
"12","94002","1000000","100304","65"
"2","20004","300","100304","66"
"2","90008","1000","100305","67"
"2","25001","10","100306","68"
"8","91002","40","100307","69"
"12","94002","1000000","100307","70"
"2","20004","300","100307","71"
"2","90008","1000","100308","72"
"2","41000","1","100309","73"
"2","25001","10","100309","74"
"12","94002","1000000","100310","75"
"2","20004","400","100310","76"
"2","90008","1500","100311","77"
"8","91002","40","100312","78"
"2","25001","9","100312","79"
"12","94002","1000000","100313","80"
"2","20004","400","100313","81"
"2","90008","1500","100314","82"
"2","41000","1","100315","83"
"12","94002","1000000","100316","84"
"2","20004","500","100316","85"
"8","91002","40","100317","86"
"2","90008","1500","100317","87"
"12","94002","2000000","100318","88"
"2","90008","2000","100318","89"
"12","94002","3000000","100401","90"
"2","20004","300","100401","91"
"2","90008","1000","100402","92"
"2","25001","12","100403","93"
"12","94002","1000000","100404","94"
"2","20004","300","100404","95"
