3c620f446f4f955a3c293150793c13fb9dd74b447903e89bfa9cc81b34a7ce91,bea7514fb70f119af54d74264f29927f1d0f7d9a6dd6c64d84989fec74c7d835,b2007c16a619e23fc5e6b3384e7a07d41357d97cd8494187e73d379cb60d9e26,3f921fe719ff3b8f98c1b0ad37b16f2d5a431086a212c414100d265847742644,e1d0656743030700bd444eeec1669d827244ed4071e30aff8c12b8508dff4a82,dab6d6a6f6fbc428bbe9d7ed3c443f74bdc9193ca07c3a685a035727a711a34b,d3ffca7e048a9ab66c25ed9daf565107cdcb5f19eefe7b7b4965f8e5af584a60,e7ed4a23778cc1fb82c9f8e2b6f146f962c8586ac11cf4377439c23cb050b60c,6f556acc23db8178c1eae68368951221c0610e5420cbbef6f4a23bbe8ffd1793,b1eb66833d5fc1a048b49629fbc6d5c3644a767823e8b366a85b3c4ce834781b,d4ab46a9a3640f95fa82cdb35b45eb672e825f10e127aef1594f67e78dc2f5b4
"10","2","2","25021","31","8","8","284001001","25014","91002","1"
"10","2","2","25021","31","8","8","284001002","25014","91002","2"
"10","2","2","25021","32","8","8","284001003","25014","91002","3"
"10","2","2","25021","32","8","8","284001004","25014","91002","4"
"10","2","2","25021","33","8","8","284001005","25014","91002","5"
"10","2","2","25021","33","9","8","284001006","25014","91002","6"
"10","2","2","25021","34","9","8","284001007","25014","91002","7"
"10","2","2","25021","35","9","8","284001008","25014","91002","8"
"10","2","2","25021","35","9","8","284001009","25014","91002","9"
"30","2","2","25021","37","10","8","284001010","25014","91002","10"
"10","2","2","25021","41","10","8","284001011","25014","91002","11"
"10","2","2","25021","43","11","8","284001012","25014","91002","12"
"10","2","2","25021","46","11","8","284001013","25014","91002","13"
"10","2","2","25021","48","12","8","284001014","25014","91002","14"
"10","2","2","25021","50","12","8","284001015","25014","91002","15"
"10","2","2","25021","53","13","8","284001016","25014","91002","16"
"10","2","2","25021","55","14","8","284001017","25014","91002","17"
"10","2","2","25021","58","14","8","284001018","25014","91002","18"
"10","2","2","25021","60","15","8","284001019","25014","91002","19"
"30","2","2","25021","62","15","8","284001020","25014","91002","20"
"10","2","2","25021","68","16","8","284001021","25014","91002","21"
"10","2","2","25021","70","16","8","284001022","25014","91002","22"
"10","2","2","25021","72","16","8","284001023","25014","91002","23"
"10","2","2","25021","75","17","8","284001024","25014","91002","24"
"10","2","2","25021","77","18","8","284001025","25014","91002","25"
"10","2","2","25021","79","18","8","284001026","25014","91002","26"
"10","2","2","25021","82","19","8","284001027","25014","91002","27"
"10","2","2","25021","84","19","8","284001028","25014","91002","28"
"10","2","2","25021","86","19","8","284001029","25014","91002","29"
"30","2","2","25021","89","20","8","284001030","25014","91002","30"
"10","2","2","25021","94","20","8","284001031","25014","91002","31"
"10","2","2","25021","96","21","8","284001032","25014","91002","32"
"10","2","2","25021","99","21","8","284001033","25014","91002","33"
"10","2","2","25021","101","22","8","284001034","25014","91002","34"
"10","2","2","25021","103","22","8","284001035","25014","91002","35"
"10","2","2","25021","106","23","8","284001036","25014","91002","36"
"10","2","2","25021","108","23","8","284001037","25014","91002","37"
"10","2","2","25021","111","24","8","284001038","25014","91002","38"
"10","2","2","25021","113","25","8","284001039","25014","91002","39"
"30","2","2","25021","115","25","8","284001040","25014","91002","40"
"10","2","2","25021","121","26","8","284001041","25014","91002","41"
"10","2","2","25021","123","27","8","284001042","25014","91002","42"
"10","2","2","25021","125","28","8","284001043","25014","91002","43"
"10","2","2","25021","128","28","8","284001044","25014","91002","44"
"10","2","2","25021","130","29","8","284001045","25014","91002","45"
"10","2","2","25021","132","30","8","284001046","25014","91002","46"
"10","2","2","25021","135","30","8","284001047","25014","91002","47"
"10","2","2","25021","137","31","8","284001048","25014","91002","48"
"10","2","2","25021","139","31","8","284001049","25014","91002","49"
"30","2","2","25021","142","31","8","284001050","25014","91002","50"
"10","2","2","25021","144","32","8","284001051","25014","91002","51"
"10","2","2","25021","146","32","8","284001052","25014","91002","52"
"10","2","2","25021","149","32","8","284001053","25014","91002","53"
"10","2","2","25021","152","33","8","284001054","25014","91002","54"
"10","2","2","25021","155","33","8","284001055","25014","91002","55"
"10","2","2","25021","157","33","8","284001056","25014","91002","56"
"10","2","2","25021","160","34","8","284001057","25014","91002","57"
"10","2","2","25021","163","34","8","284001058","25014","91002","58"
"10","2","2","25021","166","34","8","284001059","25014","91002","59"
"30","2","2","25021","169","35","8","284001060","25014","91002","60"
"10","2","2","25021","171","35","8","284001061","25014","91002","61"
"10","2","2","25021","174","35","8","284001062","25014","91002","62"
"10","2","2","25021","177","36","8","284001063","25014","91002","63"
"10","2","2","25021","180","36","8","284001064","25014","91002","64"
"10","2","2","25021","182","36","8","284001065","25014","91002","65"
"10","2","2","25021","185","37","8","284001066","25014","91002","66"
"10","2","2","25021","187","37","8","284001067","25014","91002","67"
"10","2","2","25021","190","37","8","284001068","25014","91002","68"
"10","2","2","25021","193","38","8","284001069","25014","91002","69"
"30","2","2","25021","196","38","8","284001070","25014","91002","70"
"10","2","2","25021","200","39","8","284001071","25014","91002","71"
"10","2","2","25021","204","39","8","284001072","25014","91002","72"
"10","2","2","25021","208","40","8","284001073","25014","91002","73"
"10","2","2","25021","212","40","8","284001074","25014","91002","74"
"10","2","2","25021","216","41","8","284001075","25014","91002","75"
"10","2","2","25021","220","41","8","284001076","25014","91002","76"
"10","2","2","25021","224","42","8","284001077","25014","91002","77"
"10","2","2","25021","228","42","8","284001078","25014","91002","78"
"10","2","2","25021","232","43","8","284001079","25014","91002","79"
"30","2","2","25021","236","43","8","284001080","25014","91002","80"
