639f39b54802ebcd68b8e0d09fbb1b4de2c65f59372484a4d164b6fbc49f0835,27b931043da43e523122c760005c6ad85ee0ee05d946cdee78c25ca9f3ebcfa5,6f2c44e92c3299fe7562fb765ce9b1769c318d263dbb34e9109a9d626a1c3aa1,72f69584749648bfb63f7732859aba54ee7e5e7e49fe831114c539ca10cee2dd,c6fa47f69a665a678a5c2859c2297daf9324290363ef2c43ee28bd265c368b2f,2882fc32a45808d95cabeb7653da0fa6cb2ae1a10067dc5a2bc73105113a7386,9c422376704ea0655dc3b427b40a51c42acc8fe045b19c910702d7118060d535,05ce4c8ed8bc52a6af71ab972abf93a2bc1047a5dff33e5e4f780d8115a7a520,12d0268703b61e27022e2a62cd017daa97c0e68ef20204873697098ff5a95805,dc71095c66df3de9182bd6328562366632cc029eef9a137576e424a597c4581b
"","0","0","1010001","0","vo_10011600_0101","1","vo_10011600","2","1"
"　明日から","0","8","1010002","0","0","2","0","1","1"
"","1.625","0","1010003","1","0","3","0","4","1"
"聖テレサ女学院に通うことになっちゃった！","0","10","1010004","0","0","4","0","1","1"
"","4","0","1010005","1","0","5","0","4","1"
"","0","0","1010006","0","vo_10011600_0102","6","vo_10011600","2","1"
"　なんで、","0","8","1010007","0","0","7","0","1","1"
"","1.375","0","1010008","1","0","8","0","4","1"
"どうしてこんなことになっちゃったんだろう。\n","0","9","1010009","0","0","9","0","1","1"
"","3.33333333333333","0","1010010","1","0","10","0","4","1"
"","0","0","1010011","0","vo_10011600_0103","11","vo_10011600","2","1"
"ミサト先生は","0","8","1010012","0","0","12","0","1","1"
"","1.75","0","1010013","1","0","13","0","4","1"
"私ならきっとやれると言ってくれたけど……","0","10","1010014","0","0","14","0","1","1"
"","3","0","1010015","1","0","15","0","4","1"
"絶対ムリだー！\n","0","8","1010016","0","0","16","0","1","1"
"","3.875","0","1010017","1","0","17","0","4","1"
"","0","0","1010018","0","vo_10011600_0104","18","vo_10011600","2","1"
"でも。","0","8","1010019","0","0","19","0","1","1"
"","2.375","0","1010020","1","0","20","0","4","1"
"でも……","0","8","1010021","0","0","21","0","1","1"
"","2.5","0","1010022","1","0","22","0","4","1"
"","0","0","1010023","0","vo_10011600_0105","23","vo_10011600","2","1"
"でも、","0","8","1010024","0","0","24","0","1","1"
"","1.375","0","1010025","1","0","25","0","4","1"
"もしも、","0","8","1010026","0","0","26","0","1","1"
"","1.5","0","1010027","1","0","27","0","4","1"
"私が聖テレサ女学院で頑張ることが出来たら。\n\n","0","8","1010028","0","0","28","0","1","1"
"","4.875","0","1010029","1","0","29","0","4","1"
"","0","0","1010030","0","vo_10011600_0106","30","vo_10011600","2","1"
"……友達、","0","6","1010031","0","0","31","0","1","1"
"","1.58333333333333","0","1010032","1","0","32","0","4","1"
"できるかな？","0","8","1010033","0","0","33","0","1","1"
"","1.75","0","1010034","1","0","34","0","4","1"
"","0","0","1020001","0","vo_10011600_0201","1","vo_10011600","2","2"
"　ごきげんようという挨拶で","0","8","1020002","0","0","2","0","1","2"
"","2.375","0","1020003","1","0","3","0","4","2"
"私のぼっち心は最初から爆発寸前。\n","0","8","1020004","0","0","4","0","1","2"
"","4","0","1020005","1","0","5","0","4","2"
"","0","0","1020006","0","vo_10011600_0202","6","vo_10011600","2","2"
"ところが、","0","8","1020007","0","0","7","0","1","2"
"","1.125","0","1020008","1","0","8","0","4","2"
"なんとそこにBB団の団長さんが登場！","0","8","1020009","0","0","9","0","1","2"
"","3.75","0","1020010","1","0","10","0","4","2"
"","0","0","1020011","0","vo_10011600_0203","11","vo_10011600","2","2"
"　BB団の絆は","0","8","1020012","0","0","12","0","1","2"
"","1.875","0","1020013","1","0","13","0","4","2"
"どんな場所だろうと離れることはないんですね！\n","0","8","1020014","0","0","14","0","1","2"
"","3.75","0","1020015","1","0","15","0","4","2"
"","0","0","1020016","0","vo_10011600_0204","16","vo_10011600","2","2"
"そして、","0","8","1020017","0","0","17","0","1","2"
"","1","0","1020018","1","0","18","0","4","2"
"あの人と一緒にやってきた","0","8","1020019","0","0","19","0","1","2"
"","2","0","1020020","1","0","20","0","4","2"
"聖テレサ女学院","0","8","1020021","0","0","21","0","1","2"
"","1.125","0","1020022","1","0","22","0","4","2"
"（なかよし部）のみなさんとお知り合いに。","0","8","1020023","0","0","23","0","1","2"
"","3.5","0","1020024","1","0","24","0","4","2"
"","0","0","1020025","0","vo_10011600_0205","25","vo_10011600","2","2"
"　なんだかとても個性的な方々で、","0","8","1020026","0","0","26","0","1","2"
"","3","0","1020027","1","0","27","0","4","2"
"仲良くなれるか心配……","0","6","1020028","0","0","28","0","1","2"
"","2.83333333333333","0","1020029","1","0","29","0","4","2"
"","0","0","1030001","0","vo_10011600_0301","1","vo_10011600","2","3"
"　やっちゃった。","0","8","1030002","0","0","2","0","1","3"
"","3","0","1030003","1","0","3","0","4","3"
"","0","0","1030004","0","vo_10011600_0302","4","vo_10011600","2","3"
"　自己紹介というぼっちの前に立ちふさがる巨大な壁。","0","8","1030005","0","0","5","0","1","3"
"","5.125","0","1030006","1","0","6","0","4","3"
"","0","0","1030007","0","vo_10011600_0303","7","vo_10011600","2","3"
"　何度もイメージトレーニングしたのに、","0","8","1030008","0","0","8","0","1","3"
"","2.625","0","1030009","1","0","9","0","4","3"
"ものの見事に玉砕しちゃった。","0","8","1030010","0","0","10","0","1","3"
"","2.75","0","1030011","1","0","11","0","4","3"
"","0","0","1030012","0","vo_10011600_0304","12","vo_10011600","2","3"
"　クラスメイトのみんなの目がこっちを向いた瞬間、","0","8","1030013","0","0","13","0","1","3"
"","3.5","0","1030014","1","0","14","0","4","3"
"頭の中は真っ白、","0","8","1030015","0","0","15","0","1","3"
"","2","0","1030016","1","0","16","0","4","3"
"また訳の分からないことを口にしちゃった。\n","0","10","1030017","0","0","17","0","1","3"
"","4.5","0","1030018","1","0","18","0","4","3"
"","0","0","1030019","0","vo_10011600_0305","19","vo_10011600","2","3"
"みんなは楽しそうに笑ってくれたけど、","0","8","1030020","0","0","20","0","1","3"
"","3","0","1030021","1","0","21","0","4","3"
"これから先が不安……","0","8","1030022","0","0","22","0","1","3"
"","2.25","0","1030023","1","0","23","0","4","3"
"","0","0","1040001","0","vo_10011600_0401","1","vo_10011600","2","4"
"　ユニさんは","0","8","1040002","0","0","2","0","1","4"
"","1.75","0","1040003","1","0","3","0","4","4"
"とっても頭がいい人みたい。","0","8","1040004","0","0","4","0","1","4"
"","2.625","0","1040005","1","0","5","0","4","4"
"","0","0","1040006","0","vo_10011600_0402","6","vo_10011600","2","4"
"　なんだか難しい言葉をよく使ってるんだけど、","0","8","1040007","0","0","7","0","1","4"
"","3.75","0","1040008","1","0","8","0","4","4"
"理解できない単語があったりするし、","0","8","1040009","0","0","9","0","1","4"
"","3.125","0","1040010","1","0","10","0","4","4"
"これからは辞書を持ち歩こうかな？\n","0","8","1040011","0","0","11","0","1","4"
"","4","0","1040012","1","0","12","0","4","4"
"","0","0","1040013","0","vo_10011600_0403","13","vo_10011600","2","4"
"　象牙の塔っていう場所でいつも研究をしてて、","0","8","1040014","0","0","14","0","1","4"
"","3.75","0","1040015","1","0","15","0","4","4"
"普段はそこからほとんど出ないらし\nく、","0","8","1040016","0","0","16","0","1","4"
"","3.25","0","1040017","1","0","17","0","4","4"
"私と同じぼっちの匂いがします。","0","8","1040018","0","0","18","0","1","4"
"","3.375","0","1040019","1","0","19","0","4","4"
"","0","0","1040020","0","vo_10011600_0404","20","vo_10011600","2","4"
"　ぼっちはぼっちを呼ぶ、","0","8","1040021","0","0","21","0","1","4"
"","2.5","0","1040022","1","0","22","0","4","4"
"と","0","8","1040023","0","0","23","0","1","4"
"","1.125","0","1040024","1","0","24","0","4","4"
"誰が言ったのか知らないけど、","0","8","1040025","0","0","25","0","1","4"
"","2.75","0","1040026","1","0","26","0","4","4"
"もしかしたら……\n","0","8","1040027","0","0","27","0","1","4"
"","2","0","1040028","1","0","28","0","4","4"
"","0","0","1040029","0","vo_10011600_0405","29","vo_10011600","2","4"
"同じ宿命を持つ者同士、","0","8","1040030","0","0","30","0","1","4"
"","2.375","0","1040031","1","0","31","0","4","4"
"仲良くなれるかも？","0","8","1040032","0","0","32","0","1","4"
"","2.125","0","1040033","1","0","33","0","4","4"
"","0","0","1050001","0","vo_10011600_0501","1","vo_10011600","2","5"
"　クロエさんは私と同じ","0","8","1050002","0","0","2","0","1","5"
"","1.875","0","1050003","1","0","3","0","4","5"
"エルフ、","0","8","1050004","0","0","4","0","1","5"
"","1.5","0","1050005","1","0","5","0","4","5"
"なんだけど……","0","8","1050006","0","0","6","0","1","5"
"","1.625","0","1050007","1","0","7","0","4","5"
"雰囲気が少し、","0","8","1050008","0","0","8","0","1","5"
"","1.375","0","1050009","1","0","9","0","4","5"
"独特な人。\n","0","8","1050010","0","0","10","0","1","5"
"","2.625","0","1050011","1","0","11","0","4","5"
"","0","0","1050012","0","vo_10011600_0502","12","vo_10011600","2","5"
"もしかしたら同じエルフ同士で仲良くなれるかも、","0","8","1050013","0","0","13","0","1","5"
"","3.625","0","1050014","1","0","14","0","4","5"
"と思ったりもしたんだけど、","0","8","1050015","0","0","15","0","1","5"
"","2.125","0","1050016","1","0","16","0","4","5"
"そもそも話しかけられない！\n","0","8","1050017","0","0","17","0","1","5"
"","3.125","0","1050018","1","0","18","0","4","5"
"","0","0","1050019","0","vo_10011600_0503","19","vo_10011600","2","5"
"あの人が言うには","0","8","1050020","0","0","20","0","1","5"
"","1.65","0","1050021","1","0","21","0","4","5"
"世話焼きで優しい、","0","8","1050022","0","0","22","0","1","5"
"","1.625","0","1050023","1","0","23","0","4","5"
"らしいんだけど……\n","0","8","1050024","0","0","24","0","1","5"
"","3.125","0","1050025","1","0","25","0","4","5"
"","0","0","1050026","0","vo_10011600_0504","26","vo_10011600","2","5"
"そういえばあの、","0","8","1050027","0","0","27","0","1","5"
"","2","0","1050028","1","0","28","0","4","5"
"ぷー……","0","8","1050029","0","0","29","0","1","5"
"","1.5","0","1050030","1","0","30","0","4","5"
"っていうため息（？）、","0","8","1050031","0","0","31","0","1","5"
"","2.375","0","1050032","1","0","32","0","4","5"
"","0","0","1050033","0","vo_10011600_0505","33","vo_10011600","2","5"
"とても言えないけど……\n","0","8","1050034","0","0","34","0","1","5"
"","2.375","0","1050035","1","0","35","0","4","5"
"なんかかわいいな、","0","8","1050036","0","0","36","0","1","5"
"","1.375","0","1050037","1","0","37","0","4","5"
"と思っちゃった。","0","8","1050038","0","0","38","0","1","5"
"","1","0","1050039","1","0","39","0","4","5"
"","0","0","1060001","0","vo_10011600_0601","1","vo_10011600","2","6"
"　チエルさんはリア充。","0","8","1060002","0","0","2","0","1","6"
"","2.375","0","1060003","1","0","3","0","4","6"
"間違いない。\n","0","8","1060004","0","0","4","0","1","6"
"","2.5","0","1060005","1","0","5","0","4","6"
"","0","0","1060006","0","vo_10011600_0602","6","vo_10011600","2","6"
"かわいらしくて友達いっぱい、","0","8","1060007","0","0","7","0","1","6"
"","2.5","0","1060008","1","0","8","0","4","6"
"私のようなぼっちとは対極の人。","0","8","1060009","0","0","9","0","1","6"
"","2.875","0","1060010","1","0","10","0","4","6"
