6e7a9a0c83c0ffec7b36563e562389157773092e69f7905e0319c696b651f142,fb975323b4aa4739c70e91fcd718c1f9025776ab2679f8f4e2ae890203630380,59a9178fab27abff1a1722801e3a5ce599eaa8e93489088f8333908a1846051d,79ad2149792a56ae1a5ce1174701f3f19b9812f24430db03250fb2289670585d,36fd169976a447d482567c1cb62f9356bf67c325d63e72f2663f12fd4725a959,b75ed2e7b8324b0f7d461a367b13e8ee436f79d2dc7b2b70b86d7fd0ddd90122,16cd362c6aa1964372ed25779ccddc8b341de5d63f353f757f3b89b59412ed37,dc4b648e9a593739b57a91f2736e10a39f300413e3816f32631a3dff37d3ab00,f0a209f3f843ab3b5ffe9849d45e66d71b86f75af386f754c769ac7345ad1c01,9e73cc8071499c869a3ecdc26285a1369372927d1f4d7a7bab3d4b8bf6068d8b,d84907c366666ed10daab33860b134adc7e06dd393591f502a5ae798ec396bb1,1be2fff226c97bbd7457ddfa695984281fc625ffadcbef6b3bd61dd25d743452
"31000101","2022/12/23 11:59:59","1000","1","3","0","1回バトルしよう","7003","10","0","2022/12/16 12:00:00","31000101"
"31000102","2022/12/23 11:59:59","1000","5","3","0","5回バトルしよう","7003","10","0","2022/12/16 12:00:00","31000102"
"31000103","2022/12/23 11:59:59","1000","10","3","0","10回バトルしよう","7003","10","0","2022/12/16 12:00:00","31000103"
"31000104","2022/12/23 11:59:59","1000","15","3","0","15回バトルしよう","7003","10","0","2022/12/16 12:00:00","31000104"
"31000105","2022/12/23 11:59:59","1000","20","3","0","20回バトルしよう","7003","10","0","2022/12/16 12:00:00","31000105"
"31000106","2022/12/23 11:59:59","1000","25","3","0","25回バトルしよう","7003","10","0","2022/12/16 12:00:00","31000106"
"31000107","2022/12/23 11:59:59","1000","30","3","0","30回バトルしよう","7003","10","0","2022/12/16 12:00:00","31000107"
"31000108","2022/12/23 11:59:59","1000","35","3","0","35回バトルしよう","7003","10","0","2022/12/16 12:00:00","31000108"
"31000109","2022/12/23 11:59:59","1000","40","3","0","40回バトルしよう","7003","10","0","2022/12/16 12:00:00","31000109"
"31001101","2022/12/23 11:59:59","1001","5000000","3","0","黒の王ジャバウォックに累積500万ダメージ与えよう","7004","10","3001","2022/12/16 12:00:00","31001101"
"31001102","2022/12/23 11:59:59","1001","7500000","3","0","黒の王ジャバウォックに累積750万ダメージ与えよう","7004","10","3001","2022/12/16 12:00:00","31001102"
"31001103","2022/12/23 11:59:59","1001","10000000","3","0","黒の王ジャバウォックに累積1000万ダメージ与えよう","7004","10","3001","2022/12/16 12:00:00","31001103"
"31001111","2022/12/23 11:59:59","1001","1","3","2500000","黒の王ジャバウォックに1度のバトルで250万ダメージ与えよう","7005","11","3001","2022/12/16 12:00:00","31001111"
"31001112","2022/12/23 11:59:59","1001","1","3","5000000","黒の王ジャバウォックに1度のバトルで500万ダメージ与えよう","7005","11","3001","2022/12/16 12:00:00","31001112"
"31001201","2022/12/23 11:59:59","1001","5000000","3","0","暴走のイノセントボウに累積500万ダメージ与えよう","7004","20","3002","2022/12/16 12:00:00","31001201"
"31001202","2022/12/23 11:59:59","1001","7500000","3","0","暴走のイノセントボウに累積750万ダメージ与えよう","7004","20","3002","2022/12/16 12:00:00","31001202"
"31001203","2022/12/23 11:59:59","1001","10000000","3","0","暴走のイノセントボウに累積1000万ダメージ与えよう","7004","20","3002","2022/12/16 12:00:00","31001203"
"31001211","2022/12/23 11:59:59","1001","1","3","2500000","暴走のイノセントボウに1度のバトルで250万ダメージ与えよう","7005","21","3002","2022/12/16 12:00:00","31001211"
"31001212","2022/12/23 11:59:59","1001","1","3","5000000","暴走のイノセントボウに1度のバトルで500万ダメージ与えよう","7005","21","3002","2022/12/16 12:00:00","31001212"
"31001301","2022/12/23 11:59:59","1001","5000000","3","0","ファントムバロンに累積500万ダメージ与えよう","7004","30","3003","2022/12/16 12:00:00","31001301"
"31001302","2022/12/23 11:59:59","1001","7500000","3","0","ファントムバロンに累積750万ダメージ与えよう","7004","30","3003","2022/12/16 12:00:00","31001302"
"31001303","2022/12/23 11:59:59","1001","10000000","3","0","ファントムバロンに累積1000万ダメージ与えよう","7004","30","3003","2022/12/16 12:00:00","31001303"
"31001311","2022/12/23 11:59:59","1001","1","3","2500000","ファントムバロンに1度のバトルで250万ダメージ与えよう","7005","31","3003","2022/12/16 12:00:00","31001311"
"31001312","2022/12/23 11:59:59","1001","1","3","5000000","ファントムバロンに1度のバトルで500万ダメージ与えよう","7005","31","3003","2022/12/16 12:00:00","31001312"
"31001401","2022/12/23 11:59:59","1001","5000000","3","0","テンタパスに累積500万ダメージ与えよう","7004","40","3004","2022/12/16 12:00:00","31001401"
"31001402","2022/12/23 11:59:59","1001","7500000","3","0","テンタパスに累積750万ダメージ与えよう","7004","40","3004","2022/12/16 12:00:00","31001402"
"31001403","2022/12/23 11:59:59","1001","10000000","3","0","テンタパスに累積1000万ダメージ与えよう","7004","40","3004","2022/12/16 12:00:00","31001403"
"31001411","2022/12/23 11:59:59","1001","1","3","2500000","テンタパスに1度のバトルで250万ダメージ与えよう","7005","41","3004","2022/12/16 12:00:00","31001411"
"31001412","2022/12/23 11:59:59","1001","1","3","5000000","テンタパスに1度のバトルで500万ダメージ与えよう","7005","41","3004","2022/12/16 12:00:00","31001412"
"31002101","2022/12/23 11:59:59","1002","5000000","3","0","ゴウシンに累積500万ダメージ与えよう","7004","10","3005","2022/12/16 12:00:00","31002101"
"31002102","2022/12/23 11:59:59","1002","7500000","3","0","ゴウシンに累積750万ダメージ与えよう","7004","10","3005","2022/12/16 12:00:00","31002102"
