28fdac296d00335b85eccf66b9eadef4b4b6439188766b93b2baf0ab0d3b8d97,0650ff763e8a31fd5637d0739b3d27c863f68c4d18b9d69390fe9a8ac4298f2c,bf20fc169fcdd0b3be2517fdf06620cc7d057f3dfd7fe9ebc20916b090bebfa9,721a8b8d160ef979422018faee0047809debbcc0e75f2c23647293453908d685
"104001","1020301","10203","2025/03/31 12:00:00"
"126401","1020302","10203","2025/03/31 12:00:00"
"134701","1020303","10203","2025/04/15 15:00:00"
"126501","1020304","10203","2025/03/31 12:00:00"
"127801","1020305","10203","2025/03/31 12:00:00"
"132501","1020401","10204","2025/05/15 15:00:00"
"132301","1020402","10204","2025/05/03 19:00:00"
"100901","1020403","10204","2025/04/30 12:00:00"
"102701","1020404","10204","2025/04/30 12:00:00"
"101301","1020405","10204","2025/04/30 12:00:00"
"105101","1020406","10204","2025/04/30 12:00:00"
"105601","1020407","10204","2025/04/30 12:00:00"
"134901","1020501","10205","2025/06/10 12:00:00"
"105401","1020502","10205","2025/05/31 12:00:00"
"113901","1020503","10205","2025/05/31 12:00:00"
"117401","1020504","10205","2025/05/31 12:00:00"
"134801","1020505","10205","2025/05/31 12:00:00"
"106501","1020506","10205","2025/05/31 12:00:00"
"104501","1020507","10205","2025/05/31 12:00:00"
"129701","1020508","10205","2025/05/31 12:00:00"
"129001","1020601","10206","2025/06/30 12:00:00"
"106401","1020602","10206","2025/06/30 12:00:00"
"126101","1020603","10206","2025/06/30 12:00:00"
"129601","1020701","10207","2025/07/31 12:00:00"
"126001","1020702","10207","2025/07/31 12:00:00"
"106001","1020703","10207","2025/07/31 12:00:00"
"103001","1020704","10207","2025/07/31 12:00:00"
"129701","1020705","10207","2025/07/31 12:00:00"
"125801","1020706","10207","2025/07/31 12:00:00"
"135501","1020801","10208","2025/08/31 12:00:00"
"100101","1020803","10208","2025/08/31 12:00:00"
"100301","1020804","10208","2025/08/31 12:00:00"
