36a8ac467dec1dfda3dd9fc110d5ebfd7104dda7c4923d658adec9c03437cda7,d024f564673f59f0a0b61ef9f335e64d7d57eccfd6ffacac29537f02501ea368,b2da89735917ef9f320f09b083b94fa3d7c5cdc541ebaf185e9bde2acf076081,161eca2867aa314dbac1a476485acd8eca21370128405de1b94e7fe51ac56e5b,5ab43855822056a2e520aa6a3773ec2ac82d0bf0d8435641dacf13662dd3d8ae,e7cfe0205bf6fc5981416ce0bdc66faf6b11db514de09d3eafd15f5a041942f2,37be50a7bd92f6a2aae9e6ae331b6ac5dd1d2dbc5ec6dc88663720e701efb35c,f9bff14ed7ae71d5de2c287edde21807f6758c58f161c39fd6db2ca8441b60f0,84519040b3b1cc811772a198725ce882393ec860da81f79b5291f7b8c4fb4804,c261c8b053f93c51cb925a821ed47e10053d444e29a6c7679be32f4615793d6e,ce65be67f18f9c3aa658f8b5244c34942b32b788e1d5ba4fc90d8e7a3a56619b,6919e4803e51b303faf04228f0bbbe11a92e8c478796f7b15559be3fbc6dcb17
"3","1","-1","13","1","1","1","1","1","100","-1","100101"
"4","1","-1","15","1","1","1","1","1","130","-1","100201"
"4","1","-1","17","1","1","1","1","1","160","-1","100301"
"4","1","-1","19","1","1","1","1","1","180","120","100401"
"4","1","-1","19","1","1","1","1","1","180","-1","100402"
"4","1","-1","21","1","1","1","1","1","200","150","100501"
"4","1","-1","21","1","1","1","1","1","200","-1","100502"
"5","1","-1","23","1","1","1","1","1","220","180","100601"
"5","1","-1","23","1","1","1","1","1","220","-1","100602"
"5","1","-1","25","1","1","1","1","1","240","210","100701"
"5","1","-1","25","1","1","1","1","1","240","-1","100702"
"5","1","-1","27","1","1","1","1","1","260","240","100801"
"5","1","-1","27","1","1","1","1","1","260","-1","100802"
"5","1","-1","29","1","1","1","1","1","280","270","100901"
"5","1","-1","29","1","1","1","1","1","280","-1","100902"
"6","1","1","32","1","1","1","1","1","300","300","101001"
"6","1","-1","32","1","1","1","1","1","300","300","101002"
"6","1","-1","32","1","1","1","1","1","300","-1","101003"
"5","1","1","32","1","1","1","1","1","300","300","101004"
"5","1","-1","32","1","1","1","1","1","300","300","101005"
"5","1","-1","32","1","1","1","1","1","300","-1","101006"
"6","1","1","32","1","1","1","1","1","310","300","101101"
"6","1","-1","32","1","1","1","1","1","310","300","101102"
"6","1","-1","32","1","1","1","1","1","310","-1","101103"
"5","1","1","32","1","1","1","1","1","310","300","101104"
"5","1","-1","32","1","1","1","1","1","310","300","101105"
"5","1","-1","32","1","1","1","1","1","310","-1","101106"
"6","1","1","32","1","1","1","1","1","320","300","101201"
"6","1","-1","32","1","1","1","1","1","320","300","101202"
"6","1","-1","32","1","1","1","1","1","320","-1","101203"
"5","1","1","32","1","1","1","1","1","320","300","101204"
"5","1","-1","32","1","1","1","1","1","320","300","101205"
"5","1","-1","32","1","1","1","1","1","320","-1","101206"
"6","1","3","32","1","1","1","1","1","330","300","101301"
"6","1","-1","32","1","1","1","1","1","330","300","101302"
"6","1","-1","32","1","1","1","1","1","330","-1","101303"
"5","1","3","32","1","1","1","1","1","330","300","101304"
"5","1","-1","32","1","1","1","1","1","330","300","101305"
"5","1","-1","32","1","1","1","1","1","330","-1","101306"
"6","1","3","32","1","1","1","1","1","340","300","101401"
"6","1","-1","32","1","1","1","1","1","340","300","101402"
"6","1","-1","32","1","1","1","1","1","340","-1","101403"
"5","1","3","32","1","1","1","1","1","340","300","101404"
"5","1","-1","32","1","1","1","1","1","340","300","101405"
"5","1","-1","32","1","1","1","1","1","340","-1","101406"
"6","1","3","32","1","1","1","1","1","350","300","101501"
"6","1","-1","32","1","1","1","1","1","350","300","101502"
"6","1","-1","32","1","1","1","1","1","350","-1","101503"
"5","1","3","32","1","1","1","1","1","350","300","101504"
"5","1","-1","32","1","1","1","1","1","350","300","101505"
"5","1","-1","32","1","1","1","1","1","350","-1","101506"
"6","1","5","32","1","1","1","1","1","360","310","101601"
"6","1","-1","32","1","1","1","1","1","360","310","101602"
"6","1","-1","32","1","1","1","1","1","360","-1","101603"
"5","1","5","32","1","1","1","1","1","360","310","101604"
"5","1","-1","32","1","1","1","1","1","360","310","101605"
"5","1","-1","32","1","1","1","1","1","360","-1","101606"
"6","1","5","32","1","1","1","1","1","380","310","101701"
"6","1","-1","32","1","1","1","1","1","380","310","101702"
"6","1","-1","32","1","1","1","1","1","380","-1","101703"
"5","1","5","32","1","1","1","1","1","380","310","101704"
"5","1","-1","32","1","1","1","1","1","380","310","101705"
"5","1","-1","32","1","1","1","1","1","380","-1","101706"
"6","1","5","32","1","1","1","1","1","400","310","101801"
"6","1","-1","32","1","1","1","1","1","400","310","101802"
"6","1","-1","32","1","1","1","1","1","400","-1","101803"
"5","1","5","32","1","1","1","1","1","400","310","101804"
"5","1","-1","32","1","1","1","1","1","400","310","101805"
"5","1","-1","32","1","1","1","1","1","400","-1","101806"
"6","1","5","33","1","1","1","1","1","400","310","111601"
"6","1","-1","33","1","1","1","1","1","400","310","111602"
"6","1","-1","33","1","1","1","1","1","400","-1","111603"
"5","1","5","33","1","1","1","1","1","400","310","111604"
"5","1","-1","33","1","1","1","1","1","400","310","111605"
"5","1","-1","33","1","1","1","1","1","400","-1","111606"
"6","1","5","33","1","1","1","1","1","450","310","111701"
"6","1","-1","33","1","1","1","1","1","450","310","111702"
"6","1","-1","33","1","1","1","1","1","450","-1","111703"
"5","1","5","33","1","1","1","1","1","450","310","111704"
"5","1","-1","33","1","1","1","1","1","450","310","111705"
"5","1","-1","33","1","1","1","1","1","450","-1","111706"
"6","1","5","33","1","1","1","1","1","500","310","111801"
"6","1","-1","33","1","1","1","1","1","500","310","111802"
"6","1","-1","33","1","1","1","1","1","500","-1","111803"
"5","1","5","33","1","1","1","1","1","500","310","111804"
"5","1","-1","33","1","1","1","1","1","500","310","111805"
"5","1","-1","33","1","1","1","1","1","500","-1","111806"
