4cb321e828d8af3d24bee237a259ed27a27ed3b38769e2fa7542397a1037b65b,bbebc10f6b658e043231224af6802110f3848730584e41c2abe3b9a595c591dd,f238be46fac244df82818de6021f112d2f044d1c538c0e28790d4adffa4b722b
"2","180701","118401"
"3","180701","118301"
"4","180701","118401"
"5","180701","118401"
"6","180701","118301"
"7","180701","118401"
"8","180701","118301"
"9","105701","170101"
"10","105701","170101"
"11","105701","170101"
"12","105701","170101"
"2","180801","120401"
"3","180801","120501"
"4","180801","120601"
"5","180801","120501"
"6","180801","120601"
"7","180801","120501"
"8","180801","120401"
"2","180901","121701"
"3","180901","121801"
"4","180901","121701"
"5","180901","121801"
"6","180901","121701"
"7","180901","121801"
"8","180901","121801"
"2","181001","124401"
"3","181001","124301"
"4","181001","124401"
"5","181001","124401"
"6","181001","124301"
"7","181001","124401"
"8","181001","124301"
"2","181101","128201"
"3","181101","128101"
"4","181101","128201"
"5","181101","128201"
"6","181101","128101"
"7","181101","128201"
"8","181101","128101"
