c26ee01f6e747f40a6585e7d6a91c4fdee2b1f5090dab9dcd4aaa3dbb463adb5,b1fedd9f929700847bf4faa4988441430f6b83c6a1deeef0cd86de211ba61892,2daa82abf2dc1271aef89d050c4f01c1040e39983d3c0c9f647e9d1801cc2bdc,5a7c2f62677b6ff2ec0ec0af224fdeb74a69d4ee6ec8e75895668502becd902a,845268f0c70817c2d677a8fec79671fe47c1e825d133e1a8a889f5a40faaab87,953ad7b90d843ab5ccc0ee82c619f7ad691f1d3c0141e0161c5cd7d0aab10631,49e8a76cbc4066ee23f9d8e1f4920f40c550ec8889e0f0637f13a0240ebf4036,307a935604278d363d76922ce3ef2c3d8c2b6dd576cf6de9c7344794caa27a1a,b0dcae6c5c5e932557b19dfac6e8d4d8297b57d86d1569594e132c6f4998d101,c19a44b64f8b386ce3e09daf0fbc0dd406879513f5bbe5c16f56de4c5fec2c42,b8625a00f5ac8dc968cd9b1ba5db6cf1cf22464bc19aaf9250544e03b58041d2,f2b8adac5a5cb21ea2f6531abb26296d257878ab3ca4bd5b6a6233adc11abae3
"新年を迎え、新たに始まる一日を\nおみくじで占ってみませんか？\n良い運勢であるほど、\n沢山のプレゼントが貰えますよ♪","1","0","1","0","60000","0","190804","1","","1","カリン"
"今日の運勢は姫吉！　あらゆる運気が最大を示しています！　　　今なら「伝説の吸血鬼」をも従え、世界征服も夢じゃありません！","0","0","2","0","60000","1","0","1","","2",""
"今日の運勢は姫吉！　やること全てが最高潮！　やばいですね☆　ラッキーアイテムはおにぎり！　お腹一杯で幸せが続くでしょう！","0","0","2","0","60000","1","0","1","","3",""
"今日の運勢は姫吉！　その高い運気はまさにショーグンの如く！　その溢れる威光は人々を惹きつけ、皆の人気者間違いなしです！","0","0","2","0","60000","1","0","2","","4",""
"今日の運勢は大吉！　運気がどんどん高まっています！　　　　　何をやっても、最大効率で素晴らしい結果になりますよ♪","0","0","2","0","60000","2","0","1","","5",""
"今日の運勢は大吉！　なにをやっても上手くいって大活躍！　　　そんな素敵なあなたを見て、後ろから誰かが……クスクス♪","0","0","2","0","60000","2","0","1","","6",""
"今日の運勢は大吉！　運気が高く、何かに挑戦すると良い結果に！隠れた才能が引き出されそう！　目指せヒデサ……ではなく秀才！","0","0","2","0","60000","2","0","2","","7",""
"今日の運勢は中吉！　商売運が上がってきています！　　　　　　ラッキーアイテムはたいやき！　和菓子パワーで売上アップです！","0","0","2","0","60000","3","0","1","","8",""
"今日の運勢は中吉！　旅行運がぐんぐんと上昇中♪　　　　　　　もしかしたら、あの「マホマホ王国」にだって行けるかも♪","0","0","2","0","60000","3","0","1","","9",""
"今日の運勢は中吉！　仕事運が急上昇中です！　　　　　　　　　きっと「煉獄に舞う一陣の疾風」の如き活躍ができますよ！","0","0","2","0","60000","3","0","1","","10",""
"今日の運勢は中吉！　チャンスを待つと良い結果に！　　　　　　ラッキーアイテムのプリンを食べて、運を呼び込みましょう！","0","0","2","0","60000","3","0","1","","11",""
"今日の運勢は中吉！　運気が着々と上昇中！　　　　　　　　　　精霊の加護を受けたかの如く、色々な事がうまくいきますよ♪","0","0","2","0","60000","3","0","2","","12",""
"今日の運勢は小吉！　早朝に幸運の兆しあり！　　　　　　　　　もしかしたら、優しいお姉ちゃんが起こしにきてくれますよ♪","0","0","2","0","60000","4","0","1","","13",""
"今日の運勢は小吉！　運気上昇中ですが、上がるまでが要注意！　ラッキーアニマルは熊！　本当の家族のように守ってくれるかも♪","0","0","2","0","60000","4","0","1","","14",""
"今日の運勢は小吉！　外に出てゆっくり過ごすと運気が上昇！　　ラッキースポットは牧場。面白い出会いがありそうです♪","0","0","2","0","60000","4","0","1","","15",""
"今日の運勢は小吉！　運気は高いけども、ハプニングには注意！　出かけた先で、「ふしんしゃ」扱いされてしまうかも……","0","0","2","0","60000","4","0","1","","16",""
"今日の運勢は小吉！　根を詰めずにリラックスすると運気向上！　ラッキーパーソンはアイドル。歌があなたを幸せにしてくれます♪","0","0","2","0","60000","4","0","2","","17",""
"おみくじの結果はどうでしたか？\n新たに始まる一日が、あなたに\nとって良い日になりますように\nまた明日も遊びに来て下さいね♪","2","0","3","0","60000","0","190804","0","","18","カリン"
"おみくじは楽しんで頂けましたか？\nあなたの新たなる年が\n素晴らしいものになるよう、\n心からお祈りいたします","3","0","3","7","60000","0","190804","0","","19","カリン"
"キミと出会ってもう\n1年もたつんだね！\nう～ん、いつも\n寝てばっかりだから、","1","0","0","1","80001","0","101201","0","","20","ハツネ"
"少しでも\n寝る時間を減らして\nキミと一緒にいる\n時間増やしたいなぁ♪","2","0","0","1","80001","0","101201","0","","21","ハツネ"
"あなたと知り合ってから\nもう1年…\n時がたつのは\n早いですね","1","0","1","1","80001","0","103801","0","","22","シオリ"
"来年も、\n一緒にいられたら…\nうれしいな","2","0","1","1","80001","0","103801","0","","23","シオリ"
"あなたと一緒にいるようになって、\nもう1年ですか…","1","0","0","2","80001","0","103601","0","","24","キョウカ"
