9fef456245cf11e771b9d36dfa476ebf9d6559e9a58da0f88bcc481cea72ee11,5a0b534eb7497a5e2deebc77db274f7d959e2759f84e4ab97bf7b11ece76ea62,4a39f776f35e128e78b82bff36f483c72450c7e121d292654a4e7352aa21d931,553f65be36b0f26a1f2886ca045e8ef6c15b71c326afb9694614e7497ae498e3,9417acac714baa000feb820a3c93387369429e54f1c16c79a4c8676c58f70bb6,7804142b4a5dfdb52f29592026866b3bfd1f0627a5b413f7d53e2d39f3c54426,ad9dc07cf0172b1117b0c643b8983d041075efe137f85bb80b7653cbf533c52d,a0855f1d6c3f0ed6662c593cc71f3acf5658a1d90b9ed863b9b5f775f716561f
"1","20000","21952","2","1","1","96001","1"
"2","10000","21904","2","1","1","96001","1"
"3","10000","41000","2","1","1","96001","1"
"4","2000","31803","2","5","1","96001","5"
"5","1500","31215","2","5","1","96001","5"
"6","1500","31210","2","5","1","96001","5"
"7","1500","31211","2","5","1","96001","5"
"8","1250","90005","2","10","1","96001","5"
"9","500","140001","4","20","1","96001","10"
"10","500","25001","2","10","1","96001","5"
"11","100","150003","4","5","1","96001","5"
"12","130","150004","4","5","1","96001","5"
"13","150","150005","4","5","1","96001","5"
"14","180","150006","4","5","1","96001","5"
"15","200","150007","4","5","1","96001","5"
"16","230","150008","4","5","1","96001","5"
"17","500","20004","2","5","1","96001","100"
"18","200","22003","2","5","1","96001","100"
"19","1000","20004","2","0","1","96001","100"
"20","400","22003","2","0","1","96001","100"
"21","20000","21952","2","1","2","96002","1"
"22","10000","21904","2","1","2","96002","1"
"23","10000","41000","2","1","2","96002","1"
"24","1500","31233","2","5","2","96002","5"
"25","1500","31229","2","5","2","96002","5"
"26","1500","31225","2","5","2","96002","5"
"27","1250","90005","2","10","2","96002","5"
"28","500","140001","4","20","2","96002","10"
"29","500","25001","2","10","2","96002","5"
"30","100","150003","4","5","2","96002","5"
"31","130","150004","4","5","2","96002","5"
"32","150","150005","4","5","2","96002","5"
"33","180","150006","4","5","2","96002","5"
"34","200","150007","4","5","2","96002","5"
"35","230","150008","4","5","2","96002","5"
"36","500","20004","2","5","2","96002","100"
"37","200","22003","2","5","2","96002","100"
"38","1000","20004","2","0","2","96002","100"
"39","400","22003","2","0","2","96002","100"
"40","20000","21952","2","1","3","96003","1"
"41","10000","21905","2","1","3","96003","1"
"42","10000","41000","2","1","3","96003","1"
"43","2000","31805","2","5","3","96003","5"
"44","1500","31240","2","5","3","96003","5"
"45","1500","31238","2","5","3","96003","5"
"46","1500","31236","2","5","3","96003","5"
"47","2500","90005","2","5","3","96003","10"
"48","2500","140001","4","5","3","96003","50"
"49","500","25001","2","5","3","96003","5"
"50","500","150003","4","5","3","96003","30"
"51","650","150004","4","5","3","96003","30"
"52","750","150005","4","5","3","96003","30"
"53","900","150006","4","5","3","96003","30"
"54","1000","150007","4","5","3","96003","30"
"55","1150","150008","4","5","3","96003","30"
"56","2500","20004","2","5","3","96003","500"
"57","1000","22003","2","5","3","96003","500"
"58","1000","20004","2","0","3","96003","100"
"59","400","22003","2","0","3","96003","100"
"60","20000","21952","2","1","4","96004","1"
"61","10000","21905","2","1","4","96004","1"
"62","10000","41000","2","2","4","96004","1"
"63","2000","31807","2","5","4","96004","5"
"64","1500","31245","2","5","4","96004","5"
"65","1500","31248","2","5","4","96004","5"
"66","1500","31250","2","5","4","96004","5"
"67","1500","31091","2","5","4","96004","5"
"68","2500","90005","2","5","4","96004","10"
"69","2500","140001","4","10","4","96004","50"
"70","1000","25001","2","10","4","96004","10"
"71","500","150003","4","5","4","96004","30"
"72","650","150004","4","5","4","96004","30"
"73","750","150005","4","5","4","96004","30"
"74","900","150006","4","5","4","96004","30"
"75","1000","150007","4","5","4","96004","30"
"76","1150","150008","4","5","4","96004","30"
"77","1300","150009","4","5","4","96004","30"
"78","2500","20004","2","5","4","96004","500"
"79","1000","22003","2","5","4","96004","500"
"80","1000","20004","2","0","4","96004","100"
"81","400","22003","2","0","4","96004","100"
"82","20000","25101","2","1","5","96005","1"
"83","20000","21952","2","1","5","96005","1"
"84","10000","21905","2","1","5","96005","1"
"85","10000","41000","2","2","5","96005","1"
"86","1500","31200","2","5","5","96005","5"
"87","1500","31253","2","5","5","96005","5"
"88","1500","31255","2","5","5","96005","5"
"89","1500","31256","2","5","5","96005","5"
"90","2500","90005","2","5","5","96005","10"
"91","2500","140001","4","10","5","96005","50"
"92","1000","25001","2","10","5","96005","10"
"93","500","150003","4","5","5","96005","30"
"94","650","150004","4","5","5","96005","30"
"95","750","150005","4","5","5","96005","30"
"96","900","150006","4","5","5","96005","30"
"97","1000","150007","4","5","5","96005","30"
"98","1150","150008","4","5","5","96005","30"
"99","1300","150009","4","5","5","96005","30"
"100","2500","20004","2","5","5","96005","500"
"101","1000","22003","2","5","5","96005","500"
"102","1000","20004","2","0","5","96005","100"
"103","400","22003","2","0","5","96005","100"
"104","20000","25101","2","1","6","96006","1"
"105","20000","21952","2","1","6","96006","1"
"106","10000","21905","2","1","6","96006","1"
"107","10000","41000","2","2","6","96006","1"
"108","1500","31262","2","5","6","96006","5"
"109","1500","31266","2","5","6","96006","5"
"110","1500","31269","2","5","6","96006","5"
"111","1500","31271","2","5","6","96006","5"
"112","2500","90005","2","5","6","96006","10"
"113","2500","140001","4","10","6","96006","50"
