979d032ae9a617d6169158f515858a51302a7739a25355344a8c282f7a02fd28,92c41ecece56e91842a2fadcc208bf858665b7dbc06fc39ecfe1d9190e64289c,3a5aa02d6c60952dee9cac7445063b142cfdbc0b719bc35b5a6ebe6cff1c26bb,86f3ff816fcfeff2546745fcf516aa71da9a5ad787232ebc9fc2cad0b3a07057,9041955812c077df4bbdeb87457ecc0937382a37d01b3e04b6ae46a3fae9ac90,ba6a246a88fdae1b3b5a0ab94bbcaef24422bf984ffee43582bdf84d6e5db589,eae3615a26ae5706ed1a340e8edfff5c766fbc70a157e9678f24664e173a9c1b,996d6f9512a009888a4d86bd706c3dc2f882bd39fd206c19bf2e47683b3b8bdf,8c19a7bbc9543074a1112f13b5aa672499ad0ae54d543889372e23c8d4589cde,1687cd5018f04313a2e0cb00be9c764cc221ff7289c840660a62dca7d28dcdb5,263cd58cb782c2a6daaf2beaaa6347118c90139362159c2e7d1edc6cd19c509d
"8","91002","25021","31","2","2","25013","10","1","8","283001001"
"8","91002","25021","31","2","2","25013","10","2","8","283001002"
"8","91002","25021","32","2","2","25013","10","3","8","283001003"
"8","91002","25021","32","2","2","25013","10","4","8","283001004"
"8","91002","25021","33","2","2","25013","10","5","8","283001005"
"8","91002","25021","33","2","2","25013","10","6","9","283001006"
"8","91002","25021","34","2","2","25013","10","7","9","283001007"
"8","91002","25021","35","2","2","25013","10","8","9","283001008"
"8","91002","25021","35","2","2","25013","10","9","9","283001009"
"8","91002","25021","37","2","2","25013","30","10","10","283001010"
"8","91002","25021","41","2","2","25013","10","11","10","283001011"
"8","91002","25021","43","2","2","25013","10","12","11","283001012"
"8","91002","25021","46","2","2","25013","10","13","11","283001013"
"8","91002","25021","48","2","2","25013","10","14","12","283001014"
"8","91002","25021","50","2","2","25013","10","15","12","283001015"
"8","91002","25021","53","2","2","25013","10","16","13","283001016"
"8","91002","25021","55","2","2","25013","10","17","14","283001017"
"8","91002","25021","58","2","2","25013","10","18","14","283001018"
"8","91002","25021","60","2","2","25013","10","19","15","283001019"
"8","91002","25021","62","2","2","25013","30","20","15","283001020"
"8","91002","25021","68","2","2","25013","10","21","16","283001021"
"8","91002","25021","70","2","2","25013","10","22","16","283001022"
"8","91002","25021","72","2","2","25013","10","23","16","283001023"
"8","91002","25021","75","2","2","25013","10","24","17","283001024"
"8","91002","25021","77","2","2","25013","10","25","18","283001025"
"8","91002","25021","79","2","2","25013","10","26","18","283001026"
"8","91002","25021","82","2","2","25013","10","27","19","283001027"
"8","91002","25021","84","2","2","25013","10","28","19","283001028"
"8","91002","25021","86","2","2","25013","10","29","19","283001029"
"8","91002","25021","89","2","2","25013","30","30","20","283001030"
"8","91002","25021","94","2","2","25013","10","31","20","283001031"
"8","91002","25021","96","2","2","25013","10","32","21","283001032"
"8","91002","25021","99","2","2","25013","10","33","21","283001033"
