7c3e1d8fa434bd7dd672a4a3c7f1ce0831a78ef01987e2231742ec1f4a223551,54c7ee70fd36916e2e88a8d25bd616fe7d33998217c97ff31350abb16b397674,cf4c386d653dea76c9f49425c9ffe49f5547e28c0c73786db2d833203961d43e,084c0851508f01ed988d2e792c9403146a84ff3c3db0419ba325b718bd345d62,b4ceb39db7023d240e30cfc439f28d1149e2050df2b69f960a887957480c3c6c,9033d0785ecaa26d1175989c1652bdefd5d423577ee9784704cdda1eba8e329e,7d59cbc1771809b23882584b265801309a36f5b8a7e2b3a85531b8799768e76c,850b90456ce72908ecf9dbbc9cc5a9bf88d7aaa0336c1825dfa5fc76eeb167c9,08d814169cc1e381d8c9652e878735f8aebfdc8c3c3584c10a700ea1d572d6c2,a1205366f1fceb4caec94614b72f2c82fa2e530d64e647631fd2e6bc4a72db35
"1001","575","1","32","1002","1","1","1100001","1003","10590"
"1004","575","1","32","1005","1","1","1100002","1006","10590"
"1007","575","2","32","1008","1","1","1100003","1009","10590"
"1010","500","1","33","1011","1","1","1100004","1012","11820"
"1013","500","1","33","1014","1","1","1100005","1015","11820"
"1016","500","2","33","1017","1","1","1100006","1018","11820"
"1019","500","4","33","1020","1","1","1100007","1021","11820"
"1022","375","1","35","1023","1","1","1100008","1024","13050"
"1025","375","1","35","1026","1","1","1100009","1027","13050"
"1028","375","6","35","1029","1","1","1100010","1030","13050"
"2001","575","1","34","2002","2","1","1200001","2003","10590"
"2004","575","1","34","2005","2","1","1200002","2006","10590"
"2007","575","1","34","2008","2","1","1200003","2009","10590"
"2010","575","1","34","2011","2","1","1200004","2012","10590"
"2013","575","2","34","2014","2","1","1200005","2015","10590"
"2016","575","4","34","2017","2","1","1200006","2018","10590"
"2019","575","6","34","2020","2","1","1200007","2021","10590"
"2022","500","1","35","2023","2","1","1200008","2024","11820"
"2025","500","1","35","2026","2","1","1200009","2027","11820"
"2028","500","1","35","2029","2","1","1200010","2030","11820"
"2031","500","1","35","2032","2","1","1200011","2033","11820"
"2034","500","4","35","2035","2","1","1200012","2036","11820"
"2037","500","6","35","2038","2","1","1200013","2039","11820"
"2040","375","1","38","2041","2","1","1200014","2042","13050"
"2043","375","1","38","2044","2","1","1200015","2045","13050"
"2046","375","1","38","2047","2","1","1200016","2048","13050"
"2049","375","1","38","2050","2","1","1200017","2051","13050"
"2052","375","2","38","2053","2","1","1200018","2054","13050"
"2055","375","4","38","2056","2","1","1200019","2057","13050"
"2058","375","6","38","2059","2","1","1200020","2060","13050"
"3001","575","1","37","3002","3","1","1300001","3003","10590"
"3004","575","1","37","3005","3","1","1300002","3006","10590"
"3007","575","1","37","3008","3","1","1300003","3009","10590"
