2f012718c47833d63bfdc82faff3bcd56732d23afa5c37ce0559e9837fdcc4d5,4fbd0bf156865103abd2124b172156c960a655a6ccd9c19498b6a142ab1120dd,95292bb4266eb6829fc8a7bbe35ad0c9180e832b06a318ba6115fd9235a2104e,07f5894e47158105658a4bae33c928fbb00df315dfe2382f00cf38ea4bd0306a,14727a553ad825300f5e8d3abfa89b9818ca2d4693b2d5152a2b3900a86ef7bf,5059317802c97fe8bd7a597274fe10e3cef17b5227f3a3440fb8c2c5aafb559d,3ab0333928482cb917ee65e793af0a5864782ff12664b97963e3255b5be22d9a,4729169f6336d5edf7d9e5ce5b1d6a021a30c119b463dd7a265baf83d98cf535,5cd65c92e802de097eaa4aa00dfe1278724bdc63cd236e31d6c74fc0b47e0902,fcd9c36751275211a8fb708380db776aae9e9fa87c86f02dcdc85c34d0bd960d,4433aca25cb9a43ba0fa9c96a6e1ae6a467c297621ff1185c505a21cbc0397ea,4e2c218cbf2c5f911ef807f083394e38b386d96bffdc66dbf1babc243dc46c3f,e01491d109bf243705dac6ab183e84139b7cb6c42aae88363337d4ebd0aba2ed,6868de548c6c2e43f90603e6d8f45a6ed522dddc0e22e31fbc5af95af1945b8c,c183089f086d8ed396322f044af1127ce2fb1e69b554efda5fa385986c2b021d,7a31f87a57fe903703b5dae02a6a6b1617d009e27d5fa20bac3ce22a668d2e3d
"22002","2","90006","0","0","2","0","91002","1","8","0","40","40","0","0","1001101"
"22002","2","90006","0","0","2","0","91002","2","8","0","60","50","0","0","1001102"
"22002","2","90006","0","0","2","0","91002","3","8","0","80","60","0","0","1001103"
"22002","2","90006","0","0","2","0","91002","4","8","0","100","80","0","0","1001104"
"22003","2","90006","0","0","2","0","91002","2","8","0","200","150","0","0","1001105"
"0","2","22002","0","0","0","0","90006","0","2","0","20","1","0","0","1001106"
"0","2","22002","0","0","0","0","90006","0","2","0","20","1","0","0","1001107"
"0","2","22002","0","0","0","0","90006","0","2","0","20","1","0","0","1001108"
"0","2","22002","0","0","0","0","90006","0","2","0","20","1","0","0","1001109"
"0","2","22003","0","0","0","0","90006","0","2","0","20","1","0","0","1001110"
"22002","2","90006","0","0","2","0","91002","1","8","0","40","40","0","0","1002101"
"22002","2","90006","0","0","2","0","91002","2","8","0","60","50","0","0","1002102"
"22002","2","90006","0","0","2","0","91002","3","8","0","80","60","0","0","1002103"
"22002","2","90006","0","0","2","0","91002","4","8","0","100","80","0","0","1002104"
"22003","2","90006","0","0","2","0","91002","2","8","0","200","150","0","0","1002105"
"0","2","22002","0","0","0","0","90006","0","2","0","40","1","0","0","1002106"
"0","2","22002","0","0","0","0","90006","0","2","0","40","1","0","0","1002107"
