77d832e5622b37fd3e26a333133d4a41609b923f491e5bc83b812bb0a97bbf56,bff49a5cb1416261bd4135608f1b854ac6609321ba623c83c79295e839cbdd24,f949d683b9155fa2099497e402f6ed7d29e0e55fc49e7631468bd0f2d3813703,b7817e6e0c2797768e31e4d78bf81ae9eb9d1ca1f783492a184a1f1be2bd4a45,3f62300f785280cbdc107fde953b6a6d0f78420ca71b051f7b6748ca23e71827,5271ff6fffd1936826cc81bab12eca81291cde85f319c792b5ec184e6379ef30,25e70e6c1d9315b9d1ea4a0afa882180b5c2f65b3f3456c95af7cf0322ac40bd
"100","50","1","1004","150","200","250"
"160","80","2","1004","240","320","400"
"100","50","3","1004","150","200","250"
"100","50","5","1004","150","200","250"
"160","80","6","1004","240","320","400"
"1","1","12","1004","1","2","3"
"100","50","1","1005","150","200","250"
"100","50","3","1005","150","200","250"
"160","80","4","1005","240","320","400"
"100","50","5","1005","150","200","250"
"160","80","7","1005","240","320","400"
"1","1","13","1005","1","2","3"
