ffcfd1cb363ee94db847a13b17f3949a5ac49c53ea86f9e33ebd3a8c9450425f,bdf8655d857a09e9edd43e6ea1f3cf3bd6f943a624e51a5f8095a4d60c87d0f0,04993192331f8473ed24a2b7834e3282a511c51c154bac80cc6f23cec7809f03,c9c594ccf78e262473fb7b12273d29ac6a069570474fc19621d9985cd44d0f06,c45f95160a337d8da9c37ccc1cf35fa55642c1a25e3df779f7fef26f2625d134,7580d91fa35cc55b95875132f014fcb9c9794b654c143687635339f7d3cc80ce,fc157fc0291db854974105d90c6dad2275fdfc6b1a39223f2dccb223b8d0697c,abf4c6584fd0faeba913a25f8de419965222385546d7e2d5321a43fea28a077f,72aa39f58b88871ff6c346ede30e35ad8bc374d3df291f82de17cda865839df7,9c5383a2f93ddd8f80835c52c5dc10b0397ea6d8e691d4273864364be3c8e510,847b1981ad4fb5145f4d26dd3ca8c471dfc402226776d568cc620fefdadd5520
"-194","1","1","40","sjr_talk_idle","122611","1","1","1.65","1001","100"
"","1","122611","","","sjr_talk_wish_look","3","","0.2","1002","1"
"","1","vo_minigame_1010","0","","vo_minigame_1010_top_talk_1_001","21","","","1003","0"
"0","1","122611","1","1","騎士クン…見ててね\nわたし、頑張って\n走るから…！","11","0","0","1004","10"
"","1","0","","","","91","","","1005",""
"","1","122611","","","sjr_talk_idle","3","","0.2","1006","1"
"-194","2","1","40","sjr_talk_idle","122611","1","1","1.65","2001","100"
"","2","122611","","","sjr_talk_mouth_hidden_shy","3","","0.2","2002","1"
"","2","vo_minigame_1010","0","","vo_minigame_1010_top_talk_1_002","21","","","2003","0"
"0","2","122611","1","1","水着のまま走るの…？\nうぅ…恥ずかしい…\nもし、外れたりしたら\nどうしよう…","11","0","0","2004","7"
"","2","0","","","","91","","","2005",""
"","2","122611","","","sjr_talk_idle","3","","0.2","2006","1"
"-194","3","1","40","sjr_talk_idle","122611","1","1","1.65","3001","100"
"1","3","122611","sjr_talk_stepback_worry","","sjr_talk_stepback_surprise_worry","3","0","0.2","3002","0"
"","3","vo_minigame_1010","0","","vo_minigame_1010_top_talk_1_003","21","","","3003","0"
"0","3","122611","1","1","あ、あの人すごく\n速そう…！\nわたし、勝てるかな…","11","0","0","3004","8"
"","3","0","","","","91","","","3005",""
"","3","122611","","","sjr_talk_idle","3","","0.2","3006","1"
"-194","4","1","40","sjr_talk_idle","122611","1","1","1.65","4001","100"
"","4","122611","","","sjr_talk_thinking_surprise","3","","0.2","4002","1"
"","4","vo_minigame_1010","0","","vo_minigame_1010_top_talk_1_004","21","","","4003","0"
"0","4","122611","1","1","変わったコースが\nいっぱいあるね\nどれに出ようかな…","11","0","0","4004","6"
"","4","0","","","","91","","","4005",""
"","4","122611","","","sjr_talk_idle","3","","0.2","4006","1"
"-194","5","1","40","sjr_talk_idle","122611","1","1","1.65","5001","100"
"1","5","122611","sjr_talk_guts2_anger_loop","","sjr_talk_guts2_anger","3","0","0.2","5002","0"
"","5","vo_minigame_1010","0","","vo_minigame_1010_top_talk_1_005","21","","","5003","0"
"0","5","122611","1","1","レイちゃんと\nヒヨリちゃん…\n二人に負けないよう\nわたしも全力で…！","11","0","0","5004","7"
"","5","0","","","","91","","","5005",""
"","5","122611","","","sjr_talk_idle","3","","0.2","5006","1"
"-194","6","1","40","sjr_talk_idle","122511","1","1","1.65","6001","100"
"1","6","122511","sjr_talk_arm_crossed_look_loop","","sjr_talk_arm_crossed_joy_look","3","0","0.2","6002","0"
"","6","vo_minigame_1010","0","","vo_minigame_1010_top_talk_1_006","21","","","6003","0"
"0","6","122511","1","1","こうして競い合うのも\nいいものだね\nキミも応援\nよろしく頼むよ","11","0","0","6004","6"
"","6","0","","","","91","","","6005",""
"","6","122511","","","sjr_talk_idle","3","","0.2","6006","1"
"-194","7","1","40","sjr_talk_idle","122511","1","1","1.65","7001","100"
"","7","122511","","","sjr_talk_mouth_hidden2_shy","3","","0.2","7002","1"
"","7","vo_minigame_1010","0","","vo_minigame_1010_top_talk_1_007","21","","","7003","0"
"0","7","122511","1","1","この格好で走るのは\n気恥ずかしいな…\nあまり見ないでくれ…","11","0","0","7004","6"
"","7","0","","","","91","","","7005",""
"","7","122511","","","sjr_talk_idle","3","","0.2","7006","1"
"-194","8","1","40","sjr_talk_idle","122511","1","1","1.65","8001","100"
"","8","122511","","","sjr_talk_mouth_hidden","3","","0.2","8002","1"
"","8","vo_minigame_1010","0","","vo_minigame_1010_top_talk_1_008","21","","","8003","0"
"0","8","122511","1","1","へぇ、強者が揃って\nいるようだね\nこれは私も全力で\n挑まないと…！","11","0","0","8004","6"
"","8","0","","","","91","","","8005",""
"","8","122511","","","sjr_talk_idle","3","","0.2","8006","1"
"-194","9","1","40","sjr_talk_idle","122511","1","1","1.65","9001","100"
"","9","122511","","","sjr_talk_stepback_surprise","3","","0.2","9002","1"
"","9","vo_minigame_1010","0","","vo_minigame_1010_top_talk_1_009","21","","","9003","0"
"0","9","122511","1","1","コースには障害物や\n魔物が…？\nビーチフラッグスとは\nこんな競技だったかな","11","0","0","9004","6"
"","9","0","","","","91","","","9005",""
"","9","122511","","","sjr_talk_idle","3","","0.2","9006","1"
"-194","10","1","40","sjr_talk_idle","122511","1","1","1.65","10001","100"
"","10","122511","","","sjr_talk_thinking_blink","3","","0.2","10002","1"
"","10","vo_minigame_1010","0","","vo_minigame_1010_top_talk_1_010","21","","","10003","0"
"0","10","122511","1","1","ユイは大丈夫だろうか\nヒヨリは喜んでそう\nだけど…\nいや、信じるのみ、か","11","0","0","10004","5"
"","10","0","","","","91","","","10005",""
"","10","122511","","","sjr_talk_idle","3","","0.2","10006","1"
"-194","11","1","40","sjr_talk_idle","122411","1","1","1.65","11001","100"
"1","11","122411","sjr_talk_eieio_loop","","sjr_talk_eieio","3","0","0.2","11002","0"
"","11","vo_minigame_1010","0","","vo_minigame_1010_top_talk_1_011","21","","","11003","0"
"0","11","122411","1","1","準備運動も完璧っ！\nあたしが一番\nとっちゃうからねー！","11","0","0","11004","6"
"","11","0","","","","91","","","11005",""
"","11","122411","","","sjr_talk_idle","3","","0.2","11006","1"
"-194","12","1","40","sjr_talk_idle","122411","1","1","1.65","12001","100"
"","12","122411","","","sjr_talk_arm_opened_wink","3","","0.2","12002","1"
"","12","vo_minigame_1010","0","","vo_minigame_1010_top_talk_1_012","21","","","12003","0"
"0","12","122411","1","1","えっへへー！\n水着って動きやすくて\nいいよねー！\n調子出てきたー！","11","0","0","12004","6"
"","12","0","","","","91","","","12005",""
"","12","122411","","","sjr_talk_idle","3","","0.2","12006","1"
"-194","13","1","40","sjr_talk_idle","122411","1","1","1.65","13001","100"
"1","13","122411","sjr_talk_doya_loop","","sjr_talk_doya","3","0","0.2","13002","0"
"","13","vo_minigame_1010","0","","vo_minigame_1010_top_talk_1_013","21","","","13003","0"
"0","13","122411","1","1","あ、困ってる人\nはっけーん！\n困った時はお互い\nさまさまっ♪","11","0","0","13004","8"
"","13","0","","","","91","","","13005",""
"","13","122411","","","sjr_talk_idle","3","","0.2","13006","1"
"-194","14","1","40","sjr_talk_idle","122411","1","1","1.65","14001","100"
"1","14","122411","sjr_talk_swing_joy","","sjr_talk_watch_arm_opened","3","0","0.2","14002","0"
"","14","vo_minigame_1010","0","","vo_minigame_1010_top_talk_1_014","21","","","14003","0"
"0","14","122411","1","1","どのコースを\n走ろうかなー♪\nどれもおもしろそー！\nウズウズしてきたー！","11","0","0","14004","7"
"","14","0","","","","91","","","14005",""
"","14","122411","","","sjr_talk_idle","3","","0.2","14006","1"
"-194","15","1","40","sjr_talk_idle","122411","1","1","1.65","15001","100"
"","15","122411","","","sjr_talk_wish_doya","3","","0.2","15002","1"
"","15","vo_minigame_1010","0","","vo_minigame_1010_top_talk_1_015","21","","","15003","0"
"0","15","122411","1","1","ユイちゃんとレイさん\n二人と一緒に\n競い合いたいな！","11","0","0","15004","7"
"","15","0","","","","91","","","15005",""
"","15","122411","","","sjr_talk_idle","3","","0.2","15006","1"
"-194","16","1","72","sjr_talk_idle","122611","1","1","1.65","16001","100"
"-194","16","1","-72","sjr_talk_idle","122511","1","0","1.65","16002","100"
"","16","122611","","","sjr_talk_wish_doya","3","","0.2","16003","1"
"","16","vo_minigame_1010","0","","vo_minigame_1010_top_talk_2_001","21","","","16004","0"
