f62f6c54c0bb5d783a3a5f33f266ad1e1c2dcc6bdc6f58e5e24b38fd7a8eb2d8,4e7271a8574bf3abba8eeb45290bc4e18da2b210be50f7275562e225710eadcd,33672c37c98a563d92a31f7af7b6c5f2ce21c568d16e6161a19dc1e0511a47a9,09cf3c4444d41d38303415a55d84f648b500b6987e0e9e835a8b7f5cdaa19548,340f683c29d748f8e49f07a9ca6fff465ab75e15dd3a799dc530aa904f04dec1,a08511afb4deaf2feb3dea1c4f7af103bd910c994bf762bd73f13015506150b2
"5035004","0","0","5035005","0","10036"
"5058004","0","0","5058005","0","10059"
"0","1006201","10062115","0","10062","10063"
"0","1008401","10084115","0","10084","10085"
"0","1008601","10086115","0","10086","10087"
"0","1011001","10110115","0","10110","10111"
"0","1011201","10112115","0","10112","10113"
"0","1013601","10136110","0","10136","10137"
"0","1013801","10138115","0","10138","10139"
"0","2003301","20033115","0","20033","20034"
"0","2004601","20046115","0","20046","20047"
"0","2005901","20059115","0","20059","20060"
