f1f55c3e9a1c3825df3851c17c4348cf3c550eb67dce6c95cedee25f21ebf8f8,04e2a0a18c6a57e1c61d4bd86d607d18e63563b917481ddc12365ba0297de821,0d2e4f8c70ff1ab9d44b7215a1fc60b7c9593aee3440ce315cb505533d6c86b0,09b777f5437d894af885477bc50beeaae627c519ab2f5169f9457c9fcb606a82,c18b76793d2763f9a6ad5562046e5d25c7fed2c8b34ea38b3937bce25ea35146
"2000000","10101011","12","94002","1010101"
"250","10101021","2","23003","1010102"
"3500","10101031","2","25021","1010103"
"100","10101041","8","91002","1010104"
"10","10101051","2","90005","1010105"
"20","10101061","2","31063","1010106"
"100","10101071","8","91002","1010107"
"150","10101081","8","91002","1010108"
"1","10101091","2","41000","1010109"
"2000","10101092","2","90008","1010109"
"1","10101101","2","21953","1010110"
"2000","10101102","2","90008","1010110"
"2000000","10102011","12","94002","1010201"
"250","10102021","2","23003","1010202"
"3500","10102031","2","25021","1010203"
"100","10102041","8","91002","1010204"
"10","10102051","2","90005","1010205"
"1","10102061","2","21953","1010206"
"100","10102071","8","91002","1010207"
"150","10102081","8","91002","1010208"
"1","10102091","2","41000","1010209"
"2000","10102092","2","90008","1010209"
"20","10102101","2","31094","1010210"
"2000","10102102","2","90008","1010210"
"2000000","10103011","12","94002","1010301"
"250","10103021","2","23003","1010302"
"3500","10103031","2","25021","1010303"
"100","10103041","8","91002","1010304"
"10","10103051","2","90005","1010305"
"1","10103061","2","21953","1010306"
"100","10103071","8","91002","1010307"
"150","10103081","8","91002","1010308"
"1","10103091","2","41000","1010309"
"2000","10103092","2","90008","1010309"
"20","10103101","2","31093","1010310"
"2000","10103102","2","90008","1010310"
