54b00b7edaf3497acb29a02a53a5c6d754a2e345b6961dcf22c60dd70a55cce4,a43af7607a9804ceac4962efd03141e0d5ad7ad8677d4460eceead478d5a42de,14163e17455c26c40d84fe1107404f3e9e0b441b6aedd6156917dbfd5cb1c833,0d44041f08ed813fca28cb3b309d3465306617fc3aa64515b92f8008071ecadd,e6c39acd6993dc12344b93ed0ad4937edcebdc02dd30e65a6d8e13ddad66b622,3c6515d11be18178cc4387cc9813e70c904fde08c86c7367593657cc8cb08a72,5379b57ccaf86b10e18438c68a4d840a52aa1fce459502d2e3287764372662e4,c88fc37f495ebd867fafd6b72650b263517f7f56be68baccc0479effe5ddf1ac,ddf6672390ce8dbeb093d280fa7a5703dba3f16ea3f42b8333b61d93d0badafb,a7b2ef442de9606e2a0f5d3d9beb290ffedd10845dba891a966be04f6807bb54,9770d2f20a87d19c7cbee15f824a2d45053de7f3401d919f20725e22fb8af7ea,0f0f49bb77643fb9ef2bbeeadbb154e6ef414fe8f17a499c60d68d9e928cff95,c6b563ba2f3e9a68e99227b30eeeb92c611d248c8ecac08f49fc03a416443149,e8e0be50a95bb626610fef0356ca665c64d7ecf65e0a9ac8e8b03828476beb36,ef9cf4b0e577de8106e800baa5eb0420a6c3d9f25ef2c2949b078c2e91b22321,569c5a7fcbfec2f721f0939fb89bd450c86202f2100fafce19bf67630edac618,94f5837dfc65c2fb1d0f4146e130f08bb6a342d41fe9275449ebbe37a8f5d50c,136cab0182b1f826785ba1e7de757d2257b1ffafd0cdfa29be1e92a6506e0ee7,ef04c6d73932793947fa541b60cf83a610f1949cb47c19e9f053b715586625e5,049c87ef11e7e5029efab3f9f141bd026e92bca0d81be742b3ae157a2267550f
"31001","20","0","0","0","0","0","0","130011","0","300","94","0","0","0","0","0","0","0","0"
"31004","0","0","0","0","0","0","0","130041","2","300","67","0","0","0","0","0","0","6","0"
"31006","0","0","0","0","0","0","0","130061","3","300","0","0","0","72","0","0","0","3","0"
"31007","0","0","0","0","0","0","0","130071","3","300","0","0","0","0","0","0","230","13","0"
"31010","0","0","0","0","0","5","0","130101","5","300","0","0","0","42","0","0","0","6","0"
"31012","0","0","0","0","0","0","0","130121","0","300","0","0","0","88","0","0","0","1","10"
"31014","0","0","0","0","0","0","0","130141","4","300","0","0","0","70","0","0","0","3","0"
"31016","0","0","0","0","0","0","0","130161","0","300","108","0","0","0","0","0","0","0","0"
"31020","15","0","0","0","0","0","0","130201","0","300","88","0","0","0","0","0","0","0","0"
"31021","0","0","0","200","0","0","0","130211","8","300","0","0","0","0","0","0","100","8","0"
"31022","0","0","0","0","0","0","0","130221","1","300","0","0","0","85","0","0","0","0","10"
"31023","12","0","0","0","0","0","0","130231","4","300","50","0","0","0","0","0","0","6","0"
"31028","0","0","0","0","0","0","0","130281","0","300","105","0","0","0","0","0","25","0","0"
"31032","0","0","0","0","0","0","0","130321","0","300","60","0","0","0","0","0","150","2","0"
"31034","0","0","0","0","0","12","0","130341","3","300","64","0","0","0","0","0","0","0","0"
"31036","0","0","0","0","0","0","0","130361","0","300","0","0","0","88","0","0","0","0","18"
"31037","24","0","0","0","0","0","0","130371","0","300","60","0","0","0","0","0","0","0","0"
"31044","0","0","0","0","1","0","0","130441","4","300","0","0","0","80","0","0","0","0","0"
"31048","0","0","0","0","0","0","0","130481","3","300","75","0","0","0","0","0","0","3","0"
"31051","5","0","0","0","0","0","0","130511","0","300","90","0","0","0","0","0","100","0","0"
"31057","22","0","0","0","0","0","0","130571","0","300","95","0","0","0","0","0","0","0","0"
"31058","0","0","0","0","0","5","0","130581","9","300","0","0","0","0","0","0","0","10","0"
"31059","0","0","0","0","0","5","0","130591","5","300","50","0","0","0","0","0","0","5","0"
"31060","0","0","0","0","0","0","0","130601","0","300","0","0","0","94","0","0","0","0","10"
"31061","9","0","0","0","0","0","0","130611","0","300","104","0","0","0","0","0","0","0","0"
"31063","16","0","0","0","0","0","0","130631","0","300","95","0","0","0","0","0","0","0","0"
"31064","25","0","0","0","0","0","0","130641","0","300","91","0","0","0","0","0","0","0","0"
"31077","0","0","0","0","0","0","0","130771","6","300","0","0","0","40","0","0","0","6","0"
"31079","30","0","0","0","0","0","0","130791","0","300","85","0","0","0","0","0","0","0","0"
"31080","0","0","0","0","0","0","0","130801","0","300","101","0","0","0","0","0","0","0","0"
