b27d66d72e2df9a437ab10a1ba3c1b85cadecd97ee6d0d30e38e5362dfb3dbb0,8abdb78bf8519ea932e32ab91bd55a437560c455483194abd02a4107ace508b2,cba742ab23b4dc3829dad5d1ef9447bc764f9a58c2ad52d16395bd4668fc622c,2a58c5cdd32eb87b638f7c45d9de812bc0d0b02ce5ddb8655f58dda7da206da5,74b80a0ac6fcba4f425fad679fd83cf66e8280e36d7bcd05962a2a3f146f50b9,cc86d14f7275668d8675417c84477c8c83306608ff2a0983e817683fffbf5ab9,4a0651b48a8cc13f09f3dcb1ac7012acdc502b5e38e340f0ce07f48237d505a4,bf1c99bab8d93be9d37386b29f50df9446f231ef9a8dcfc676a28821d6e1758a,fd9cfc30ffe5b3318a65e26bb71b16c239bfbf7618083abd4c47d927d62a2682,95a577e935acc386fb0c8a1ce0ba9db2f3a92edfbd7e96dd617a5b52838327c0,0601585d617a99e641b86df776cef855cdd178954f352309353490fb6433201b
"31","1","8","8","10","2","281001001","25011","25021","91002","2"
"31","2","8","8","10","2","281001002","25011","25021","91002","2"
"32","3","8","8","10","2","281001003","25011","25021","91002","2"
"32","4","8","8","10","2","281001004","25011","25021","91002","2"
"33","5","8","8","10","2","281001005","25011","25021","91002","2"
"33","6","8","9","10","2","281001006","25011","25021","91002","2"
"34","7","8","9","10","2","281001007","25011","25021","91002","2"
"35","8","8","9","10","2","281001008","25011","25021","91002","2"
"35","9","8","9","10","2","281001009","25011","25021","91002","2"
"37","10","8","10","30","2","281001010","25011","25021","91002","2"
"41","11","8","10","10","2","281001011","25011","25021","91002","2"
"43","12","8","11","10","2","281001012","25011","25021","91002","2"
"46","13","8","11","10","2","281001013","25011","25021","91002","2"
"48","14","8","12","10","2","281001014","25011","25021","91002","2"
"50","15","8","12","10","2","281001015","25011","25021","91002","2"
"53","16","8","13","10","2","281001016","25011","25021","91002","2"
"55","17","8","14","10","2","281001017","25011","25021","91002","2"
"58","18","8","14","10","2","281001018","25011","25021","91002","2"
"60","19","8","15","10","2","281001019","25011","25021","91002","2"
"62","20","8","15","30","2","281001020","25011","25021","91002","2"
"68","21","8","16","10","2","281001021","25011","25021","91002","2"
"70","22","8","16","10","2","281001022","25011","25021","91002","2"
"72","23","8","16","10","2","281001023","25011","25021","91002","2"
"75","24","8","17","10","2","281001024","25011","25021","91002","2"
"77","25","8","18","10","2","281001025","25011","25021","91002","2"
"79","26","8","18","10","2","281001026","25011","25021","91002","2"
"82","27","8","19","10","2","281001027","25011","25021","91002","2"
"84","28","8","19","10","2","281001028","25011","25021","91002","2"
"86","29","8","19","10","2","281001029","25011","25021","91002","2"
"89","30","8","20","30","2","281001030","25011","25021","91002","2"
"94","31","8","20","10","2","281001031","25011","25021","91002","2"
"96","32","8","21","10","2","281001032","25011","25021","91002","2"
"99","33","8","21","10","2","281001033","25011","25021","91002","2"
"101","34","8","22","10","2","281001034","25011","25021","91002","2"
"103","35","8","22","10","2","281001035","25011","25021","91002","2"
"106","36","8","23","10","2","281001036","25011","25021","91002","2"
"108","37","8","23","10","2","281001037","25011","25021","91002","2"
"111","38","8","24","10","2","281001038","25011","25021","91002","2"
"113","39","8","25","10","2","281001039","25011","25021","91002","2"
"115","40","8","25","30","2","281001040","25011","25021","91002","2"
"121","41","8","26","10","2","281001041","25011","25021","91002","2"
"123","42","8","27","10","2","281001042","25011","25021","91002","2"
"125","43","8","28","10","2","281001043","25011","25021","91002","2"
"128","44","8","28","10","2","281001044","25011","25021","91002","2"
"130","45","8","29","10","2","281001045","25011","25021","91002","2"
"132","46","8","30","10","2","281001046","25011","25021","91002","2"
"135","47","8","30","10","2","281001047","25011","25021","91002","2"
"137","48","8","31","10","2","281001048","25011","25021","91002","2"
"139","49","8","31","10","2","281001049","25011","25021","91002","2"
"142","50","8","31","30","2","281001050","25011","25021","91002","2"
"144","51","8","32","10","2","281001051","25011","25021","91002","2"
"146","52","8","32","10","2","281001052","25011","25021","91002","2"
"149","53","8","32","10","2","281001053","25011","25021","91002","2"
"152","54","8","33","10","2","281001054","25011","25021","91002","2"
"155","55","8","33","10","2","281001055","25011","25021","91002","2"
"157","56","8","33","10","2","281001056","25011","25021","91002","2"
"160","57","8","34","10","2","281001057","25011","25021","91002","2"
"163","58","8","34","10","2","281001058","25011","25021","91002","2"
"166","59","8","34","10","2","281001059","25011","25021","91002","2"
"169","60","8","35","30","2","281001060","25011","25021","91002","2"
"171","61","8","35","10","2","281001061","25011","25021","91002","2"
"174","62","8","35","10","2","281001062","25011","25021","91002","2"
"177","63","8","36","10","2","281001063","25011","25021","91002","2"
"180","64","8","36","10","2","281001064","25011","25021","91002","2"
"182","65","8","36","10","2","281001065","25011","25021","91002","2"
"185","66","8","37","10","2","281001066","25011","25021","91002","2"
"187","67","8","37","10","2","281001067","25011","25021","91002","2"
"190","68","8","37","10","2","281001068","25011","25021","91002","2"
"193","69","8","38","10","2","281001069","25011","25021","91002","2"
"196","70","8","38","30","2","281001070","25011","25021","91002","2"
"200","71","8","39","10","2","281001071","25011","25021","91002","2"
"204","72","8","39","10","2","281001072","25011","25021","91002","2"
"208","73","8","40","10","2","281001073","25011","25021","91002","2"
"212","74","8","40","10","2","281001074","25011","25021","91002","2"
"216","75","8","41","10","2","281001075","25011","25021","91002","2"
"220","76","8","41","10","2","281001076","25011","25021","91002","2"
"224","77","8","42","10","2","281001077","25011","25021","91002","2"
"228","78","8","42","10","2","281001078","25011","25021","91002","2"
"232","79","8","43","10","2","281001079","25011","25021","91002","2"
"236","80","8","43","30","2","281001080","25011","25021","91002","2"
