e518b6d70ddfb53e83dd94846e43960a5c275706f13ed59ff959556a2acc4d89,00c117c5798ad1c5023446a32a8bfc45bc7e4d195103ad223ec7105d9b7035c3,248762743ee491b6d7435d8603e3182fc7b28983cb2570fd51ef45b57d874fe9,ea4a2830663f679c9a5b79444d70b8fc2c1657edf8ff07215e2eaa3357814617,ea3b512c898d765469d81372ba71c90d0c12764ef276273f7c2faaa9c3e261d0
"1","1","0","0","1001"
"2","1","0","0","1002"
"3","1","0","0","1003"
"4","1","0","0","1004"
"1","2","0","0","2001"
"2","2","0","0","2002"
"3","2","0","0","2003"
"4","2","0","0","2004"
"1","2","0","1","2101"
"2","2","0","1","2102"
"3","2","0","1","2103"
"4","2","0","1","2104"
"11","2","10001","2","2111"
"12","2","10001","2","2112"
"13","2","10001","2","2113"
"1","3","0","0","3001"
"2","3","0","0","3002"
"3","3","0","0","3003"
"4","3","0","0","3004"
"1","4","0","0","4001"
"2","4","0","0","4002"
"3","4","0","0","4003"
"4","4","0","0","4004"
"100","4","0","0","4005"
"10101","5","0","1","5010"
"10201","5","1","2","5020"
"10202","5","2","2","5021"
"10301","5","0","3","5030"
"10301","5","1","3","5031"
"10302","5","0","4","5040"
"10303","5","0","5","5050"
"10304","5","0","6","5060"
"90001","6","0","1","6001"
"90001","6","0","2","6002"
"90001","6","1","2","6003"
"90001","6","0","3","6006"
"91101","6","1","3","6007"
"91201","6","2","3","6008"
"91301","6","3","3","6009"
"90001","6","0","4","6010"
"91101","6","1","4","6011"
"91201","6","2","4","6012"
"91301","6","3","4","6013"
"90001","6","0","5","6014"
"91101","6","1","5","6015"
"91201","6","2","5","6016"
"91301","6","3","5","6017"
"90001","6","0","6","6018"
"91101","6","1","6","6019"
"91201","6","2","6","6020"
"91301","6","3","6","6021"
"92001","6","0","7","6022"
"92101","6","1","7","6023"
"92201","6","2","7","6024"
"92301","6","3","7","6025"
"92401","6","4","7","6026"
"92001","6","0","8","6027"
"92101","6","1","8","6028"
"92201","6","2","8","6029"
"92301","6","3","8","6030"
"92401","6","4","8","6031"
"92001","6","0","9","6032"
"92101","6","1","9","6033"
"92201","6","2","9","6034"
"92301","6","3","9","6035"
"92401","6","4","9","6036"
"90001","6","0","10","6037"
"90101","6","1","10","6038"
"90201","6","2","10","6039"
"90301","6","3","10","6040"
"90401","6","4","10","6041"
"90001","6","0","11","6042"
"90101","6","1","11","6043"
"90201","6","2","11","6044"
"90301","6","3","11","6045"
"90401","6","4","11","6046"
"91001","6","0","12","6047"
"91101","6","1","12","6048"
"91201","6","2","12","6049"
"91301","6","3","12","6050"
"91401","6","4","12","6051"
"91001","6","0","13","6052"
"91101","6","1","13","6053"
"91201","6","2","13","6054"
"91301","6","3","13","6055"
"91401","6","4","13","6056"
"90002","7","0","0","7000"
"90002","7","1","0","7001"
"90003","7","2","0","7002"
"90002","7","1","2","7003"
"90003","7","2","2","7004"
"91102","7","1","3","7005"
"91103","7","2","3","7006"
"91102","7","1","4","7007"
"91103","7","2","4","7008"
"91102","7","1","5","7009"
"91103","7","2","5","7010"
"91102","7","1","6","7011"
"91103","7","2","6","7012"
"92102","7","1","7","7013"
"92103","7","2","7","7014"
"92102","7","1","8","7015"
"92103","7","2","8","7016"
"92102","7","1","9","7017"
"92103","7","2","9","7018"
"90102","7","1","10","7019"
"90103","7","2","10","7020"
"90102","7","1","11","7021"
"90103","7","2","11","7022"
"91102","7","1","12","7023"
"91103","7","2","12","7024"
"91102","7","1","13","7025"
"91103","7","2","13","7026"
"20101","9","0","0","9001"
"20201","10","0","0","10001"
"20202","10","0","1","10002"
"10501","101","0","8","10180"
"1","100","0","1","100001"
"1","100","0","2","100002"
"2","100","0","3","100003"
"2","100","0","4","100004"
"2","100","0","5","100005"
"2","100","0","6","100006"
"3","100","0","7","100007"
"3","100","0","8","100008"
"3","100","0","9","100009"
"1","100","0","10","100010"
"1","100","0","11","100011"
"2","100","0","12","100012"
"2","100","0","13","100013"
"10301","101","0","98001","980001"
"10402","101","2","98001","980002"
"10401","101","1","98011","980011"
"10402","101","2","98012","980012"
