dbcb26c3ada9d84ab6d6f9d461ca9c5b4102cd39809d45731d5428f78bd642b9,78c038b8d8a7bd707b2e6aa2f24d371aa6bb9ea683fd28b5a6986afba6a5ea44,bf8693334e999b549aa8d92866be2eb82d3a9475df69ecf25b798d1150aac58a,12085f5a78f4e7efbbb05ec997b73afe54dce3485bd4aac473ddb22491b94881,0f804293bf1970621706a6299f9dafd51cd77a387033e9cf028d9a91e5c2d5d2,3aa90d9190ed666432d6609653877ca8564a21a402fddd3abb46bb1dd38560b0,dde7c424ba095159d28597a364666952a0ba7dd64b5c1619a8e8b9ab73f1ecec,30d9cfa9f5c655cdaee5ff8696b6e7170538c2454dbe87bdd3adf25ffc6b1854,63fb4eecd28d1637fa64219cda77b6ecd43f09124129d1fab09d859e74f697ce,4d58dcb1f997ca616091689c733ba3e5914b406b19e688c466a8ef92beb653fc,4e55da4229dd7e95f8ee2715e81529c251ceac3b6a576733c93b928e577887d5
"8","1","10","25015","8","25021","2","2","285001001","31","91002"
"8","2","10","25015","8","25021","2","2","285001002","31","91002"
"8","3","10","25015","8","25021","2","2","285001003","32","91002"
"8","4","10","25015","8","25021","2","2","285001004","32","91002"
"8","5","10","25015","8","25021","2","2","285001005","33","91002"
"9","6","10","25015","8","25021","2","2","285001006","33","91002"
"9","7","10","25015","8","25021","2","2","285001007","34","91002"
"9","8","10","25015","8","25021","2","2","285001008","35","91002"
"9","9","10","25015","8","25021","2","2","285001009","35","91002"
"10","10","30","25015","8","25021","2","2","285001010","37","91002"
"10","11","10","25015","8","25021","2","2","285001011","41","91002"
"11","12","10","25015","8","25021","2","2","285001012","43","91002"
"11","13","10","25015","8","25021","2","2","285001013","46","91002"
"12","14","10","25015","8","25021","2","2","285001014","48","91002"
"12","15","10","25015","8","25021","2","2","285001015","50","91002"
"13","16","10","25015","8","25021","2","2","285001016","53","91002"
"14","17","10","25015","8","25021","2","2","285001017","55","91002"
"14","18","10","25015","8","25021","2","2","285001018","58","91002"
"15","19","10","25015","8","25021","2","2","285001019","60","91002"
"15","20","30","25015","8","25021","2","2","285001020","62","91002"
"16","21","10","25015","8","25021","2","2","285001021","68","91002"
"16","22","10","25015","8","25021","2","2","285001022","70","91002"
"16","23","10","25015","8","25021","2","2","285001023","72","91002"
"17","24","10","25015","8","25021","2","2","285001024","75","91002"
"18","25","10","25015","8","25021","2","2","285001025","77","91002"
"18","26","10","25015","8","25021","2","2","285001026","79","91002"
"19","27","10","25015","8","25021","2","2","285001027","82","91002"
"19","28","10","25015","8","25021","2","2","285001028","84","91002"
"19","29","10","25015","8","25021","2","2","285001029","86","91002"
"20","30","30","25015","8","25021","2","2","285001030","89","91002"
"20","31","10","25015","8","25021","2","2","285001031","94","91002"
"21","32","10","25015","8","25021","2","2","285001032","96","91002"
"21","33","10","25015","8","25021","2","2","285001033","99","91002"
"22","34","10","25015","8","25021","2","2","285001034","101","91002"
"22","35","10","25015","8","25021","2","2","285001035","103","91002"
"23","36","10","25015","8","25021","2","2","285001036","106","91002"
"23","37","10","25015","8","25021","2","2","285001037","108","91002"
"24","38","10","25015","8","25021","2","2","285001038","111","91002"
"25","39","10","25015","8","25021","2","2","285001039","113","91002"
"25","40","30","25015","8","25021","2","2","285001040","115","91002"
"26","41","10","25015","8","25021","2","2","285001041","121","91002"
"27","42","10","25015","8","25021","2","2","285001042","123","91002"
"28","43","10","25015","8","25021","2","2","285001043","125","91002"
"28","44","10","25015","8","25021","2","2","285001044","128","91002"
"29","45","10","25015","8","25021","2","2","285001045","130","91002"
"30","46","10","25015","8","25021","2","2","285001046","132","91002"
"30","47","10","25015","8","25021","2","2","285001047","135","91002"
"31","48","10","25015","8","25021","2","2","285001048","137","91002"
"31","49","10","25015","8","25021","2","2","285001049","139","91002"
"31","50","30","25015","8","25021","2","2","285001050","142","91002"
