d295741340f84231e57cbd69e032ef827ca7cd5d63feee284914a7a53f4588bf,4b60a66e41d60ead29374698fd78a6f06598209cbb99edf0da33ba0a5a3374ad,d686852ae7e1cd1a6b779413a8a060f582cfd53728b754c3aae37a5927caf1d6,d28626e612407eb8818894f54b011dfaa0c7ffbb28f3bb1ad3bc2d7869d59663,146bc32d5d4a1fad8cdff86dab55876f1120376ed3ee34e6058090bfa89be696,1df6016337f9678188a0c15c7bb45bd04a2700e90786a2cd1acfda6c6645e7dc,27b39fa9a450f88ca4fe846ae18d6a471c0e2786588bc67e767e2a8d2bb259f6,7395e4581341c1e6a76ad2c39ce671fc65907fc3c2d7cee9d4197e10e58ea61c,ce855d8574f14b6fb9197dc7941eed924e238311a4e3bcf327517f663bab9444
"8","22","10001","5","-1","7","6","53003","1"
"4","22","10002","5","-1","7","6","53002","1"
"6","22","10101","4","5","6","5","53003","1"
"5","22","10102","4","5","6","5","53002","1"
"5","22","10201","3","4","5","4","53003","1"
"5","22","10202","3","4","5","4","53002","1"
"4","22","10301","3","3","4","3","53003","1"
"3","22","10302","3","3","4","3","53002","1"
"3","22","10401","2","2","3","2","53003","1"
"2","22","10402","2","2","3","2","53002","1"
"2","22","10501","1","1","2","1","53003","1"
"1","22","10502","1","1","2","1","53002","1"
"2","22","10601","1","0","1","0","53002","1"
"8","22","10701","5","-1","7","6","53003","2"
"4","22","10702","5","-1","7","6","53002","2"
"6","22","10801","4","5","6","5","53003","2"
"5","22","10802","4","5","6","5","53002","2"
"5","22","10901","3","4","5","4","53003","2"
"5","22","10902","3","4","5","4","53002","2"
"4","22","11001","3","3","4","3","53003","2"
"3","22","11002","3","3","4","3","53002","2"
"3","22","11101","2","2","3","2","53003","2"
"2","22","11102","2","2","3","2","53002","2"
"2","22","11201","1","1","2","1","53003","2"
"1","22","11202","1","1","2","1","53002","2"
"2","22","11301","1","0","1","0","53002","2"
"8","22","11401","5","-1","7","6","53003","3"
"4","22","11402","5","-1","7","6","53002","3"
"6","22","11501","4","5","6","5","53003","3"
"5","22","11502","4","5","6","5","53002","3"
"5","22","11601","3","4","5","4","53003","3"
"5","22","11602","3","4","5","4","53002","3"
"4","22","11701","3","3","4","3","53003","3"
"3","22","11702","3","3","4","3","53002","3"
"3","22","11801","2","2","3","2","53003","3"
"2","22","11802","2","2","3","2","53002","3"
"2","22","11901","1","1","2","1","53003","3"
"1","22","11902","1","1","2","1","53002","3"
"2","22","12001","1","0","1","0","53002","3"
"8","22","12101","5","-1","7","6","53003","4"
"4","22","12102","5","-1","7","6","53002","4"
"6","22","12201","4","5","6","5","53003","4"
"5","22","12202","4","5","6","5","53002","4"
"5","22","12301","3","4","5","4","53003","4"
"5","22","12302","3","4","5","4","53002","4"
"4","22","12401","3","3","4","3","53003","4"
"3","22","12402","3","3","4","3","53002","4"
"3","22","12501","2","2","3","2","53003","4"
"2","22","12502","2","2","3","2","53002","4"
"2","22","12601","1","1","2","1","53003","4"
"1","22","12602","1","1","2","1","53002","4"
"2","22","12701","1","0","1","0","53002","4"
"8","22","12801","5","-1","7","6","53003","5"
"4","22","12802","5","-1","7","6","53002","5"
"6","22","12901","4","5","6","5","53003","5"
"5","22","12902","4","5","6","5","53002","5"
"5","22","13001","3","4","5","4","53003","5"
"5","22","13002","3","4","5","4","53002","5"
"4","22","13101","3","3","4","3","53003","5"
"3","22","13102","3","3","4","3","53002","5"
"3","22","13201","2","2","3","2","53003","5"
"2","22","13202","2","2","3","2","53002","5"
"2","22","13301","1","1","2","1","53003","5"
"1","22","13302","1","1","2","1","53002","5"
"2","22","13401","1","0","1","0","53002","5"
"8","22","13501","5","-1","7","6","53003","6"
"4","22","13502","5","-1","7","6","53002","6"
"6","22","13601","4","5","6","5","53003","6"
"5","22","13702","4","5","6","5","53002","6"
"5","22","13801","3","4","5","4","53003","6"
"5","22","13902","3","4","5","4","53002","6"
"4","22","14001","3","3","4","3","53003","6"
"3","22","14002","3","3","4","3","53002","6"
"3","22","14101","2","2","3","2","53003","6"
"2","22","14102","2","2","3","2","53002","6"
"2","22","14201","1","1","2","1","53003","6"
"1","22","14202","1","1","2","1","53002","6"
"2","22","14301","1","0","1","0","53002","6"
